duo,corruption,severity,n_samples,n_chunks,win_rate_large,win_rate_small,n_large_win,n_small_win,n_tie,oracle_delta_acc_mean_pp,oracle_delta_acc_median_pp,disagree_rate,acc_large,acc_small
convnext_tiny+swin_t,brightness,5,10000,79,0.8333333333333334,0.16666666666666666,60,12,7,6.2203322784810124,6.25,0.29490000009536743,0.6797000169754028,0.6485000252723694
convnext_tiny+swin_t,contrast,5,10000,79,0.2602739726027397,0.7397260273972602,19,54,6,8.257515822784809,8.59375,0.6550999879837036,0.2955000102519989,0.3172999918460846
convnext_tiny+swin_t,defocus_blur,5,10000,79,0.5285714285714286,0.4714285714285714,37,33,9,5.834651898734177,5.46875,0.6840999722480774,0.20659999549388885,0.2029000073671341
convnext_tiny+swin_t,elastic_transform,5,10000,79,0.7866666666666666,0.21333333333333335,59,16,4,5.68631329113924,5.46875,0.6234999895095825,0.23350000381469727,0.21220000088214874
convnext_tiny+swin_t,fog,5,10000,79,0.0,1.0,0,79,0,7.604825949367089,7.8125,0.6175000071525574,0.3068999946117401,0.4154999852180481
convnext_tiny+swin_t,frost,5,10000,79,0.4594594594594595,0.5405405405405406,34,40,5,8.356408227848101,8.59375,0.5587000250816345,0.4172999858856201,0.4205999970436096
convnext_tiny+swin_t,gaussian_noise,5,10000,79,0.2112676056338028,0.7887323943661971,15,56,8,5.834651898734177,6.25,0.7771000266075134,0.15530000627040863,0.1776999980211258
convnext_tiny+swin_t,glass_blur,5,10000,79,0.5,0.5,37,37,5,2.9272151898734178,2.34375,0.7123000025749207,0.10520000010728836,0.10540000349283218
convnext_tiny+swin_t,impulse_noise,5,10000,79,0.42857142857142855,0.5714285714285714,30,40,9,5.270965189873418,5.46875,0.791100025177002,0.13449999690055847,0.1378999948501587
convnext_tiny+swin_t,jpeg_compression,5,10000,79,0.922077922077922,0.07792207792207792,71,6,2,7.58504746835443,7.03125,0.46709999442100525,0.5148000121116638,0.4659999907016754
convnext_tiny+swin_t,motion_blur,5,10000,79,0.5352112676056338,0.4647887323943662,38,33,8,6.853243670886076,7.03125,0.6779999732971191,0.23980000615119934,0.24009999632835388
convnext_tiny+swin_t,pixelate,5,10000,79,0.8493150684931506,0.1506849315068493,62,11,6,8.188291139240507,7.8125,0.6682000160217285,0.3330000042915344,0.28949999809265137
convnext_tiny+swin_t,shot_noise,5,10000,79,0.5616438356164384,0.4383561643835616,41,32,6,5.5775316455696204,5.46875,0.7835999727249146,0.1597999930381775,0.15710000693798065
convnext_tiny+swin_t,snow,5,10000,79,0.7702702702702703,0.22972972972972974,57,17,5,7.466376582278481,7.8125,0.5861999988555908,0.3452000021934509,0.3206000030040741
convnext_tiny+swin_t,zoom_blur,5,10000,79,0.8933333333333333,0.10666666666666667,67,8,4,6.170886075949367,6.25,0.6317999958992004,0.28200000524520874,0.2476000040769577
convnext_tiny+swin_t,ALL,-,150000,1185,0.5694822888283378,0.4305177111716621,627,474,84,6.5222837552742625,6.25,0.6352799991766612,0.2939400022228559,0.29059333354234695
convnext_tiny+deit_small,brightness,5,10000,79,0.4305555555555556,0.5694444444444444,31,41,7,6.645569620253164,7.03125,0.2770000100135803,0.6797000169754028,0.6881999969482422
convnext_tiny+deit_small,contrast,5,10000,79,0.0,1.0,0,79,0,6.744462025316455,6.25,0.6549000144004822,0.2955000102519989,0.39480000734329224
convnext_tiny+deit_small,defocus_blur,5,10000,79,0.05263157894736842,0.9473684210526315,4,72,3,5.409414556962025,5.46875,0.7034000158309937,0.20659999549388885,0.26899999380111694
