corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
snow/s5,0.0,0.4623493552207947,0.21065327525138855,0.4623493552207947,0.21065327525138855,0.375,0.4296875,3.304664373397827,5.476672172546387
snow/s5,0.01282051282051282,0.5489171743392944,0.19148428738117218,0.47317033261060715,0.2082571517676115,0.3779296875,0.4306640625,3.2254908680915833,5.485802710056305
snow/s5,0.02564102564102564,0.6093602180480957,0.19829365611076355,0.4901940682902932,0.2070117148105055,0.3853759765625,0.4315185546875,3.0935318395495415,5.4886612221598625
snow/s5,0.038461538461538464,0.6301252841949463,0.22191748023033142,0.5076854702783749,0.20887493548798375,0.3967742919921875,0.4351959228515625,2.947326340712607,5.467348814941943
snow/s5,0.05128205128205128,0.6927111148834229,0.21614234149456024,0.5308136758540059,0.2097833612388058,0.41163063049316406,0.4423198699951172,2.7745615429012105,5.459542543510906
snow/s5,0.0641025641025641,0.6704800128936768,0.19004598259925842,0.5482719679839647,0.2073161889088624,0.41584086418151855,0.44074082374572754,2.6065858317451784,5.469924923745566
snow/s5,0.07692307692307693,0.6958202123641968,0.2551642060279846,0.5667154985314937,0.21329719104875267,0.42733731865882874,0.4481482207775116,2.4415722984977037,5.423566815601589
snow/s5,0.08974358974358974,0.6876642107963562,0.20985761284828186,0.5818340875646015,0.21286724377369382,0.43153734132647514,0.44974688068032265,2.293787276898229,5.423837301809044
snow/s5,0.10256410256410256,0.7160235643386841,0.24470870196819305,0.5986077721613619,0.21684742604800622,0.44107173616066575,0.4452863330952823,2.124500335887177,5.387635094889646
snow/s5,0.11538461538461539,0.6246452331542969,0.2340661585330963,0.6018624547854787,0.21899976760864248,0.43867214414058253,0.451148978958372,2.005564236572102,5.367850899793272
snow/s5,0.1282051282051282,0.5967929363250732,0.2526698410511017,0.601228764977928,0.22320852678894987,0.4404787511230097,0.4553022315885755,1.8616173996919154,5.337209388698508
snow/s5,0.14102564102564102,0.48254990577697754,0.282320111989975,0.5863939075778092,0.230597474939078,0.4244814072326335,0.4638191401400036,1.707992237567359,5.285470390766559
snow/s5,0.15384615384615385,0.3562835156917572,0.25765740871429443,0.5576301085920526,0.23397996666098006,0.3948587313285543,0.46248237262250314,1.5543096875543616,5.252885377797966
snow/s5,0.16666666666666666,0.24855799973011017,0.29396963119506836,0.5189960949843098,0.2414786747277411,0.366009202412485,0.46814863854469024,1.3861528021316547,5.195084663077493
snow/s5,0.1794871794871795,0.14809705317020416,0.2860861122608185,0.47263371475754656,0.24705460441937577,0.3261174271109244,0.46627068372660396,1.225836693626465,5.140179833137752
snow/s5,0.19230769230769232,0.101084865629673,0.24285686016082764,0.42619010861656237,0.24652988638705725,0.28632931122205885,0.47341653576077847,1.0775816123215793,5.140209729788991
snow/s5,0.20512820512820512,0.1469694972038269,0.3381730318069458,0.3912875321899704,0.2579852795645433,0.25835064731930146,0.4777160312906812,0.9526804826992138,5.054532516403501
snow/s5,0.21794871794871795,0.10055027902126312,0.319767028093338,0.354945375543882,0.26570799813064266,0.2270333789043888,0.47757183987934604,0.8508279372796625,5.000495423727301
snow/s5,0.23076923076923078,0.08866957575082779,0.31610107421875,0.3216609005697502,0.2720071326416561,0.1986542065413402,0.4813519223944278,0.7452475847087052,4.9479220421328485
snow/s5,0.24358974358974358,0.08848906308412552,0.35674232244491577,0.2925144208840471,0.28259903136706355,0.17382243072367268,0.48563605709512436,0.6524297192875572,4.866636052460725
snow/s5,0.2564102564102564,0.08837954699993134,0.2902846038341522,0.2669975616485326,0.28355972792544965,0.1520946268832136,0.4854784249582338,0.5710460395479351,4.857497257878232
snow/s5,0.2692307692307692,0.08838684111833572,0.36247456073760986,0.244671221582258,0.2934240820269697,0.1330827985228119,0.4902233093384546,0.49979306657277417,4.790303386776266
snow/s5,0.28205128205128205,0.0883849710226059,0.37261074781417847,0.2251354402623015,0.3033224152503708,0.11644744870746042,0.49242195817114776,0.4374064449769011,4.700267332630893
snow/s5,0.2948717948717949,0.08838169276714325,0.3471771478652954,0.2080412218254067,0.3088042568272364,0.10189151761902787,0.49141608839975426,0.38279527922416734,4.6499504005986925
snow/s5,0.3076923076923077,0.08838256448507309,0.3343124985694885,0.19308388965786502,0.3119927870450179,0.0891550779166494,0.482723452349785,0.3349973804526063,4.613904445029166
snow/s5,0.32051282051282054,0.08838216960430145,0.4362655282020569,0.17999617465116957,0.3275268796896478,0.07801069317706821,0.4917189583060618,0.29316504368841695,4.492417189056435
snow/s5,0.3333333333333333,0.08838091790676117,0.3878819942474365,0.16854426755811852,0.33507126900937134,0.06923591902993469,0.4878712760178041,0.2565557761170242,4.4292955905228
snow/s5,0.34615384615384615,0.0883832797408104,0.3811948299407959,0.158524144080955,0.3408367141257994,0.06058142915119285,0.48059830401557857,0.22451770717547676,4.377474292742759
snow/s5,0.358974358974359,0.08838491886854172,0.38190633058547974,0.14975674092940333,0.34597041618325947,0.05398531300729374,0.47814070351363125,0.19647740609699513,4.326852725495007
snow/s5,0.3717948717948718,0.08838333189487457,0.41976553201675415,0.14208506480008723,0.3551948056624463,0.05016683638138202,0.48184967807442736,0.17194056749035475,4.256711270144053
snow/s5,0.38461538461538464,0.08838486671447754,0.46446576714515686,0.13537254003938604,0.36885367584778517,0.04487254433370927,0.48900128081512395,0.1504666013432079,4.1582210287592405
snow/s5,0.3974358974358974,0.08838529884815216,0.45440176129341125,0.12949913489048182,0.3795471865284884,0.039263476291995614,0.48451674571323344,0.13167556156958551,4.077460576792449
snow/s5,0.41025641025641024,0.08838564157485962,0.43129825592041016,0.12435994822602904,0.38601607020247863,0.03435554175549616,0.49035840249907925,0.1152312655101306,4.013576669978503
snow/s5,0.4230769230769231,0.08838637918233871,0.37201011180877686,0.11986325209556775,0.3842653254032659,0.030061099036059143,0.49156360218669437,0.10084090425404213,4.009387009393651
snow/s5,0.4358974358974359,0.08838561177253723,0.4093945622444153,0.11592854705518893,0.3874064800084096,0.02630346165655175,0.49359471441335756,0.08824819049179489,3.9777535437743303
