corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
shot_noise/s5,0.0,0.30089735984802246,0.047562774270772934,0.30089735984802246,0.047562774270772934,0.3125,0.171875,4.323380947113037,6.531535625457764
shot_noise/s5,0.01282051282051282,0.4932059943675995,0.044256627559661865,0.3358625661243092,0.046961656686934555,0.3181818181818182,0.17045454545454547,4.082888819954612,6.535557790236039
shot_noise/s5,0.02564102564102564,0.5158945918083191,0.03506360948085785,0.3685956617032201,0.04479837537673879,0.3299328512396694,0.16361053719008264,3.854094075762536,6.549812439059423
shot_noise/s5,0.038461538461538464,0.5712080597877502,0.05275779962539673,0.405434279536771,0.04624554342194932,0.33954733283245675,0.16085180315552214,3.5790087913410007,6.541758550547908
shot_noise/s5,0.05128205128205128,0.5592055320739746,0.04545287787914276,0.4333926890889898,0.04610142241416631,0.3417319086811009,0.16143556621815447,3.369970972018036,6.544163107880151
shot_noise/s5,0.0641025641025641,0.5722181797027588,0.05125509575009346,0.45863368738240234,0.04703845392978942,0.336417016193628,0.15054955417849,3.1630804874760936,6.538955894390178
shot_noise/s5,0.07692307692307693,0.6435413360595703,0.051314886659383774,0.49225325986916013,0.04781598715335203,0.33206846779478655,0.1643700897824009,2.9042032039921146,6.532232886509
shot_noise/s5,0.08974358974358974,0.610386848449707,0.05480094626545906,0.5137320941565322,0.04908597971918967,0.3384537463775526,0.1614732552765098,2.7326947133725876,6.52174938209157
shot_noise/s5,0.10256410256410256,0.660851001739502,0.056625425815582275,0.540480986444345,0.05045678810035196,0.3536212470361794,0.16762584522623528,2.539784893202727,6.510824976893724
shot_noise/s5,0.11538461538461539,0.6347765922546387,0.05056639760732651,0.5576256420462166,0.05047671710162006,0.3589287475750559,0.17265978245782887,2.398670335906157,6.506834489539911
shot_noise/s5,0.1282051282051282,0.6896493434906006,0.05003008618950844,0.5816299513997409,0.050395511481236124,0.35900988437959114,0.16399436746549634,2.226783953171488,6.501677715590582
shot_noise/s5,0.14102564102564102,0.6645141839981079,0.051348842680454254,0.5966998118721712,0.05056884442654851,0.3590762690378473,0.17110902792631516,2.0952152030534497,6.499491510454351
shot_noise/s5,0.15384615384615385,0.6434938311576843,0.05442698299884796,0.6052078153786281,0.051270324166966585,0.3449260383036932,0.16556647739425787,1.98088556123324,6.493786837022576
shot_noise/s5,0.16666666666666666,0.6818959712982178,0.06433271616697311,0.6191511164549172,0.053645304530604135,0.35039403133938535,0.17381575423166554,1.8769634441290208,6.478695369873051
shot_noise/s5,0.1794871794871795,0.6825088262557983,0.06145169585943222,0.6306707000550773,0.05506464840857288,0.35486784382313347,0.17346288982590816,1.776689259227344,6.463450109780055
shot_noise/s5,0.19230769230769232,0.6503095030784607,0.05171205475926399,0.6342413915138743,0.05445508592688035,0.35426687221892733,0.16749236440301576,1.7026609030768778,6.466575532463644
shot_noise/s5,0.20512820512820512,0.697314441204071,0.0705406665802002,0.6457092187302736,0.057379736954756684,0.35803653181548595,0.17397102542064924,1.6013956704523484,6.441519576831937
shot_noise/s5,0.21794871794871795,0.7075394988059998,0.07362885773181915,0.656951087834951,0.06033412255058622,0.3412344351217612,0.17927174807144028,1.5339973275325232,6.420250761393211
shot_noise/s5,0.23076923076923078,0.6543946862220764,0.06665896624326706,0.6564862875417011,0.06148409413107364,0.3274872650996228,0.17792688478572385,1.4663175266814394,6.411213247247854
shot_noise/s5,0.24358974358974358,0.6413122415542603,0.07006289064884186,0.653727370089439,0.0630438753161224,0.33186458053605494,0.18392881482468315,1.4152576968208357,6.3959697443802135
shot_noise/s5,0.2564102564102564,0.6844654083251953,0.06430260837078094,0.659316104314122,0.06327273587151486,0.33260511134768134,0.1845781212201953,1.3870932225586665,6.385622313772465
shot_noise/s5,0.2692307692307692,0.7333770990371704,0.0778544545173645,0.6727817397183126,0.06592395744348752,0.3360519092844665,0.18795028099834157,1.3013727202362655,6.365916922272463
shot_noise/s5,0.28205128205128205,0.6976172924041748,0.07291615009307861,0.6772972947521056,0.06719526519795863,0.33603110759638166,0.193550229907734,1.2154189511602715,6.354880534449398
shot_noise/s5,0.2948717948717949,0.6335057020187378,0.07329586148262024,0.6693351869824024,0.06830446452244256,0.31754817894249404,0.18818882446996416,1.1843870144919044,6.341001762183563
shot_noise/s5,0.3076923076923077,0.6568022966384888,0.07402409613132477,0.6670564796471453,0.06934439754223931,0.3152098736802224,0.18664312911178882,1.1201693520087126,6.3320902368415934
shot_noise/s5,0.32051282051282054,0.6708112359046936,0.09870874136686325,0.6677391626030631,0.07468336914671639,0.31755807846563655,0.19248074200055448,1.0502941314581948,6.28949483261782
shot_noise/s5,0.3333333333333333,0.6658619046211243,0.10423927009105682,0.6673978429699833,0.08005716931841465,0.3152179732900663,0.20009787981863547,0.9890069937871735,6.255062970461721
shot_noise/s5,0.34615384615384615,0.5751092433929443,0.08630512654781342,0.6506180975923399,0.0811931615419417,0.2976783417827815,0.1949664471243381,0.9440101257373127,6.246899447339996
shot_noise/s5,0.358974358974359,0.5674418807029724,0.09177780151367188,0.6354951490670003,0.08311764153680172,0.2890095523677303,0.19218845673809482,0.9109387184876663,6.225211534850888
shot_noise/s5,0.3717948717948718,0.5760571956634521,0.09044212102890015,0.6246882484481733,0.08444936508081961,0.28333736102814294,0.19559737369480484,0.8407846189925721,6.214939784423676
shot_noise/s5,0.38461538461538464,0.3708120882511139,0.09662216156721115,0.5785289465941624,0.08666260080561806,0.2602305681139351,0.20975012393211304,0.7621740561227622,6.201772888749431
shot_noise/s5,0.3974358974358974,0.33149969577789307,0.10283628106117249,0.5336145373548407,0.08960326994299159,0.23138182845685595,0.2085455559444561,0.6739614655890754,6.174336336078635
shot_noise/s5,0.41025641025641024,0.2083425223827362,0.11191844940185547,0.4744741709962762,0.09366057529914865,0.19499422328288213,0.21750318213637315,0.5780473284005055,6.1376204127797145
shot_noise/s5,0.4230769230769231,0.11732431501150131,0.10055680572986603,0.4095378335444989,0.09491443537746089,0.16522254632235808,0.21915033083885074,0.4797484433444193,6.131604208301034
shot_noise/s5,0.4358974358974359,0.0917929857969284,0.10413961857557297,0.3517660430449406,0.09659174141348126,0.1351820833546566,0.21055481614087787,0.394917097244088,6.111568115313371
shot_noise/s5,0.44871794871794873,0.08843237906694412,0.09115056693553925,0.30388719504894124,0.09560243696294635,0.11060352274471902,0.21062439502435462,0.3234603240673576,6.120511560678091
