corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
zoom_blur/s5,0.0,0.4511312246322632,0.1676269769668579,0.4511312246322632,0.1676269769668579,0.3515625,0.453125,3.3461947441101074,5.640783309936523
zoom_blur/s5,0.01282051282051282,0.5262333154678345,0.1531987339258194,0.4647861502387307,0.16500366005030545,0.36008522727272724,0.4431818181818182,3.2595162391662593,5.6614435369318175
zoom_blur/s5,0.02564102564102564,0.5627215504646301,0.12416721880435944,0.4825925866434396,0.15757885255104254,0.3656379132231405,0.4293646694214876,3.117942333221435,5.709017351639171
zoom_blur/s5,0.038461538461538464,0.6065669059753418,0.17206092178821564,0.5051333719765128,0.16021195604871036,0.3772832926371149,0.42516200225394435,2.9433054924011226,5.690927436708238
zoom_blur/s5,0.05128205128205128,0.6690952777862549,0.16761155426502228,0.5349446275782841,0.16155733754258525,0.3939136030667304,0.427405274571409,2.7355792739174576,5.6820020112873415
zoom_blur/s5,0.0641025641025641,0.6770998239517212,0.1868019998073578,0.560791026918909,0.16614727613618024,0.40609976614550664,0.42924067919478914,2.5299868110782837,5.6507140479424836
zoom_blur/s5,0.07692307692307693,0.6937909126281738,0.16853174567222595,0.5849728243205935,0.1665808160518249,0.4302748086645054,0.42079919206846383,2.345445334150054,5.64872049867613
zoom_blur/s5,0.08974358974358974,0.6964298486709595,0.15176606178283691,0.6052377378388418,0.16388722436655434,0.4358498434527771,0.4153129753287431,2.1693980199914016,5.662168477715439
zoom_blur/s5,0.10256410256410256,0.699539303779602,0.18310290575027466,0.6223834771007982,0.16738098461813983,0.45035441737045395,0.4264492525416989,2.0317607172094285,5.635656076188564
zoom_blur/s5,0.11538461538461539,0.7219127416610718,0.18447482585906982,0.6404797070208479,0.17048895575285436,0.4693240687576441,0.4227766611704809,1.8773239510516548,5.608713960795792
zoom_blur/s5,0.1282051282051282,0.7127162218093872,0.16721534729003906,0.6536136188005823,0.16989375421416064,0.4905265108017087,0.422612722775848,1.7406916231399414,5.60321804839036
zoom_blur/s5,0.14102564102564102,0.7376763224601746,0.17576971650123596,0.66889774673869,0.17096211099362887,0.502192145201398,0.43100131863478475,1.6304206748295076,5.5940060801749425
zoom_blur/s5,0.15384615384615385,0.6561457514762878,0.17157866060733795,0.6665792021455259,0.17107421092339414,0.4762253915284165,0.4165578970648238,1.5791040685627877,5.592809215522218
zoom_blur/s5,0.16666666666666666,0.75105881690979,0.2214791178703308,0.6819391321026648,0.1802387394592008,0.4848094112505225,0.4274678248712195,1.4947154218652587,5.544073940951506
zoom_blur/s5,0.1794871794871795,0.7112501859664917,0.1779463142156601,0.6872684146233605,0.17982193486946613,0.4847304273867911,0.4150873112582705,1.416615699748999,5.534762633095177
zoom_blur/s5,0.19230769230769232,0.716779351234436,0.16900399327278137,0.6926340394617378,0.17785503639734163,0.48466580422555633,0.40637825466585764,1.3646631688048672,5.540875379808917
