corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
pixelate/s5,0.0,0.5049422979354858,0.15457797050476074,0.5049422979354858,0.15457797050476074,0.4453125,0.5,2.9433889389038086,5.794839859008789
pixelate/s5,0.01282051282051282,0.5807636976242065,0.17152681946754456,0.5187280069697987,0.15765957940708505,0.44957386363636365,0.49289772727272724,2.8395338058471675,5.768163941123268
pixelate/s5,0.02564102564102564,0.6406255960464478,0.1382385790348053,0.5408912049837349,0.1541284884303069,0.46016270661157027,0.46435950413223137,2.6574620767073194,5.781745083075908
pixelate/s5,0.038461538461538464,0.6832958459854126,0.15125124156475067,0.5667829578931308,0.15360535263656938,0.4801899417731029,0.4594759579263711,2.4621415650549006,5.780895769820007
pixelate/s5,0.05128205128205128,0.6621253490447998,0.15853601694107056,0.5841179381025252,0.15450183705556958,0.4866326796325387,0.45405987466703085,2.28780950056172,5.772731873305325
pixelate/s5,0.0641025641025641,0.7032629251480103,0.17033623158931732,0.6057806630198861,0.15738081787988734,0.4975858287902589,0.4496285338184798,2.11343472339882,5.750242135398781
pixelate/s5,0.07692307692307693,0.7718405723571777,0.17833445966243744,0.6359733738084845,0.16119057093126007,0.537797496282939,0.4587869822151198,1.9328098172884656,5.718823873026692
pixelate/s5,0.08974358974358974,0.7514281272888184,0.16351494193077087,0.6569651471685451,0.16161318384026202,0.5579138605951319,0.4563370763578253,1.7975686145052157,5.712327710355024
pixelate/s5,0.10256410256410256,0.7532655000686646,0.18335531651973724,0.6744743022412941,0.16556629887289387,0.5644295223051079,0.45149169883822066,1.6539544424326453,5.684163065036346
pixelate/s5,0.11538461538461539,0.7813498973846436,0.2130783498287201,0.6939062286309939,0.174204853592135,0.5825446091587246,0.4588909354130896,1.5084752408681592,5.628504729769617
pixelate/s5,0.1282051282051282,0.8045631051063538,0.18429730832576752,0.714025660717423,0.17603984536188635,0.5987864984025929,0.4592630380652551,1.378445053752304,5.612093472888786
