corruption,t_frac,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
contrast/s5,0.0,0.0615898072719574,0.07705260813236237,0.0615898072719574,0.07705260813236237,0.171875,0.1953125,5.917196273803711,6.230370998382568
contrast/s5,0.01282051282051282,0.1968042552471161,0.0792517215013504,0.07849161326885223,0.07732749730348587,0.17578125,0.1962890625,5.773325800895691,6.227979302406311
contrast/s5,0.02564102564102564,0.3623102903366089,0.08606039732694626,0.11396894790232182,0.07841910980641842,0.17041015625,0.2020263671875,5.435278132557869,6.220774278044701
contrast/s5,0.038461538461538464,0.4143858551979065,0.0838056355714798,0.1515210613142699,0.07909242552705109,0.17254638671875,0.1982574462890625,5.06529744528234,6.212597282603383
contrast/s5,0.05128205128205128,0.3824925422668457,0.0889286994934082,0.18039249643334188,0.08032195977284573,0.16757965087890625,0.1998424530029297,4.7137066528666764,6.2007075974252075
contrast/s5,0.0641025641025641,0.28881168365478516,0.08707210421562195,0.19394489483602229,0.08116572782819276,0.15835094451904297,0.19927620887756348,4.288498809415614,6.1922154054336715
contrast/s5,0.07692307692307693,0.13319043815135956,0.09337397664785385,0.18635058775043944,0.0826917589306504,0.1405102014541626,0.20952293276786804,3.795309669443668,6.180936423155799
contrast/s5,0.08974358974358974,0.08822570741176605,0.09032802283763885,0.17408497770810527,0.08364629191902395,0.12294642627239227,0.21165287867188454,3.3265280837417777,6.173961655608309
contrast/s5,0.10256410256410256,0.08827449381351471,0.09764407575130463,0.16335866722128145,0.08539601489805904,0.10757812298834324,0.21156345633789897,2.913243565658206,6.159080757968184
contrast/s5,0.11538461538461539,0.0881451815366745,0.09864597022533417,0.15395698151070558,0.08705225931396843,0.09413085761480033,0.2105086492956616,2.5552039988831083,6.14264033485302
contrast/s5,0.1282051282051282,0.08832891285419464,0.10403814911842346,0.14575347292864171,0.0891754955395253,0.08236450041295029,0.2115388181337039,2.2372191047959378,6.12805373934649
contrast/s5,0.14102564102564102,0.08836193382740021,0.10846161842346191,0.13857953054098654,0.09158626090001738,0.0720689378613315,0.2143933408669909,1.958301345223871,6.109669750275957
contrast/s5,0.15384615384615385,0.08836857974529266,0.10414604097604752,0.1323031616915248,0.09315623340952114,0.06306032062866507,0.21103167325861705,1.7138934296423487,6.0944012375423355
contrast/s5,0.16666666666666666,0.08837421238422394,0.13292470574378967,0.12681204302811222,0.0981272924513047,0.055177780550081934,0.21590271410128992,1.4999644239433736,6.061239254999202
contrast/s5,0.1794871794871795,0.08837819844484329,0.12100843340158463,0.1220078124552036,0.1009874350700897,0.04828055798132169,0.21723518733862868,1.3126892177243101,6.033967625063694
contrast/s5,0.19230769230769232,0.08836889266967773,0.11372847855091095,0.11780294748201287,0.10258006550519236,0.04224548823365648,0.2125417264213001,1.1488072874363322,6.02435379683155
contrast/s5,0.20512820512820512,0.0883827805519104,0.10845887660980225,0.11412542661575006,0.10331491689326859,0.03794136470444942,0.21722401061863758,1.0053559397527316,6.014609294899115
contrast/s5,0.21794871794871795,0.08837797492742538,0.124090775847435,0.11090699515470948,0.1059118992625394,0.03319869411639324,0.22034444679130788,0.8798132687673584,5.993922673709028
contrast/s5,0.23076923076923078,0.08837883174419403,0.12114951014518738,0.10809097472839505,0.10781660062287039,0.029048857351844086,0.2220982659423944,0.7699357033299352,5.974051145380714
contrast/s5,0.24358974358974358,0.08838343620300293,0.12351320683956146,0.10562753241272103,0.10977867639995678,0.025417750182863574,0.2177734826995951,0.6737771420382723,5.959009000865351
contrast/s5,0.2564102564102564,0.08838212490081787,0.1262328326702118,0.10347185647373314,0.11183544593373866,0.022240531410005628,0.2208252348621457,0.5896222330608605,5.937125534372295
contrast/s5,0.2692307692307692,0.0883808359503746,0.12010322511196136,0.10158547890831332,0.1128689183310165,0.019460464983754925,0.22544864300437747,0.5159768429166055,5.927856971062392
contrast/s5,0.28205128205128205,0.08838295191526413,0.13424810767173767,0.09993516303418218,0.11554131699860665,0.01702790686078556,0.2285175626288303,0.4515291414097315,5.902285141828183
contrast/s5,0.2948717948717949,0.08838246762752533,0.14464342594146729,0.09849107610835008,0.11917908061646423,0.014899418503187364,0.23022630480022652,0.39513183076110125,5.869591213958669
contrast/s5,0.3076923076923077,0.08838342130184174,0.10902852565050125,0.09722761925753654,0.11791026124571886,0.013036991190288944,0.2287917667001982,0.3457800053028843,5.875242869541106
contrast/s5,0.32051282051282054,0.08838352560997009,0.17518571019172668,0.09612210755159073,0.12506969236396984,0.011407367291502825,0.23730217086267344,0.3025910163038108,5.821208318496173
contrast/s5,0.3333333333333333,0.08838456869125366,0.1642095446586609,0.09515491519404859,0.12996217390080622,0.009981446380064972,0.23986596200483926,0.2647984101020234,5.781394044927132
contrast/s5,0.34615384615384615,0.088384710252285,0.15853995084762573,0.09430863957632814,0.13353439601915867,0.008733765582556851,0.24113271675423434,0.23172715342143507,5.756353592202018
contrast/s5,0.358974358974359,0.08838532119989395,0.15468943119049072,0.09356822477927386,0.1361787754155752,0.007642044884737244,0.24126456465995505,0.20278824020080113,5.732946463832588
contrast/s5,0.3717948717948718,0.08838480710983276,0.1678401678800583,0.09292029757059372,0.14013644947363557,0.006686789274145089,0.24723930657746068,0.1774641435653272,5.704842746116881
contrast/s5,0.38461538461538464,0.08838463574647903,0.16027233004570007,0.09235333984257939,0.14265343454514362,0.005850940614876953,0.2563734557552781,0.1553049187486643,5.682549811776374
contrast/s5,0.3974358974358974,0.08838304877281189,0.15884456038475037,0.09185705345885845,0.14467732527509447,0.005119573038017334,0.24776427378586832,0.13591440612898886,5.658272798065252
contrast/s5,0.41025641025641024,0.08838503062725067,0.1580941379070282,0.09142305060490748,0.14635442685408617,0.004479626408265167,0.24511405206263479,0.11894641016347694,5.638418662849484
contrast/s5,0.4230769230769231,0.08838464319705963,0.15466001629829407,0.09104324967892649,0.14739262553461216,0.003919673107232021,0.23595917055480545,0.10409834826062865,5.629994441832594
contrast/s5,0.4358974358974359,0.08838406950235367,0.1556570827960968,0.09071085215685488,0.14842568269229775,0.0034297139688280187,0.23380802423545477,0.0911054273144438,5.612737520083591
contrast/s5,0.44871794871794873,0.08838493376970291,0.1630248874425888,0.09042011235846088,0.15025058328608412,0.0030009997227245164,0.23973827120602292,0.07973592450436229,5.589666665198112
contrast/s5,0.46153846153846156,0.08838516473770142,0.19179196655750275,0.09016574390586594,0.15544325619501145,0.002625874757383952,0.25078661230527005,0.06978653565785287,5.550789557920388
