global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l
0,brightness/s5,128,0.7109375,1.3454097509384155,2.348118543624878,0.7109375,1.3454097509384155,2.348118543624878,0.7578125,1.5431740283966064,3.719238519668579,0.7578125,1.5431740283966064,3.719238519668579,0.75,1.1512154340744019,0.6015885472297668,0.75,1.1512154340744019,0.6015885472297668,0.7848035097122192
1,brightness/s5,128,0.65625,1.6005650758743286,2.3749823570251465,0.68359375,1.472987413406372,2.361550450325012,0.734375,1.6377053260803223,3.8348288536071777,0.74609375,1.5904396772384644,3.7770336866378784,0.6640625,1.6459214687347412,0.6405819654464722,0.70703125,1.3985684514045715,0.6210852563381195,0.8851534128189087
2,brightness/s5,128,0.6640625,1.4909491539001465,2.1794662475585938,0.6770833333333334,1.4789746602376301,2.3008557160695395,0.71875,1.6585938930511475,3.9049887657165527,0.7369791666666666,1.6131577491760254,3.819685379664103,0.671875,1.658948302268982,0.5036830902099609,0.6953125,1.4853617350260417,0.5819512009620667,0.9416773915290833
3,brightness/s5,128,0.71875,1.3748584985733032,2.027507781982422,0.6875,1.4529456198215485,2.23251873254776,0.7578125,1.362682580947876,3.353705883026123,0.7421875,1.550538957118988,3.703190505504608,0.71875,1.5130584239959717,0.5029990673065186,0.701171875,1.4922859072685242,0.5622131675481796,0.94505375623703
4,brightness/s5,128,0.71875,1.4317322969436646,2.162843704223633,0.69375,1.4487029552459716,2.2185837268829345,0.75,1.6516239643096924,3.937377452850342,0.74375,1.570755958557129,3.750027894973755,0.71875,1.5878514051437378,0.48498204350471497,0.7046875,1.511399006843567,0.5467669427394867,0.9590479135513306
5,brightness/s5,128,0.71875,1.1950585842132568,2.0752370357513428,0.6979166666666666,1.4064288934071858,2.194692611694336,0.703125,1.4043759107589722,3.3606343269348145,0.7369791666666666,1.5430259505907695,3.6851289669672647,0.7421875,1.2341047525405884,0.4638795852661133,0.7109375,1.4651832977930705,0.5329523831605911,0.9478245973587036
6,brightness/s5,128,0.6640625,1.421799659729004,2.079831600189209,0.6930803571428571,1.4086247171674455,2.178283895765032,0.7109375,1.7669438123703003,4.1543779373168945,0.7332589285714286,1.5750142165592738,3.752164534160069,0.671875,1.6095603704452515,0.527644693851471,0.7053571428571429,1.485808593886239,0.5321941418307168,0.9756804704666138
7,brightness/s5,128,0.75,1.0495644807815552,1.862195611000061,0.7001953125,1.3637421876192093,2.1387728601694107,0.7265625,1.4094196557998657,3.6669342517852783,0.732421875,1.5543148964643478,3.74151074886322,0.75,1.1121313571929932,0.4094100594520569,0.7109375,1.4390989392995834,0.5168461315333843,0.9765375852584839
8,brightness/s5,128,0.703125,1.3135970830917358,1.889936923980713,0.7005208333333334,1.358170509338379,2.111124422815111,0.71875,1.4098050594329834,2.9188284873962402,0.7309027777777778,1.5382582479053073,3.6501016087002225,0.7109375,1.5267306566238403,0.39605969190597534,0.7109375,1.4488357967800565,0.5034254160192277,0.9508241415023804
9,brightness/s5,128,0.6875,1.461996078491211,1.8346843719482422,0.69921875,1.368553066253662,2.083480417728424,0.7109375,1.5316646099090576,3.4190778732299805,0.72890625,1.5375988841056825,3.6269992351531983,0.6875,1.771925449371338,0.4167633652687073,0.70859375,1.4811447620391847,0.49475921094417574,0.9596187472343445
10,brightness/s5,128,0.703125,1.1702889204025269,1.880252718925476,0.6995738636363636,1.350529052994468,2.0650051723827016,0.7578125,1.2626152038574219,3.1862893104553223,0.7315340909090909,1.5126003677194768,3.5869346965443003,0.703125,1.2480545043945312,0.422405481338501,0.7080965909090909,1.4599547386169434,0.4881815991618417,0.9499238133430481
11,brightness/s5,128,0.6796875,1.4735252857208252,1.7720410823822021,0.6979166666666666,1.3607787390549977,2.0405914982159934,0.6796875,1.5876221656799316,3.3434834480285645,0.7272135416666666,1.5188521842161815,3.5666470925013223,0.6875,1.8107250928878784,0.4153760075569153,0.7063802083333334,1.4891856014728546,0.4821144665280978,0.9609799981117249
12,brightness/s5,128,0.734375,1.1931495666503906,1.6711266040802002,0.7007211538461539,1.3478841873315663,2.012171121744009,0.75,1.2709393501281738,3.0218682289123535,0.7289663461538461,1.4997819662094116,3.5247410260714016,0.734375,1.3967822790145874,0.3735426068305969,0.7085336538461539,1.4820776535914495,0.4737627850129054,0.9616461992263794
13,brightness/s5,128,0.71875,1.3816097974777222,1.8079942464828491,0.7020089285714286,1.3502931594848633,1.9975870592253548,0.6796875,1.4510947465896606,2.723997116088867,0.7254464285714286,1.4963043076651437,3.4675450325012207,0.71875,1.6143172979354858,0.44648754596710205,0.7092633928571429,1.4915233424731664,0.47181455365249086,0.93796306848526
14,brightness/s5,128,0.6875,1.5456472635269165,1.7023611068725586,0.7010416666666667,1.3633167664210002,1.9779053290685018,0.703125,1.5247055292129517,3.4319686889648438,0.7239583333333334,1.4981977224349976,3.465173276265462,0.6875,1.939340591430664,0.39114081859588623,0.7078125,1.5213778257369994,0.46643630464871727,0.9612458348274231
15,brightness/s5,128,0.640625,1.3933753967285156,1.7938125133514404,0.697265625,1.3651954308152199,1.9663995280861855,0.703125,1.3054065704345703,2.7578186988830566,0.72265625,1.4861482754349709,3.420963615179062,0.6484375,1.5645649433135986,0.5034996271133423,0.7041015625,1.524077020585537,0.4687527623027563,0.9297393560409546
16,brightness/s5,128,0.6640625,1.4670696258544922,1.7923425436019897,0.6953125,1.3711880305234123,1.9561608819400562,0.6953125,1.4495302438735962,2.874075174331665,0.7210477941176471,1.4839942735784195,3.388793706893921,0.6796875,1.6822292804718018,0.4659649133682251,0.7026654411764706,1.5333800946964937,0.46858877118896036,0.9187630414962769
17,brightness/s5,128,0.703125,1.2200154066085815,1.6720467805862427,0.6957465277777778,1.362789551417033,1.9403767651981778,0.7421875,1.4707551002502441,3.4586944580078125,0.7222222222222222,1.4832587639490764,3.392677081955804,0.7109375,1.4119248390197754,0.39725613594055176,0.703125,1.5266325804922316,0.4646258470084932,0.9551228284835815
18,brightness/s5,128,0.65625,1.3817026615142822,1.6500442028045654,0.6936677631578947,1.3637849782642566,1.9250961040195667,0.671875,1.4145387411117554,2.3932394981384277,0.7195723684210527,1.479641920641849,3.3400751038601526,0.6640625,1.6108652353286743,0.4295048117637634,0.7010690789473685,1.5310658781152022,0.4627773714692969,0.9132232069969177
