corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
brightness/s5,1,-0.9173730109469034,-0.8400836128857918,0.39250548314531275,0.3976946168103631,0.0,0.0,0.5,0.5,0.7109375,0.6328125,0.6953125
brightness/s5,2,-0.9173730109469034,-0.8400836128857918,0.39250548314531275,0.3976946168103631,0.0,0.0,0.5,0.5,0.6953125,0.6484375,0.6796875
brightness/s5,3,-0.9173730109469034,-0.8400836128857918,0.39250548314531275,0.3976946168103631,0.0,0.0,0.5,0.5,0.6640625,0.6328125,0.6953125
brightness/s5,4,-0.9173730109469034,-0.8400836128857918,0.39250548314531275,0.3976946168103631,0.0,0.0,0.5,0.5,0.734375,0.59375,0.703125
brightness/s5,5,-0.9173730109469034,-0.8400836128857918,0.39250548314531275,0.3976946168103631,0.0,0.0,0.5,0.5,0.734375,0.6015625,0.6640625
brightness/s5,6,-0.9173730109469034,-0.8400836128857918,0.39250548314531275,0.3976946168103631,0.0,0.0,0.5,0.5,0.71875,0.6171875,0.7265625
brightness/s5,7,-0.9173730109469034,-0.8400836128857918,0.39250548314531275,0.3976946168103631,0.0,0.0,0.5,0.5,0.7578125,0.6484375,0.7734375
brightness/s5,8,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.703125,0.5546875,0.71875
brightness/s5,9,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.71875,0.5625,0.71875
brightness/s5,10,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.71875,0.6171875,0.734375
brightness/s5,11,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.765625,0.5859375,0.765625
brightness/s5,12,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.7578125,0.625,0.7578125
brightness/s5,13,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.6796875,0.5234375,0.6796875
brightness/s5,14,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.7578125,0.6328125,0.7578125
brightness/s5,15,-0.7790246317745186,-0.7448214202304371,0.5428061523339546,0.46311067716305965,0.08582239352733935,-0.07391295073683567,0.9279599189758301,0.07204008102416992,0.7421875,0.5703125,0.75
brightness/s5,16,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.703125,0.59375,0.703125
brightness/s5,17,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.7734375,0.6484375,0.78125
brightness/s5,18,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.6640625,0.5546875,0.6640625
brightness/s5,19,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.7109375,0.578125,0.7109375
brightness/s5,20,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.734375,0.5859375,0.734375
brightness/s5,21,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.71875,0.625,0.71875
brightness/s5,22,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.765625,0.671875,0.7578125
brightness/s5,23,-0.752709984430112,-0.721661577525083,0.571394193111789,0.4790144226673601,0.18668204462979332,-0.07895230126689831,0.9859384894371033,0.014061510562896729,0.6875,0.6328125,0.6875
brightness/s5,24,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.71875,0.6484375,0.71875
brightness/s5,25,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.6640625,0.578125,0.6640625
brightness/s5,26,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.703125,0.59375,0.703125
brightness/s5,27,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.7109375,0.5546875,0.7109375
brightness/s5,28,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.6875,0.6171875,0.6875
brightness/s5,29,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.71875,0.625,0.71875
brightness/s5,30,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.703125,0.65625,0.703125
brightness/s5,31,-0.766208617365919,-0.7133055636659265,0.5567293768304529,0.4847524546366235,0.2072904184856147,-0.06998069961373844,0.9882992506027222,0.011700749397277832,0.75,0.6328125,0.7578125
brightness/s5,32,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.75,0.6328125,0.75
brightness/s5,33,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.7890625,0.6328125,0.796875
brightness/s5,34,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.65625,0.59375,0.6640625
brightness/s5,35,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.7265625,0.6015625,0.7265625
brightness/s5,36,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.7578125,0.625,0.7578125
brightness/s5,37,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.71875,0.6171875,0.71875
brightness/s5,38,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.7109375,0.625,0.71875
brightness/s5,39,-0.7566734261927195,-0.7042472820612602,0.5670883389140476,0.49097273027405663,0.23863590970548645,-0.05304685136689746,0.9906864762306213,0.009313523769378662,0.6875,0.609375,0.6875
brightness/s5,40,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.6953125,0.625,0.703125
brightness/s5,41,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.6484375,0.5234375,0.640625
brightness/s5,42,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.6875,0.6484375,0.6875
brightness/s5,43,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.6796875,0.5859375,0.6796875
brightness/s5,44,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.71875,0.703125,0.71875
brightness/s5,45,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.75,0.65625,0.75
brightness/s5,46,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.671875,0.4921875,0.6796875
brightness/s5,47,-0.7849800027906895,-0.7180533622158691,0.536336280736241,0.4814921656612359,0.1921188584880132,-0.06355601406561323,0.9835492372512817,0.01645076274871826,0.7578125,0.6015625,0.7578125
brightness/s5,48,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.7265625,0.65625,0.7265625
brightness/s5,49,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.78125,0.703125,0.7734375
brightness/s5,50,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.6875,0.609375,0.6875
brightness/s5,51,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.671875,0.53125,0.671875
brightness/s5,52,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.7421875,0.703125,0.7421875
brightness/s5,53,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.6796875,0.578125,0.6796875
brightness/s5,54,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.71875,0.625,0.7109375
brightness/s5,55,-0.7580436904681846,-0.7065576273016632,0.5655996938081221,0.4893862280167703,0.2280194791157605,-0.053008740299704,0.9889744520187378,0.011025547981262207,0.7421875,0.625,0.75
brightness/s5,56,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.6796875,0.5703125,0.6875
brightness/s5,57,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.5703125,0.4921875,0.5703125
brightness/s5,58,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.7265625,0.6640625,0.7265625
brightness/s5,59,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.796875,0.671875,0.796875
brightness/s5,60,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.7265625,0.671875,0.7265625
brightness/s5,61,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.6796875,0.6328125,0.6875
brightness/s5,62,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.7265625,0.609375,0.7265625
brightness/s5,63,-0.7562767947092652,-0.6968673945521004,0.5675192364622594,0.4960404612724588,0.2498781383666145,-0.03442361315099826,0.9895311594009399,0.010468840599060059,0.7109375,0.625,0.7109375
brightness/s5,64,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.703125,0.5703125,0.703125
brightness/s5,65,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.71875,0.5703125,0.7265625
brightness/s5,66,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.6484375,0.53125,0.6484375
brightness/s5,67,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.734375,0.6640625,0.7421875
brightness/s5,68,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.765625,0.640625,0.765625
brightness/s5,69,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.65625,0.59375,0.6640625
brightness/s5,70,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.703125,0.609375,0.703125
brightness/s5,71,-0.7614873445127159,-0.6970215659239329,0.5618585331928444,0.49593459258013367,0.24929319723477228,-0.025342800598802083,0.9878016114234924,0.012198388576507568,0.6640625,0.53125,0.6640625
brightness/s5,72,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.7265625,0.6953125,0.734375
brightness/s5,73,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.6875,0.59375,0.6953125
brightness/s5,74,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.7265625,0.671875,0.7265625
brightness/s5,75,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.65625,0.5625,0.6640625
brightness/s5,76,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.6640625,0.59375,0.671875
brightness/s5,77,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.734375,0.65625,0.734375
brightness/s5,78,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.734375,0.6640625,0.734375
brightness/s5,79,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.19848169303857416,-0.06381048590334883,0.9851775169372559,0.01482248306274414,0.625,0.6875,0.625
contrast/s5,80,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.0,0.0,0.5,0.5,0.1953125,0.1171875,0.1953125
contrast/s5,81,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.0,0.0,0.5,0.5,0.203125,0.0859375,0.15625
contrast/s5,82,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.0,0.0,0.5,0.5,0.2421875,0.0859375,0.1953125
contrast/s5,83,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.0,0.0,0.5,0.5,0.171875,0.0625,0.140625
contrast/s5,84,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.0,0.0,0.5,0.5,0.2109375,0.0703125,0.1640625
contrast/s5,85,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.0,0.0,0.5,0.5,0.1875,0.0859375,0.171875
contrast/s5,86,-0.7845065776491538,-0.7283045553485863,0.5368506063539982,0.47445272378020464,0.0,0.0,0.5,0.5,0.2578125,0.1171875,0.2421875
contrast/s5,87,-0.9581722565926611,-0.9390943981707096,0.3481814805105701,0.32970441707605125,-0.3135211696387225,-0.35476111819788864,0.659224271774292,0.340775728225708,0.2265625,0.0703125,0.203125
