corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
brightness/s5,34,0.671875,0.65625,0.671875,0.65625,0.7166776779701394,0.6466271649250525,0.5175054669380188,0.4824945330619812,0.671875,0.65625,0.703125
brightness/s5,35,0.671875,0.7265625,0.671875,0.7265625,0.7166776779701394,0.9772514316638422,0.43522268533706665,0.5647773146629333,0.671875,0.7265625,0.75
brightness/s5,36,0.6875,0.7578125,0.6875,0.7578125,0.7884573603642703,1.1407237740182365,0.41283291578292847,0.5871670842170715,0.6875,0.7578125,0.7578125
brightness/s5,37,0.7109375,0.71875,0.7109375,0.71875,0.8999415938726256,0.9382696385929302,0.4904191493988037,0.5095808506011963,0.7109375,0.71875,0.734375
brightness/s5,38,0.6484375,0.7109375,0.6484375,0.7109375,0.6121781180262782,0.8999415938726256,0.4285515248775482,0.5714484751224518,0.6484375,0.7109375,0.71875
brightness/s5,39,0.6875,0.6875,0.6875,0.6875,0.7884573603642703,0.7884573603642703,0.5,0.5,0.6875,0.6875,0.7578125
brightness/s5,40,0.6796875,0.6953125,0.6796875,0.6953125,0.752336051950276,0.8250747236024933,0.4818233549594879,0.5181766450405121,0.6796875,0.6953125,0.6953125
brightness/s5,41,0.625,0.6484375,0.625,0.6484375,0.5108256237659907,0.6121781180262782,0.474683552980423,0.525316447019577,0.625,0.6484375,0.640625
brightness/s5,42,0.7109375,0.6875,0.7109375,0.6875,0.8999415938726256,0.7884573603642703,0.5278422236442566,0.4721577763557434,0.7109375,0.6875,0.7265625
brightness/s5,43,0.6171875,0.6796875,0.6171875,0.6796875,0.47762755435639487,0.752336051950276,0.431751549243927,0.568248450756073,0.6171875,0.6796875,0.6875
brightness/s5,44,0.71875,0.71875,0.71875,0.71875,0.9382696385929302,0.9382696385929302,0.5,0.5,0.71875,0.71875,0.7421875
brightness/s5,45,0.7421875,0.75,0.7421875,0.75,1.0573693301340605,1.0986122886681098,0.48969075083732605,0.510309249162674,0.7421875,0.75,0.75
brightness/s5,46,0.640625,0.671875,0.640625,0.671875,0.578077850775158,0.7166776779701394,0.4654053747653961,0.5345946252346039,0.640625,0.671875,0.6953125
brightness/s5,47,0.65625,0.7578125,0.65625,0.7578125,0.6466271649250525,1.1407237740182365,0.3789289891719818,0.6210710108280182,0.65625,0.7578125,0.7578125
brightness/s5,48,0.6953125,0.7265625,0.6953125,0.7265625,0.8250747236024933,0.9772514316638422,0.4620290696620941,0.5379709303379059,0.6953125,0.7265625,0.7578125
brightness/s5,49,0.71875,0.78125,0.71875,0.78125,0.9382696385929302,1.2729656758128876,0.41709843277931213,0.5829015672206879,0.71875,0.78125,0.7890625
brightness/s5,50,0.71875,0.6875,0.71875,0.6875,0.9382696385929302,0.7884573603642703,0.5373831391334534,0.46261686086654663,0.71875,0.6875,0.734375
brightness/s5,51,0.5625,0.671875,0.5625,0.671875,0.25131442828090617,0.7166776779701394,0.38571426272392273,0.6142857372760773,0.5625,0.671875,0.640625
brightness/s5,52,0.734375,0.7421875,0.734375,0.7421875,1.0169342576538425,1.0573693301340605,0.4898926317691803,0.5101073682308197,0.734375,0.7421875,0.765625
brightness/s5,53,0.6640625,0.6796875,0.6640625,0.6796875,0.6814511407967541,0.752336051950276,0.4822861850261688,0.5177138149738312,0.6640625,0.6796875,0.7109375
brightness/s5,54,0.6796875,0.71875,0.6796875,0.71875,0.752336051950276,0.9382696385929302,0.45365002751350403,0.546349972486496,0.6796875,0.71875,0.71875
brightness/s5,55,0.6796875,0.7421875,0.6796875,0.7421875,0.752336051950276,1.0573693301340605,0.4243275225162506,0.5756724774837494,0.6796875,0.7421875,0.7109375
brightness/s5,56,0.671875,0.6796875,0.671875,0.6796875,0.7166776779701394,0.752336051950276,0.4910863935947418,0.5089136064052582,0.671875,0.6796875,0.6953125
brightness/s5,57,0.6171875,0.5703125,0.6171875,0.5703125,0.47762755435639487,0.2831262559159203,0.5484726428985596,0.45152735710144043,0.6171875,0.5703125,0.6484375
brightness/s5,58,0.6875,0.7265625,0.6875,0.7265625,0.7884573603642703,0.9772514316638422,0.4529411494731903,0.5470588505268097,0.6875,0.7265625,0.765625
brightness/s5,59,0.796875,0.796875,0.796875,0.796875,1.366876275262789,1.366876275262789,0.5,0.5,0.796875,0.796875,0.84375
brightness/s5,60,0.71875,0.7265625,0.71875,0.7265625,0.9382696385929302,0.9772514316638422,0.49025580286979675,0.5097441971302032,0.71875,0.7265625,0.75
brightness/s5,61,0.6796875,0.6796875,0.6796875,0.6796875,0.752336051950276,0.752336051950276,0.5,0.5,0.6796875,0.6796875,0.7109375
brightness/s5,62,0.6953125,0.7265625,0.6953125,0.7265625,0.8250747236024933,0.9772514316638422,0.4620290696620941,0.5379709303379059,0.6953125,0.7265625,0.734375
brightness/s5,63,0.671875,0.7109375,0.671875,0.7109375,0.7166776779701394,0.8999415938726256,0.4543118178844452,0.5456881821155548,0.671875,0.7109375,0.734375
brightness/s5,64,0.6796875,0.703125,0.6796875,0.703125,0.752336051950276,0.8622235106038793,0.4725557863712311,0.5274442136287689,0.6796875,0.703125,0.7109375
brightness/s5,65,0.671875,0.71875,0.671875,0.71875,0.7166776779701394,0.9382696385929302,0.4448275566101074,0.5551724433898926,0.671875,0.71875,0.7421875
brightness/s5,66,0.7265625,0.6484375,0.7265625,0.6484375,0.9772514316638422,0.6121781180262782,0.5902680158615112,0.40973198413848877,0.7265625,0.6484375,0.7421875
brightness/s5,67,0.734375,0.734375,0.734375,0.734375,1.0169342576538425,1.0169342576538425,0.5,0.5,0.734375,0.734375,0.7421875
brightness/s5,68,0.71875,0.765625,0.71875,0.765625,0.9382696385929302,1.1837700970084166,0.43893131613731384,0.5610686838626862,0.71875,0.765625,0.765625
brightness/s5,69,0.640625,0.65625,0.640625,0.65625,0.578077850775158,0.6466271649250525,0.48286938667297363,0.5171306133270264,0.640625,0.65625,0.6953125
brightness/s5,70,0.6484375,0.703125,0.6484375,0.703125,0.6121781180262782,0.8622235106038793,0.43781229853630066,0.5621877014636993,0.6484375,0.703125,0.6875
brightness/s5,71,0.6640625,0.6640625,0.6640625,0.6640625,0.6814511407967541,0.6814511407967541,0.5,0.5,0.6640625,0.6640625,0.6953125
brightness/s5,72,0.6875,0.7265625,0.6875,0.7265625,0.7884573603642703,0.9772514316638422,0.4529411494731903,0.5470588505268097,0.6875,0.7265625,0.7734375
brightness/s5,73,0.7109375,0.6875,0.7109375,0.6875,0.8999415938726256,0.7884573603642703,0.5278422236442566,0.4721577763557434,0.7109375,0.6875,0.7265625
brightness/s5,74,0.703125,0.7265625,0.703125,0.7265625,0.8622235106038793,0.9772514316638422,0.4712746739387512,0.5287253260612488,0.703125,0.7265625,0.75
brightness/s5,75,0.625,0.65625,0.625,0.65625,0.5108256237659907,0.6466271649250525,0.466101735830307,0.533898264169693,0.625,0.65625,0.640625
brightness/s5,76,0.6875,0.6640625,0.6875,0.6640625,0.7884573603642703,0.6814511407967541,0.5267260670661926,0.4732739329338074,0.6875,0.6640625,0.7265625
brightness/s5,77,0.65625,0.734375,0.65625,0.734375,0.6466271649250525,1.0169342576538425,0.40846681594848633,0.5915331840515137,0.65625,0.734375,0.7421875
brightness/s5,78,0.6796875,0.734375,0.6796875,0.734375,0.752336051950276,1.0169342576538425,0.434233695268631,0.565766304731369,0.6796875,0.734375,0.75
brightness/s5,79,0.6796875,0.734375,0.6796875,0.734375,0.752336051950276,1.0169342576538425,0.434233695268631,0.565766304731369,0.625,0.625,0.5625
fog/s5,80,0.4921875,0.6484375,0.4921875,0.6484375,-0.031252543504104426,0.6121781180262782,0.34447145462036133,0.6555285453796387,0.4921875,0.6484375,0.6171875
fog/s5,81,0.4375,0.6171875,0.4375,0.6171875,-0.25131442828090605,0.47762755435639487,0.32542696595191956,0.6745730340480804,0.4375,0.6171875,0.65625
fog/s5,82,0.4140625,0.5859375,0.4140625,0.5859375,-0.3471961999841886,0.34719619998418855,0.3330566883087158,0.6669433116912842,0.4140625,0.5859375,0.609375
fog/s5,83,0.484375,0.5546875,0.484375,0.5546875,-0.06252035698133393,0.21962860920676536,0.4299269914627075,0.5700730085372925,0.484375,0.5546875,0.578125
fog/s5,84,0.4609375,0.6015625,0.4609375,0.6015625,-0.15656906069153992,0.41197978912935806,0.361571729183197,0.638428270816803,0.4609375,0.6015625,0.5703125
fog/s5,85,0.4453125,0.59375,0.4453125,0.59375,-0.21962860920676522,0.3794896217049037,0.3545454740524292,0.6454545259475708,0.4453125,0.59375,0.59375
fog/s5,86,0.4921875,0.625,0.4921875,0.625,-0.031252543504104426,0.5108256237659907,0.36770427227020264,0.6322957277297974,0.4921875,0.625,0.6640625
fog/s5,87,0.4765625,0.6328125,0.4765625,0.6328125,-0.09381875521765486,0.5443015529623801,0.34567156434059143,0.6543284356594086,0.4765625,0.6328125,0.6171875
fog/s5,88,0.546875,0.6328125,0.546875,0.6328125,0.18805223150293962,0.5443015529623801,0.41186779737472534,0.5881322026252747,0.546875,0.6328125,0.6640625
fog/s5,89,0.484375,0.546875,0.484375,0.546875,-0.06252035698133393,0.18805223150293962,0.43768253922462463,0.5623174607753754,0.484375,0.546875,0.5390625
fog/s5,90,0.4921875,0.6328125,0.4921875,0.6328125,-0.031252543504104426,0.5443015529623801,0.3599562346935272,0.6400437653064728,0.4921875,0.6328125,0.6484375
fog/s5,91,0.5234375,0.6484375,0.5234375,0.6484375,0.09381875521765491,0.6121781180262782,0.3732359707355499,0.6267640292644501,0.5234375,0.6484375,0.6484375
fog/s5,92,0.4375,0.5625,0.4375,0.5625,-0.25131442828090605,0.25131442828090617,0.3769230544567108,0.6230769455432892,0.4375,0.5625,0.5546875
fog/s5,93,0.5625,0.625,0.5625,0.625,0.25131442828090617,0.5108256237659907,0.4354838728904724,0.5645161271095276,0.5625,0.625,0.6640625
fog/s5,94,0.4765625,0.5859375,0.4765625,0.5859375,-0.09381875521765486,0.34719619998418855,0.3914991319179535,0.6085008680820465,0.4765625,0.5859375,0.625
fog/s5,95,0.4921875,0.5625,0.4921875,0.5625,-0.031252543504104426,0.25131442828090617,0.4298245906829834,0.5701754093170166,0.4921875,0.5625,0.546875
