corruption,batch_in_corruption,r_l,r_s,pred_l,pred_s,anchor,tau,acc_l,acc_s,duo_acc,true_better,anchor_correct
contrast/s5,1,0.22398284077644348,0.4318394660949707,0.22398284077644348,0.4318394660949707,small,1.5676193237304688,0.140625,0.2578125,0.28125,small,True
contrast/s5,2,0.23393186926841736,0.42663896083831787,0.23393186926841736,0.42663896083831787,small,1.5704010725021362,0.21875,0.2734375,0.3515625,small,True
contrast/s5,3,0.23395420610904694,0.4430301785469055,0.23395420610904694,0.4430301785469055,small,1.5697894096374512,0.265625,0.2421875,0.3671875,large,False
contrast/s5,4,0.22651797533035278,0.42976289987564087,0.22651797533035278,0.42976289987564087,small,1.5685498714447021,0.15625,0.1953125,0.2890625,small,True
contrast/s5,5,0.22274085879325867,0.4322744607925415,0.22274085879325867,0.4322744607925415,small,1.5755748748779297,0.1171875,0.15625,0.2578125,small,True
contrast/s5,6,0.2446141541004181,0.44051796197891235,0.2446141541004181,0.44051796197891235,small,1.56679105758667,0.2109375,0.234375,0.328125,small,True
contrast/s5,7,0.23226670920848846,0.44121891260147095,0.23226670920848846,0.44121891260147095,small,1.5543876886367798,0.1796875,0.203125,0.296875,small,True
contrast/s5,8,0.23869070410728455,0.4417518973350525,0.23869070410728455,0.4417518973350525,small,1.5662304162979126,0.234375,0.21875,0.28125,large,False
contrast/s5,9,0.23180796205997467,0.4311412572860718,0.23180796205997467,0.4311412572860718,small,1.5678398609161377,0.1484375,0.2109375,0.296875,small,True
contrast/s5,10,0.23277710378170013,0.43076276779174805,0.23277710378170013,0.43076276779174805,small,1.5684558153152466,0.1953125,0.1953125,0.2890625,tie,False
contrast/s5,11,0.2359103113412857,0.43688201904296875,0.2359103113412857,0.43688201904296875,small,1.5631424188613892,0.15625,0.21875,0.296875,small,True
contrast/s5,12,0.23198851943016052,0.4293432831764221,0.23198851943016052,0.4293432831764221,small,1.566867709159851,0.1953125,0.1875,0.3359375,large,False
contrast/s5,13,0.23215408623218536,0.4349305033683777,0.23215408623218536,0.4349305033683777,small,1.5710557699203491,0.1484375,0.15625,0.234375,small,True
contrast/s5,14,0.23171402513980865,0.43410924077033997,0.23171402513980865,0.43410924077033997,small,1.571581482887268,0.1640625,0.1953125,0.296875,small,True
contrast/s5,15,0.23494967818260193,0.43392688035964966,0.23494967818260193,0.43392688035964966,small,1.5674419403076172,0.1953125,0.2265625,0.3984375,small,True
contrast/s5,16,0.2340347021818161,0.4418063759803772,0.2340347021818161,0.4418063759803772,small,1.566809058189392,0.1640625,0.28125,0.3828125,small,True
contrast/s5,17,0.2336905300617218,0.44169747829437256,0.2336905300617218,0.44169747829437256,small,1.5639588832855225,0.21875,0.203125,0.328125,large,False
contrast/s5,18,0.22354592382907867,0.4331582188606262,0.22354592382907867,0.4331582188606262,small,1.572924017906189,0.1484375,0.2109375,0.3046875,small,True
contrast/s5,19,0.23195329308509827,0.4300838112831116,0.23195329308509827,0.4300838112831116,small,1.5668772459030151,0.1953125,0.1875,0.2890625,large,False
contrast/s5,20,0.2399662733078003,0.4460543990135193,0.2399662733078003,0.4460543990135193,small,1.5675466060638428,0.234375,0.3125,0.40625,small,True
contrast/s5,21,0.23039968311786652,0.4383631944656372,0.23039968311786652,0.4383631944656372,small,1.565826654434204,0.171875,0.234375,0.2578125,small,True
contrast/s5,22,0.23741638660430908,0.4344031810760498,0.23741638660430908,0.4344031810760498,small,1.5601547956466675,0.203125,0.1953125,0.3046875,large,False
contrast/s5,23,0.22583746910095215,0.4353410303592682,0.22583746910095215,0.4353410303592682,small,1.5745877027511597,0.1171875,0.1796875,0.2421875,small,True
contrast/s5,24,0.23785102367401123,0.437951922416687,0.23785102367401123,0.437951922416687,small,1.5583299398422241,0.171875,0.296875,0.3515625,small,True
contrast/s5,25,0.2298828810453415,0.43821531534194946,0.2298828810453415,0.43821531534194946,small,1.5665448904037476,0.1796875,0.203125,0.34375,small,True
contrast/s5,26,0.22035837173461914,0.4295288324356079,0.22035837173461914,0.4295288324356079,small,1.5748199224472046,0.125,0.1875,0.2734375,small,True
contrast/s5,27,0.22580775618553162,0.43837398290634155,0.22580775618553162,0.43837398290634155,small,1.5668160915374756,0.1796875,0.2578125,0.3671875,small,True
contrast/s5,28,0.2270895093679428,0.43806082010269165,0.2270895093679428,0.43806082010269165,small,1.5664938688278198,0.1328125,0.203125,0.28125,small,True
contrast/s5,29,0.2387661337852478,0.4288817346096039,0.2387661337852478,0.4288817346096039,small,1.568219542503357,0.1484375,0.171875,0.2421875,small,True
contrast/s5,30,0.23278498649597168,0.4305400848388672,0.23278498649597168,0.4305400848388672,small,1.5692071914672852,0.21875,0.2109375,0.3046875,large,False
contrast/s5,31,0.23631414771080017,0.4403154253959656,0.23631414771080017,0.4403154253959656,small,1.5698134899139404,0.234375,0.2734375,0.359375,small,True
contrast/s5,32,0.23060597479343414,0.4425863027572632,0.23060597479343414,0.4425863027572632,small,1.5699619054794312,0.2421875,0.2890625,0.359375,small,True
contrast/s5,33,0.2318490892648697,0.43922165036201477,0.2318490892648697,0.43922165036201477,small,1.5702499151229858,0.203125,0.2265625,0.3046875,small,True
contrast/s5,34,0.2406325340270996,0.43667522072792053,0.2406325340270996,0.43667522072792053,small,1.564601182937622,0.1875,0.2734375,0.40625,small,True
contrast/s5,35,0.23615914583206177,0.4382675886154175,0.23615914583206177,0.4382675886154175,small,1.5645074844360352,0.2109375,0.2421875,0.3359375,small,True
contrast/s5,36,0.22728770971298218,0.42749929428100586,0.22728770971298218,0.42749929428100586,small,1.5656483173370361,0.1796875,0.2109375,0.296875,small,True
contrast/s5,37,0.23461052775382996,0.4424159824848175,0.23461052775382996,0.4424159824848175,small,1.5671188831329346,0.1875,0.265625,0.3515625,small,True
contrast/s5,38,0.231143057346344,0.43338245153427124,0.231143057346344,0.43338245153427124,small,1.5705596208572388,0.1796875,0.21875,0.34375,small,True
contrast/s5,39,0.23459383845329285,0.4344390034675598,0.23459383845329285,0.4344390034675598,small,1.5621082782745361,0.2265625,0.25,0.3671875,small,True
contrast/s5,40,0.2252109944820404,0.4570120573043823,0.2252109944820404,0.4570120573043823,small,1.5758413076400757,0.0,0.0,0.125,tie,False
defocus_blur/s5,41,0.3377780318260193,0.43670111894607544,0.3377780318260193,0.43670111894607544,small,1.4888023138046265,0.2734375,0.1484375,0.328125,large,False
defocus_blur/s5,42,0.32752543687820435,0.42999204993247986,0.32752543687820435,0.42999204993247986,small,1.493880271911621,0.2890625,0.125,0.34375,large,False
defocus_blur/s5,43,0.339298814535141,0.43881064653396606,0.339298814535141,0.43881064653396606,small,1.4901372194290161,0.25,0.140625,0.3125,large,False
defocus_blur/s5,44,0.3309641480445862,0.43303337693214417,0.3309641480445862,0.43303337693214417,small,1.4925587177276611,0.296875,0.125,0.3515625,large,False
defocus_blur/s5,45,0.3307397961616516,0.4386233389377594,0.3307397961616516,0.4386233389377594,small,1.4939059019088745,0.21875,0.09375,0.25,large,False
defocus_blur/s5,46,0.3617127537727356,0.4324052035808563,0.3617127537727356,0.4324052035808563,small,1.4862875938415527,0.3359375,0.1171875,0.3515625,large,False
defocus_blur/s5,47,0.3301411271095276,0.42766088247299194,0.3301411271095276,0.42766088247299194,small,1.4948620796203613,0.2578125,0.1015625,0.296875,large,False
defocus_blur/s5,48,0.340359628200531,0.43574655055999756,0.340359628200531,0.43574655055999756,small,1.4893922805786133,0.3125,0.1015625,0.3828125,large,False
defocus_blur/s5,49,0.3595947325229645,0.43278515338897705,0.3595947325229645,0.43278515338897705,small,1.4910832643508911,0.34375,0.1875,0.4453125,large,False
defocus_blur/s5,50,0.34961801767349243,0.4293275773525238,0.34961801767349243,0.4293275773525238,small,1.487277626991272,0.328125,0.1953125,0.359375,large,False
defocus_blur/s5,51,0.3470795154571533,0.43179142475128174,0.3470795154571533,0.43179142475128174,small,1.4865621328353882,0.28125,0.125,0.3125,large,False
defocus_blur/s5,52,0.3453561067581177,0.4283025860786438,0.3453561067581177,0.4283025860786438,small,1.4907349348068237,0.3125,0.140625,0.328125,large,False
defocus_blur/s5,53,0.32843270897865295,0.4312642514705658,0.32843270897865295,0.4312642514705658,small,1.4932814836502075,0.3203125,0.1953125,0.3828125,large,False
defocus_blur/s5,54,0.3273962736129761,0.43478789925575256,0.3273962736129761,0.43478789925575256,small,1.495332956314087,0.2890625,0.140625,0.3203125,large,False
defocus_blur/s5,55,0.3782539665699005,0.4300886392593384,0.3782539665699005,0.4300886392593384,small,1.4830735921859741,0.3828125,0.1875,0.390625,large,False
defocus_blur/s5,56,0.3604566752910614,0.43059664964675903,0.3604566752910614,0.43059664964675903,small,1.4911283254623413,0.3671875,0.171875,0.3828125,large,False
defocus_blur/s5,57,0.3625148832798004,0.4352147579193115,0.3625148832798004,0.4352147579193115,small,1.4866451025009155,0.3515625,0.1328125,0.34375,large,False
defocus_blur/s5,58,0.3508507013320923,0.43761324882507324,0.3508507013320923,0.43761324882507324,small,1.490512728691101,0.265625,0.140625,0.3515625,large,False
defocus_blur/s5,59,0.33261969685554504,0.4293138384819031,0.33261969685554504,0.4293138384819031,small,1.492555856704712,0.2578125,0.1640625,0.3359375,large,False
defocus_blur/s5,60,0.36959266662597656,0.43423667550086975,0.36959266662597656,0.43423667550086975,small,1.487499713897705,0.3359375,0.1640625,0.359375,large,False
defocus_blur/s5,61,0.3600764274597168,0.43276697397232056,0.3600764274597168,0.43276697397232056,small,1.486577033996582,0.34375,0.1328125,0.3515625,large,False
defocus_blur/s5,62,0.34514784812927246,0.43671345710754395,0.34514784812927246,0.43671345710754395,small,1.4891248941421509,0.3125,0.1484375,0.3515625,large,False
defocus_blur/s5,63,0.3548426032066345,0.4385257661342621,0.3548426032066345,0.4385257661342621,small,1.4922157526016235,0.28125,0.1328125,0.3125,large,False
defocus_blur/s5,64,0.3607323467731476,0.4299015998840332,0.3607323467731476,0.4299015998840332,small,1.4878960847854614,0.3125,0.2109375,0.3984375,large,False
defocus_blur/s5,65,0.3549095392227173,0.43571823835372925,0.3549095392227173,0.43571823835372925,small,1.4878041744232178,0.34375,0.15625,0.390625,large,False
defocus_blur/s5,66,0.329550564289093,0.43324100971221924,0.329550564289093,0.43324100971221924,small,1.492148995399475,0.265625,0.109375,0.28125,large,False
defocus_blur/s5,67,0.3524401783943176,0.43397313356399536,0.3524401783943176,0.43397313356399536,small,1.4899396896362305,0.2421875,0.125,0.3046875,large,False
defocus_blur/s5,68,0.3316594064235687,0.42804861068725586,0.3316594064235687,0.42804861068725586,small,1.4932531118392944,0.28125,0.078125,0.234375,large,False
defocus_blur/s5,69,0.362464964389801,0.4313567280769348,0.362464964389801,0.4313567280769348,small,1.4880026578903198,0.3046875,0.1484375,0.2890625,large,False
defocus_blur/s5,70,0.34913644194602966,0.43222081661224365,0.34913644194602966,0.43222081661224365,small,1.4906991720199585,0.328125,0.15625,0.390625,large,False
defocus_blur/s5,71,0.3388766050338745,0.4327765107154846,0.3388766050338745,0.4327765107154846,small,1.4906810522079468,0.3046875,0.140625,0.3515625,large,False
defocus_blur/s5,72,0.3408389091491699,0.4343920350074768,0.3408389091491699,0.4343920350074768,small,1.4877879619598389,0.28125,0.1328125,0.2890625,large,False
defocus_blur/s5,73,0.35724347829818726,0.44008952379226685,0.35724347829818726,0.44008952379226685,small,1.4869931936264038,0.3125,0.1796875,0.359375,large,False
defocus_blur/s5,74,0.3627379536628723,0.42807650566101074,0.3627379536628723,0.42807650566101074,small,1.482093334197998,0.3359375,0.1796875,0.3828125,large,False
defocus_blur/s5,75,0.36633074283599854,0.4304123818874359,0.36633074283599854,0.4304123818874359,small,1.4834707975387573,0.3515625,0.2265625,0.40625,large,False
defocus_blur/s5,76,0.34772783517837524,0.4348026514053345,0.34772783517837524,0.4348026514053345,small,1.4856752157211304,0.3046875,0.0625,0.3203125,large,False
defocus_blur/s5,77,0.35510870814323425,0.4312167167663574,0.35510870814323425,0.4312167167663574,small,1.4912641048431396,0.296875,0.15625,0.359375,large,False
defocus_blur/s5,78,0.3429655432701111,0.43288296461105347,0.3429655432701111,0.43288296461105347,small,1.4910122156143188,0.3203125,0.109375,0.3125,large,False
defocus_blur/s5,79,0.36326485872268677,0.4251963496208191,0.36326485872268677,0.4251963496208191,small,1.4863216876983643,0.34375,0.1484375,0.328125,large,False
defocus_blur/s5,80,0.31360599398612976,0.44917169213294983,0.31360599398612976,0.44917169213294983,small,1.4955543279647827,0.125,0.125,0.125,tie,False
elastic_transform/s5,81,0.42646971344947815,0.512148380279541,0.42646971344947815,0.512148380279541,small,1.4656168222427368,0.390625,0.4453125,0.4921875,small,True
elastic_transform/s5,82,0.42933452129364014,0.508935809135437,0.42933452129364014,0.508935809135437,small,1.4703233242034912,0.3515625,0.4375,0.4609375,small,True
elastic_transform/s5,83,0.4109162986278534,0.5098410844802856,0.4109162986278534,0.5098410844802856,small,1.4651020765304565,0.3125,0.421875,0.4296875,small,True
elastic_transform/s5,84,0.4294421076774597,0.5066666007041931,0.4294421076774597,0.5066666007041931,small,1.4723663330078125,0.40625,0.484375,0.515625,small,True
elastic_transform/s5,85,0.42993518710136414,0.5054747462272644,0.42993518710136414,0.5054747462272644,small,1.4717068672180176,0.3671875,0.3984375,0.4921875,small,True
elastic_transform/s5,86,0.4420207440853119,0.5198842287063599,0.4420207440853119,0.5198842287063599,small,1.4668735265731812,0.4296875,0.5390625,0.546875,small,True
elastic_transform/s5,87,0.434500128030777,0.5184520483016968,0.434500128030777,0.5184520483016968,small,1.4701242446899414,0.34375,0.515625,0.5078125,small,True
elastic_transform/s5,88,0.41048794984817505,0.5085606575012207,0.41048794984817505,0.5085606575012207,small,1.4706661701202393,0.328125,0.4140625,0.453125,small,True
elastic_transform/s5,89,0.4405452609062195,0.5113600492477417,0.4405452609062195,0.5113600492477417,small,1.4646450281143188,0.4609375,0.4609375,0.5546875,tie,False
elastic_transform/s5,90,0.4365500211715698,0.513155460357666,0.4365500211715698,0.513155460357666,small,1.470032811164856,0.3671875,0.4765625,0.546875,small,True
elastic_transform/s5,91,0.42246127128601074,0.5006151795387268,0.42246127128601074,0.5006151795387268,small,1.468894362449646,0.3203125,0.421875,0.4765625,small,True
elastic_transform/s5,92,0.42897355556488037,0.5306838750839233,0.42897355556488037,0.5306838750839233,small,1.4640251398086548,0.390625,0.5,0.5234375,small,True
