"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"no_adapt","brightness","5","0.08485109671920538","1.0879120331826004","0.7415","0.88382","0.919","0.7401147741523525","0.3678118884563446","0.04630965352319181","1.4334050753033396","0.68546","0.8397","0.88072","0.6852394263249253","0.43164241313934326","0.29013159658730026","1.634648345704117","0.7105","0.86114","0.9012","0.7072978429390187","0.5059425234794617"
"no_adapt","contrast","5","0.17025151415050027","4.01981727093898","0.32756","0.45874","0.5135","0.36166190680677235","0.8481402397155762","0.12299903611481189","5.179553651871094","0.18384","0.28186","0.32588","0.23857205268553283","0.9625310897827148","0.16293224442303184","4.866419422807157","0.2255","0.34764","0.40282","0.22478751137822917","0.9475616216659546"
"no_adapt","defocus_blur","5","0.04229992698028684","3.389183619594399","0.34354","0.5009","0.56602","0.34346917285247275","0.787430465221405","0.059909583490490914","3.7208663260412234","0.31048","0.45836","0.5206","0.31288047317076223","0.819546639919281","0.09723464470416307","5.299127948465855","0.14258","0.24276","0.29756","0.13446956016643546","0.9716025590896606"
"no_adapt","elastic_transform","5","0.12429548407942057","2.5403866470302456","0.48476","0.6478","0.70728","0.49101496558220276","0.659932017326355","0.10602246275559069","3.309532660249478","0.3939","0.54458","0.604","0.40403709426078355","0.7616146206855774","0.30622416802167896","3.2725586759828382","0.47336","0.63934","0.70032","0.46176163928695346","0.7971699237823486"
"no_adapt","fog","5","0.06336180994957685","1.7038901116338012","0.63984","0.79314","0.83718","0.6439446479494793","0.4826517701148987","0.2642623067930341","2.9217188472233238","0.48726","0.66332","0.72032","0.538899750393042","0.7719883322715759","0.4267917798575759","2.915692260051986","0.58656","0.74918","0.79848","0.5802896307183054","0.7823913097381592"
"no_adapt","frost","5","0.017967544536590573","1.9762365029997953","0.58008","0.73592","0.78724","0.5845198041206024","0.5431951880455017","0.13705264289796354","2.5416825858396246","0.52566","0.67556","0.7275","0.5345757490113869","0.6493293642997742","0.3310933562004566","3.4967033883452685","0.4632","0.61962","0.6774","0.4643665711595952","0.8368937373161316"
"no_adapt","gaussian_noise","5","0.0618993375429511","3.21199950852013","0.38656","0.5408","0.60378","0.39247014358661114","0.751134991645813","0.061927275695353744","3.468698519868894","0.35682","0.50116","0.56084","0.3660098041070258","0.78183913230896","0.13343684247583149","5.462149453896644","0.16422","0.26798","0.32154","0.1621437100376616","0.975666344165802"
"no_adapt","glass_blur","5","0.10782186370305719","4.113836634753089","0.25848","0.39238","0.45382","0.253850239972462","0.8715428709983826","0.14437416575163603","4.6771567695979614","0.21488","0.33072","0.38754","0.21301998780530298","0.927302360534668","0.11290797992318868","5.262566573651264","0.15888","0.26186","0.31634","0.14530550463730904","0.9676671624183655"
"no_adapt","impulse_noise","5","0.08809022044748069","3.1725624265637906","0.39782","0.55474","0.61802","0.404073460604009","0.750628650188446","0.09177044485792518","3.4156726743059043","0.36884","0.51738","0.57852","0.3793515500967507","0.7820325493812561","0.13239135354161263","5.487811676309832","0.16094","0.26598","0.31904","0.1606968372380763","0.9771426320075989"
"no_adapt","jpeg_compression","5","0.07260315290123223","1.9486116449658741","0.57184","0.74496","0.8002","0.5724700032593535","0.5621902346611023","0.04082751140892506","2.2215313803624817","0.53282","0.70742","0.7662","0.5339421800985038","0.6036247611045837","0.29343080437362196","3.7500558358520117","0.40998","0.57274","0.63334","0.40336480261733926","0.8616352081298828"
"no_adapt","motion_blur","5","0.06840450330719353","2.957635347642168","0.406","0.56838","0.63406","0.4224752844264308","0.7266553044319153","0.08277201931677759","3.624247803679637","0.33174","0.47812","0.54072","0.3541750198923245","0.8050470352172852","0.2137174395661056","4.294541067065075","0.30028","0.4473","0.51288","0.2929285451933953","0.9130697846412659"
"no_adapt","pixelate","5","0.08234450978234412","2.1612698215983306","0.53276","0.7091","0.765","0.5377547984049726","0.6045277714729309","0.04824768673241139","2.7188345109765906","0.46202","0.62964","0.69028","0.47072952875044166","0.6808722019195557","0.30623014614403254","3.498983831674263","0.4382","0.6096","0.6752","0.43130356869315173","0.8420331478118896"
"no_adapt","shot_noise","5","0.03953861487239599","3.2160832219010884","0.37716","0.5352","0.6003","0.383792833837184","0.7520176768302917","0.02784265555202961","3.509564784192127","0.3435","0.49174","0.5538","0.35399842039313323","0.7874842286109924","0.13812989149689675","5.4084158531438","0.16958","0.27246","0.32584","0.16823236490699806","0.974531888961792"
"no_adapt","snow","5","0.07652113899290561","2.3528915183595136","0.50366","0.67332","0.73282","0.5158596036608287","0.6297131776809692","0.057222371887639165","3.1924472288064014","0.39246","0.5537","0.61782","0.4117551335564477","0.7518023252487183","0.2764274510920048","3.2617406518752254","0.46106","0.62474","0.6857","0.45761819757088623","0.7863619327545166"
"no_adapt","zoom_blur","5","0.09833361391626298","2.724498020243118","0.43212","0.6088","0.67782","0.44090978103884354","0.7113012671470642","0.09736365580037236","3.575293880912115","0.33548","0.4855","0.5512","0.34714738252081156","0.8108663558959961","0.28487415202707056","3.6244307665935667","0.40998","0.57656","0.6424","0.40368106287130434","0.8562653660774231"
"no_adapt","average","0","0.07990562212542691","2.705120955328461","0.46557866666666664","0.6232000000000001","0.6810693333333334","0.4725587613503051","0.3678118884563446","0.09259356483854356","3.3006804466153468","0.39501066666666657","0.5439173333333333","0.6017293333333333","0.409622236871145","0.43164241313934326","0.2337302566956381","4.102389716761261","0.3516546666666666","0.4905933333333334","0.5473373333333333","0.34654982329431055","0.5059425234794617"
