"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"both_duo","brightness","5","0.03926222756609321","0.9828090325928339","0.7598","0.8961","0.9275","0.7573679108782844","0.3387462794780731","0.08281835467226803","1.1584892531552415","0.7359","0.87822","0.91438","0.7329231168649911","0.37849268317222595","0.09409056180506944","1.3655722075724555","0.71714","0.86642","0.90398","0.7145359277311175","0.4174221456050873"
"both_duo","contrast","5","0.12446528914883732","2.290051009885527","0.5356","0.70394","0.76092","0.538523391186406","0.6252365112304688","0.18872565024375915","2.652028050397562","0.50474","0.67348","0.73144","0.5081122270540321","0.6859967708587646","0.15361226880632342","3.4988792482873494","0.38018","0.54264","0.60752","0.380766726578604","0.8107321262359619"
"both_duo","defocus_blur","5","0.17478419824823738","2.761179201622509","0.46208","0.63462","0.698","0.45475072659731164","0.7202918529510498","0.23807885801903905","3.044229596567352","0.44932","0.62124","0.68732","0.4415847145558384","0.7694698572158813","0.17701341217264532","4.184558178936342","0.27528","0.42718","0.49636","0.26404446477401544","0.9160611629486084"
"both_duo","elastic_transform","5","0.08001025477103889","1.6854087723664826","0.63038","0.78812","0.835","0.6291992444284692","0.5008109211921692","0.14852606866285206","2.0140359977737923","0.59614","0.75638","0.80704","0.5955343872041928","0.5621089339256287","0.1389974547922611","2.3350685435463316","0.55778","0.72838","0.78476","0.5525594078491163","0.6228559613227844"
"both_duo","fog","5","0.050357699240148074","1.409852473043703","0.68128","0.83414","0.87714","0.680117133551933","0.4442097246646881","0.11192497402653098","1.7792754840370986","0.63284","0.79","0.83748","0.6352441892903549","0.5150965452194214","0.10312601194143295","1.8295636132434014","0.63636","0.79954","0.84688","0.6324540480787293","0.527644157409668"
"both_duo","frost","5","0.0755961390195042","1.7691324145099594","0.62096","0.77706","0.82554","0.6196912555717032","0.5133507251739502","0.1376154749646783","2.048763123420193","0.5926","0.75148","0.80174","0.5902450034828198","0.5671725273132324","0.1222589642508328","2.590944150580473","0.5147","0.67968","0.73798","0.5144921823667473","0.6635128855705261"
"both_duo","gaussian_noise","5","0.16262293878026304","2.8248614549483646","0.45452","0.62428","0.68814","0.4551702356308742","0.7256636619567871","0.2384783072502166","3.292144203275662","0.42288","0.58654","0.65252","0.4227464599053908","0.799332320690155","0.154438141387105","3.89879520470632","0.31324","0.4676","0.53438","0.3112502841706586","0.8661661744117737"
"both_duo","glass_blur","5","0.2509882830621302","3.375027736203652","0.41064","0.5895","0.65724","0.4183042074015916","0.833779513835907","0.3310161561938375","3.973046030726182","0.38198","0.56842","0.63842","0.39513239715707016","0.9209476709365845","0.17678837697818875","4.202446958910384","0.277","0.42702","0.49642","0.2645504693989027","0.9189069271087646"
"both_duo","impulse_noise","5","0.146492841412127","2.6626694561373268","0.47384","0.64148","0.70608","0.4720138304151003","0.6960645318031311","0.21810899328812955","3.072991840680732","0.44682","0.61032","0.67526","0.4431878158930758","0.76277756690979","0.14869008350878954","3.8558073729794775","0.31968","0.47354","0.54098","0.3171447111917667","0.858289897441864"
"both_duo","jpeg_compression","5","0.08308309866145253","1.5835044823229352","0.64324","0.80624","0.8534","0.6407902891719925","0.48625248670578003","0.1373571411128342","1.787952891198836","0.62482","0.79242","0.84084","0.6217756857059428","0.5267507433891296","0.12411204953923823","2.411844134339444","0.531","0.70266","0.76264","0.5278970951513081","0.6437350511550903"
"both_duo","motion_blur","5","0.1112743429005146","2.0993925279081176","0.55686","0.72784","0.78342","0.5540683294913843","0.5935959219932556","0.18600245623588563","2.4563468320176676","0.5257","0.69756","0.7569","0.5223929260257548","0.6592845320701599","0.16266434639587998","3.1206972887566216","0.43284","0.60446","0.67148","0.4273340275284178","0.7657759189605713"
"both_duo","pixelate","5","0.07343004824288189","1.4508169376849838","0.66554","0.82434","0.86848","0.6627756802315936","0.4565129280090332","0.12609129459016025","1.6703469521320335","0.64586","0.80588","0.8519","0.6427789936171113","0.49792301654815674","0.12806451775461436","2.2149999804313896","0.5686","0.74118","0.79812","0.5647084010681108","0.6067320108413696"
"both_duo","shot_noise","5","0.14058295960642397","2.593778104950578","0.48492","0.65446","0.7154","0.4823376333148397","0.6811790466308594","0.21665887649334967","3.0268654220467743","0.45184","0.6172","0.68092","0.4482913239434276","0.753666877746582","0.15983691079467532","3.757581259506891","0.34146","0.49684","0.56358","0.33769627786126366","0.8454105257987976"
"both_duo","snow","5","0.07800259580224753","1.7522398873754212","0.6189","0.77856","0.8274","0.6171255386012048","0.5161285996437073","0.1565285884425044","2.1710171207296085","0.57146","0.73294","0.78736","0.57035376092253","0.5930799245834351","0.12875896870724857","2.395194114179497","0.53926","0.70774","0.7676","0.5360753916273552","0.6329216957092285"
