proxy_kind,calib_method,proxy_batch_size,corruption,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,isotonic,512,snow_s5,40,0.631578947368421,24,38,0.65625,0.8125,0.5,16,22,0.014624235433817294,0.20768031584896984,0.23593760463346947,0.27350671676640587,0.1941949827283814,0.4406755980632254,0.47024271088223885,0.1298354038243338,0.3603268014238378,0.42464316473217373
prototype,isotonic,512,zoom_blur_s5,40,0.0,0,40,nan,0.0,nan,40,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,brightness_s5,20,0.95,19,20,0.5,0.0,1.0,1,19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,clean,20,0.21052631578947367,4,19,0.5,0.0,1.0,15,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,contrast_s5,20,0.0,0,20,nan,0.0,nan,20,0,-0.10917357190361529,0.03591126175037778,0.0505926627693684,0.21807148817193805,nan,nan,nan,0.2896785498455085,0.5382179389852297,0.5759028284597284
prototype,isotonic,1024,defocus_blur_s5,20,0.0,0,20,nan,0.0,nan,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,elastic_transform_s5,20,0.0,0,20,nan,0.0,nan,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,fog_s5,20,1.0,20,20,nan,nan,1.0,0,20,-0.07398153222621845,0.09045785237522161,0.1998017781148218,0.10612191859231954,nan,nan,nan,0.026592361331744366,0.163071644781502,0.2314274147763276
prototype,isotonic,1024,frost_s5,20,0.0,0,20,nan,0.0,nan,20,0,-0.016454118567294836,0.04226593668336555,0.05044506912159977,-0.06771906806053449,nan,nan,nan,0.2394581217877616,0.4893445838953994,0.5072610819492277
prototype,isotonic,1024,gaussian_noise_s5,20,0.0,0,20,nan,0.0,nan,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,glass_blur_s5,20,0.0,0,20,nan,0.0,nan,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,impulse_noise_s5,20,1.0,20,20,nan,nan,1.0,0,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,jpeg_compression_s5,20,0.95,19,20,0.5,1.0,0.0,19,1,0.04242030181751555,0.22843355662847825,0.20383563461446327,0.19134869076914165,nan,nan,nan,0.23391112771623143,0.4836435957564531,0.22509873368128386
prototype,isotonic,1024,motion_blur_s5,20,0.0,0,20,nan,0.0,nan,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,pixelate_s5,20,1.0,20,20,nan,1.0,nan,20,0,0.08087907728477106,-0.010468978213496896,-0.019572542646078717,0.051821713052016626,0.38892429331524864,0.6236379505091465,0.5999396398934816,nan,nan,nan
prototype,isotonic,1024,shot_noise_s5,20,0.15,3,20,0.5,0.0,1.0,17,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
prototype,isotonic,1024,snow_s5,20,0.6,12,20,0.6262626262626263,0.8888888888888888,0.36363636363636365,9,11,0.015498510998607168,0.8134656390599554,0.7103131143873262,0.6936174679703425,0.4497285382487805,0.6706180270830635,0.7547025145419324,nan,nan,nan
prototype,isotonic,1024,zoom_blur_s5,20,0.0,0,20,nan,0.0,nan,20,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
