"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"both_duo","brightness","5","0.04117428639702499","0.9826704562436973","0.76024","0.8951","0.92742","0.7579772652397991","0.3382444679737091","0.08449221825271844","1.1615351183756482","0.73548","0.8779","0.91306","0.7325049678655852","0.3784237504005432","0.09198192287907005","1.34952330076467","0.71576","0.86642","0.90492","0.713281143148354","0.41629695892333984"
"both_duo","contrast","5","0.12561689851135016","2.296811250606682","0.53346","0.7028","0.76078","0.5366495238074104","0.6254515051841736","0.1894722017711401","2.659086535473498","0.50312","0.67168","0.7302","0.5069977902184873","0.6868959665298462","0.15283484459996222","3.4821730131042017","0.38268","0.54438","0.60956","0.3832072367043514","0.8077507019042969"
"both_duo","defocus_blur","5","0.1744690497650206","2.760384699304249","0.45958","0.63232","0.69728","0.4524468857720038","0.7210215330123901","0.23610882669605315","3.048916304038595","0.44974","0.62112","0.68508","0.44197753133957907","0.7692269682884216","0.17798354613274336","4.1724822361631375","0.27748","0.42836","0.49934","0.2665846432523533","0.9146329164505005"
"both_duo","elastic_transform","5","0.08240327927500009","1.6736684010101401","0.63258","0.7893","0.83696","0.6305830714805898","0.49919822812080383","0.15069505274660885","2.017457282946865","0.59782","0.75692","0.80708","0.5971862634942777","0.5619510412216187","0.13279512147665024","2.2873759331069143","0.55992","0.72992","0.7849","0.5547207856834786","0.616558313369751"
"both_duo","fog","5","0.04936897184178233","1.3961840710888633","0.68414","0.8361","0.87908","0.6821681050254116","0.43984535336494446","0.10891220577538013","1.7581531241424488","0.63554","0.79446","0.84096","0.6371433996437507","0.5099315047264099","0.09629991160660982","1.7975642631748088","0.63718","0.7991","0.8479","0.633238151710397","0.5220541954040527"
"both_duo","frost","5","0.07468335318006575","1.75629637794467","0.62226","0.77946","0.82694","0.6210863643269042","0.5100520849227905","0.13489012558847666","2.0335825267523275","0.59552","0.75368","0.80304","0.5931640361516072","0.5628491640090942","0.1174038367857039","2.558762181204047","0.51558","0.6788","0.73768","0.5151677571130945","0.6598362326622009"
"both_duo","gaussian_noise","5","0.15594902604207397","2.7890842957068425","0.4573","0.6262","0.69072","0.45626906024604114","0.7181447148323059","0.23204839505136016","3.249306194995127","0.42694","0.58904","0.65366","0.42521540324809665","0.7919173240661621","0.15168315278500316","3.867106215685271","0.31658","0.47014","0.53734","0.3140887141022485","0.862442672252655"
"both_duo","glass_blur","5","0.2832091270783544","3.6612289361706476","0.39138","0.57856","0.64506","0.4048585862002009","0.8838685154914856","0.36766800820663575","4.443927625366647","0.35958","0.55076","0.6226","0.3800195346563872","0.9829778671264648","0.1763177819889784","4.180423912280233","0.27754","0.42592","0.49514","0.26429037452166226","0.915911078453064"
"both_duo","impulse_noise","5","0.1422284076178819","2.6550428972203988","0.47462","0.64188","0.70492","0.4720188332447044","0.6921089291572571","0.21548893425092103","3.0639955505135603","0.447","0.61138","0.67462","0.44324314829010025","0.7600327134132385","0.15398795319199562","3.8337545572578144","0.32152","0.47554","0.54376","0.31836126599268605","0.8574613928794861"
"both_duo","jpeg_compression","5","0.08097027239948511","1.5770328833520046","0.64588","0.8065","0.85358","0.6428782326000135","0.484176903963089","0.13689929707687348","1.7760978471261644","0.62574","0.79346","0.8431","0.622297063863412","0.5245084166526794","0.11921113186210394","2.3819778531577165","0.52902","0.70192","0.76206","0.52610787297518","0.6419911980628967"
