corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,nuclear_norm_identity_pbs128_duo_acc_ema,fixed_ts_duo_acc_ema,coca_ts_duo_acc_ema,proxy_weighted_nuclear_norm_duo_acc_ema
zoom_blur/s5,128.0,0.27080219984054565,0.3957993984222412,0.27080219984054565,0.3957993984222412,0.32386363636363635,0.3579545454545454,4.49793646552346,3.35706225308505,0.39914772727272724,0.40198863636363635,0.3806818181818181,0.40198863636363635
zoom_blur/s5,256.0,0.2652296721935272,0.35130369663238525,0.2697890129956332,0.3877092708240856,0.293247558226897,0.308062546957175,4.530556429784876,3.492222207726436,0.34777657776108184,0.35071140120210365,0.3336072501878286,0.35071140120210365
zoom_blur/s5,384.0,0.31658440828323364,0.4117913842201233,0.2782972666842878,0.39208783689609245,0.29961200178825337,0.3255418702771171,4.442123049368476,3.4774445887542385,0.3606500231293192,0.35460845865595364,0.34315857243978615,0.35460845865595364
zoom_blur/s5,512.0,0.33597856760025024,0.4007750153541565,0.28878477594173546,0.3936673238884677,0.30051505904833486,0.3385342272103015,4.307673250212414,3.497141864909832,0.3620363791196269,0.3448205384391094,0.3348313584101047,0.3448205384391094
zoom_blur/s5,640.0,0.309357613325119,0.3672463893890381,0.29252529182962334,0.38886351761584415,0.29724561804062083,0.32915307771929275,4.275181964741804,3.555222091827038,0.3575408818899981,0.34136746788072614,0.3346804961257725,0.34136746788072614
zoom_blur/s5,768.0,0.2970406413078308,0.3901638984680176,0.29334626446202466,0.38909995049805746,0.29144128149826676,0.3161582586385348,4.288500569183958,3.573191306791462,0.34833315233958545,0.332857561143296,0.3250237205470047,0.332857561143296
zoom_blur/s5,896.0,0.337894082069397,0.38043636083602905,0.30144586766336506,0.38752475237768863,0.30692556860627773,0.3126245367745563,4.2158964377745605,3.5917103189241653,0.3382953333843505,0.3491133260546031,0.3438691848289866,0.3491133260546031
zoom_blur/s5,1024.0,0.33295342326164246,0.40804874897003174,0.3071745141357791,0.391256388121751,0.30644397567858256,0.30044493784081866,4.145724822068077,3.5335650632359705,0.3344167107779536,0.3444994166150649,0.34331325595990003,0.3444994166150649
zoom_blur/s5,1152.0,0.3079518675804138,0.382152795791626,0.3073158511257127,0.3896011895162737,0.2939831572724395,0.2868680988851761,4.1330375957726515,3.543503226127036,0.31296697167780363,0.3248818408745476,0.3240877994442306,0.3248818408745476
zoom_blur/s5,1280.0,0.3290979862213135,0.36492031812667847,0.3112762393249128,0.3851137583545291,0.28409203090138513,0.26667409925371294,4.069818724734859,3.5991840878477968,0.2949923529413396,0.31613991000692854,0.32077365086762544,0.31613991000692854
zoom_blur/s5,1408.0,0.3278788626194,0.3696931004524231,0.31429489810572864,0.382310002372328,0.2766959049835718,0.2650359672690144,4.085851995355543,3.626216024462064,0.2943233932913099,0.3066721711616629,0.3126150059527079,0.3066721711616629
zoom_blur/s5,1536.0,0.3258821666240692,0.3760479688644409,0.31640167419997234,0.3811714508254394,0.26167246531958116,0.2745282094941336,4.052050990052945,3.6202109953145185,0.28561111451732313,0.30240037904210487,0.303021202331978,0.30240037904210487
zoom_blur/s5,1664.0,0.3348802924156189,0.4305095076560974,0.31976142296645355,0.3901420066128317,0.2591051214122816,0.2772668179258249,4.007099454537749,3.5109418997839947,0.29114256426366253,0.3085800058050454,0.30331378007347287,0.3085800058050454
zoom_blur/s5,1792.0,0.34647178649902344,0.41246497631073,0.32461785269964805,0.3942007283760859,0.2589360730115273,0.2705773739834034,3.9300639864153215,3.4848133236446857,0.2832235347550137,0.3114254584314766,0.3055757536029033,0.3114254584314766
zoom_blur/s5,1920.0,0.3579198122024536,0.4039000868797302,0.3306727544274309,0.3959642481040212,0.2748353050738323,0.2681654321707081,3.8804150553315058,3.4414686752191495,0.28644509351368685,0.3110058853962777,0.30424905819698483,0.3110058853962777
zoom_blur/s5,2048.0,0.3518308103084564,0.4089611768722534,0.3345196736785264,0.3983273260618816,0.29761702240479676,0.29831735542006077,3.856925226336096,3.417746855716186,0.3203682030959391,0.3368097249346983,0.33177003069384936,0.3368097249346983
zoom_blur/s5,2176.0,0.3802163302898407,0.45314890146255493,0.3428281566987654,0.4082948852256404,0.29995437037015316,0.29422484123161097,3.7978997373705337,3.3251345294395627,0.32215764008901704,0.344011055534798,0.3406373759190231,0.344011055534798
zoom_blur/s5,2304.0,0.3646869957447052,0.42762047052383423,0.3468024910707544,0.4118086280071302,0.3152070578510942,0.28322076148562386,3.7338797018828003,3.3211010106273613,0.3174154450182676,0.3493483099034597,0.34708989627637077,0.3493483099034597
zoom_blur/s5,2432.0,0.3949216306209564,0.4245152473449707,0.3555514255344275,0.41411892243219206,0.3075972866606498,0.27172216264740107,3.652619913785305,3.2802595806822286,0.31863141360727,0.3474976289436383,0.3488267074246779,0.3474976289436383
zoom_blur/s5,2560.0,0.3767719864845276,0.46882253885269165,0.35940970934353655,0.4240650345086465,0.3218729770207655,0.2908842576399957,3.6342272157598488,3.2112232994516963,0.34243094629908155,0.3622711400366504,0.35747903554875127,0.3622711400366504
zoom_blur/s5,2688.0,0.3674212098121643,0.41921061277389526,0.360866345792378,0.42318241237505533,0.31490050527836366,0.29467251957718715,3.6172043855241545,3.2339244856567597,0.3446748483489719,0.35279101109891475,0.3495830733838748,0.35279101109891475
