corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,nuclear_norm_identity_pbs128_duo_acc_ema,fixed_ts_duo_acc_ema,coca_ts_duo_acc_ema,proxy_weighted_nuclear_norm_duo_acc_ema
impulse_noise/s5,128.0,0.14441919326782227,0.28968900442123413,0.14441919326782227,0.28968900442123413,0.13920454545454544,0.33096590909090906,5.530968536030162,4.385007121346214,0.2741477272727273,0.27698863636363635,0.26846590909090906,0.27698863636363635
impulse_noise/s5,256.0,0.12367670238018036,0.2561977207660675,0.140647831288251,0.28359968012029474,0.12831048084147256,0.29748544327573245,5.532734050865374,4.478833603733558,0.2617745116453794,0.26755024417731027,0.26184494740796393,0.26755024417731027
impulse_noise/s5,384.0,0.15107397735118866,0.2716466188430786,0.14254349420878512,0.28142639625170995,0.14710247064594445,0.31148818930028366,5.450285070984713,4.481515800967492,0.2875825243245928,0.28060181635010023,0.27161727884334774,0.28060181635010023
impulse_noise/s5,512.0,0.1875150501728058,0.2853776812553406,0.15072014074769796,0.2821448117069155,0.14599421588695455,0.3027834159778758,5.324442064316979,4.453749151574587,0.2867804501677026,0.27513427375502575,0.2662789222009187,0.27513427375502575
impulse_noise/s5,640.0,0.17338135838508606,0.2967047393321991,0.15484036213631397,0.2847920712751489,0.14835149989126709,0.3065120387951069,5.237113732934529,4.43189110321864,0.2957993096163959,0.2761229435880751,0.2570234933741687,0.2761229435880751
impulse_noise/s5,768.0,0.1931508332490921,0.2930459976196289,0.16180590233863726,0.2862927851559634,0.17110720240655067,0.30720020778845997,5.144720576732967,4.404290209378768,0.3023532568506451,0.29331370603829815,0.27252192531659225,0.29331370603829815
impulse_noise/s5,896.0,0.19161595404148102,0.3122500777244568,0.1672259117391543,0.2910122928956895,0.17084449086719505,0.3172166680236798,5.060943378109074,4.359548567604456,0.3139720149165475,0.30843727429010037,0.2945188095094543,0.30843727429010037
impulse_noise/s5,1024.0,0.20238524675369263,0.30519020557403564,0.173618518105434,0.29359009520084334,0.17066862611770905,0.3086842984290749,4.937850462347393,4.317487976017292,0.3036713488284326,0.29196007617767045,0.2774774675228578,0.29196007617767045
impulse_noise/s5,1152.0,0.19152487814426422,0.30698227882385254,0.17687421993067584,0.29602503767775407,0.16409428690524325,0.300648166716984,4.866981044477012,4.2853140084382115,0.29910024177771105,0.27860550554042396,0.2627121890029048,0.27860550554042396
impulse_noise/s5,1280.0,0.21041589975357056,0.31537097692489624,0.18297270717120212,0.2995424811772345,0.14497220858946036,0.2929442273064108,4.743421718275651,4.2398375925637914,0.2839018147437569,0.25365327230392015,0.23681559759698584,0.25365327230392015
impulse_noise/s5,1408.0,0.22137810289859772,0.3156867027282715,0.18995550639436495,0.30247779418651394,0.1507665197995561,0.30095853232908487,4.603059476305995,4.198071711676366,0.2949053470598703,0.2625178930298969,0.24091581326740372,0.2625178930298969
impulse_noise/s5,1536.0,0.22257119417190552,0.3507744073867798,0.19588563144482687,0.31125899658656225,0.15025486036168628,0.31407141420376755,4.45241050221774,4.11001086979514,0.30485399265991314,0.2772330523588566,0.2627721559889231,0.2772330523588566
impulse_noise/s5,1664.0,0.21919704973697662,0.3501676619052887,0.20012407113430863,0.3183332993717852,0.1509454023908809,0.32310772355789397,4.302575918281579,4.023064726697992,0.3221026727723385,0.28708369620716845,0.2693970631000229,0.2899246052980775
impulse_noise/s5,1792.0,0.21945738792419434,0.3681005835533142,0.20363921964156056,0.32738189649569954,0.14830849250959793,0.3203758314726397,4.178907374966283,3.9592360475069466,0.31453773962445797,0.28644652390727804,0.26195175298431284,0.28834828949706015
impulse_noise/s5,1920.0,0.2015453577041626,0.3478096127510071,0.20325851747112456,0.33109602672393723,0.1475763462254333,0.3216462177626761,4.001112751516422,3.923241289925395,0.3177380736329015,0.28292081352470677,0.2618747272043747,0.2841938962748915
impulse_noise/s5,2048.0,0.20477914810180664,0.3576068580150604,0.2035349957676122,0.3359161778677778,0.14243747144016608,0.29744498875022113,3.7405241908495936,3.8967726397302296,0.2948287930930993,0.2761701313677789,0.2620814289549946,0.2770223603162496
impulse_noise/s5,2176.0,0.2129848450422287,0.39267992973327637,0.20525315018117882,0.34623686002514115,0.14080524947647483,0.30319664536171825,3.420474465500135,3.784533060607429,0.3014453077730664,0.27914074909743875,0.25653798136656664,0.2797112494679026
impulse_noise/s5,2304.0,0.1820760816335678,0.3866735100746155,0.2010391377179768,0.35358897821595464,0.11672706783135914,0.3052390766471006,3.1959859326578393,3.7447445146175973,0.30639107379849895,0.2798380221230788,0.24921137595613135,0.2802199273297529
impulse_noise/s5,2432.0,0.16462403535842896,0.39136090874671936,0.1944182100162408,0.3604566019488209,0.09828423549041396,0.3151290513092161,2.9546284145255344,3.6824489716217146,0.3135758427907307,0.2591271057187552,0.23165183018550936,0.25938276127033044
impulse_noise/s5,2560.0,0.14448076486587524,0.38295626640319824,0.18533867453435612,0.36454745003143496,0.07328324855143412,0.31193556327311156,2.6874933439487396,3.6692489682524188,0.3108958121161089,0.24758715341503446,0.2211884152481509,0.247758294734684
impulse_noise/s5,2688.0,0.13809460401535034,0.3492656946182251,0.1767488435309005,0.36176894904721496,0.05990448869972036,0.31418826962910773,2.4077167918510742,3.7113356857999222,0.31349223786284974,0.23443850765799823,0.1927480300421506,0.23455307333478842
impulse_noise/s5,2816.0,0.1336659938097,0.412028044462204,0.16891559812704585,0.3709069663953948,0.05508069078245743,0.3074318168591547,2.0630989170176495,3.637161327976356,0.3069658782387672,0.2173720588454368,0.16983545812739007,0.21744875157122198
impulse_noise/s5,2944.0,0.11779644340276718,0.37309691309928894,0.15962120635899518,0.37130513852337554,0.04203748721800868,0.30187584434373166,1.7426796447018282,3.6444105448460773,0.30156393501934003,0.20310650220231719,0.1570799347794925,0.20315784196090064
impulse_noise/s5,3072.0,0.1254250705242157,0.40142756700515747,0.15340372711630798,0.37678194370188134,0.03563046665007192,0.28782597844497737,1.521475664965984,3.5902790861624263,0.2876171796410458,0.18710022048254288,0.13278698113337928,0.1899754975110161
impulse_noise/s5,3200.0,0.11540558934211731,0.4426334500312805,0.14649497479372783,0.38875494485268114,0.0295336181707093,0.3021810268929187,1.2981663397817145,3.4838614749687764,0.302041252486981,0.17457742032302456,0.12220657414713818,0.17882657271398597
impulse_noise/s5,3328.0,0.10773652046918869,0.4170151352882385,0.13944798309835707,0.3938931612955097,0.02545225679196242,0.3159228361845158,1.0561624578218933,3.461675008885136,0.3158292681937641,0.17781628963772717,0.11512382236296025,0.18066076355233768
impulse_noise/s5,3456.0,0.0991097092628479,0.3968302011489868,0.13211375149190085,0.39442716854159643,0.017038287604536823,0.30497727050368406,0.902389079363618,3.4842526228050037,0.304914634080123,0.15751545008806528,0.10005189761487421,0.16226051113834175
impulse_noise/s5,3584.0,0.0960676446557045,0.46600693464279175,0.1255599138853197,0.40744167146908644,0.014246704925351093,0.33329056951073066,0.7747783121700569,3.368018260160089,0.33324863934289223,0.14495868972837425,0.08815457608929594,0.1533004248116172
impulse_noise/s5,3712.0,0.08942510187625885,0.42531150579452515,0.11898994806549046,0.41069073225552977,0.009537050404573871,0.3452709597551172,0.652204374501917,3.3623890705614294,0.34524289079978737,0.12699713940494473,0.07631628647299976,0.1325812761135619
impulse_noise/s5,3840.0,0.09112828224897385,0.43074941635131836,0.11392419064430562,0.4143377657274913,0.0063843064691775486,0.3401194028112767,0.5905865647774333,3.342552981465668,0.34010061284944443,0.10670882885785554,0.062451398382751905,0.11044696996031829
impulse_noise/s5,3968.0,0.0930400863289833,0.43043649196624756,0.11012708076879246,0.4172648068618106,0.006598172099201499,0.34880926965052406,0.5422906188341646,3.3336816948706325,0.3487966912463223,0.09674310030980411,0.05446126668597441,0.10389425261806431
impulse_noise/s5,4096.0,0.09038012474775314,0.45788323879241943,0.10653672512860349,0.42464997630373946,0.007257867273019184,0.3727049656338219,0.46532169482102576,3.2734731718909376,0.37269654537976943,0.09859455475284405,0.05763522811209856,0.10854697902531577
impulse_noise/s5,4224.0,0.09001250565052032,0.4056456685066223,0.10353232158713382,0.4211946476133545,0.00485857230673185,0.3491867951763601,0.41188321244784265,3.31415390203638,0.3491811584773663,0.08717899946264766,0.04891283865355358,0.09616574628967418
impulse_noise/s5,4352.0,0.09683960676193237,0.43299180269241333,0.1023154643461881,0.4233395849004561,0.008934250883018842,0.36856719346516664,0.3732621218463206,3.275746500003575,0.36856342013774107,0.08341114840061536,0.04927223083419702,0.091751449995567
impulse_noise/s5,4480.0,0.09585186839103699,0.4227147400379181,0.10114026508161517,0.42322597674363094,0.0059807795167316205,0.35881357579073136,0.3652840831405649,3.2790278136908126,0.3588110498442729,0.0852793638053706,0.046930171054297164,0.0931869210714126
impulse_noise/s5,4608.0,0.08953292667865753,0.41065841913223267,0.09902983991744105,0.42094096626883126,0.004003662321117861,0.339887600322721,0.31052744048740666,3.2995878201497386,0.33988590939988517,0.08058990469615716,0.03658135417684354,0.08588339344449934
