corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,nuclear_norm_identity_pbs128_duo_acc_ema,fixed_ts_duo_acc_ema,coca_ts_duo_acc_ema,proxy_weighted_nuclear_norm_duo_acc_ema
glass_blur/s5,128.0,0.1849553883075714,0.31413838267326355,0.1849553883075714,0.31413838267326355,0.12357954545454544,0.25284090909090906,4.928691777316007,4.015739289197055,0.24573863636363635,0.24289772727272727,0.24005681818181818,0.24289772727272727
glass_blur/s5,256.0,0.1743294894695282,0.2546442449092865,0.18302340670065448,0.3033212667161768,0.1044210180315552,0.2025732531930879,4.94797638535589,4.143937135441333,0.19549445905334334,0.19359269346356117,0.19169092787377906,0.19359269346356117
glass_blur/s5,384.0,0.21484869718551636,0.33073753118515015,0.18880982315244754,0.30830604207417195,0.12775291289715676,0.20766267362512494,4.8709333292616375,4.071704502612776,0.2029239767216596,0.20862403446734257,0.20451004262624878,0.20862403446734257
glass_blur/s5,512.0,0.20389577746391296,0.32016652822494507,0.1915527239363503,0.3104624941015852,0.13071682598900575,0.20332170713748032,4.790755033254795,3.9782088079773072,0.2024739017723506,0.20164088257731194,0.19604597894814998,0.20164088257731194
glass_blur/s5,640.0,0.19521042704582214,0.27760717272758484,0.19221776086534517,0.3044887993063124,0.11952944549677244,0.18879387006723886,4.781285173477334,4.067064991483788,0.1825445127566975,0.17914596271704353,0.17075185367603427,0.17914596271704353
glass_blur/s5,768.0,0.21104976534843445,0.29280680418014526,0.1956417616804523,0.3023648001924638,0.1148812816961865,0.16589713616071358,4.711675860248894,4.081515611548609,0.1673955002751446,0.1599551485957068,0.15717686072527912,0.1599551485957068
glass_blur/s5,896.0,0.18222972750663757,0.26678505539894104,0.19320321001248597,0.29589575568455057,0.10143912245777773,0.15573485974394874,4.686892449353303,4.117223963662696,0.1567378968784026,0.14245964492770452,0.13827541916320335,0.14245964492770452
glass_blur/s5,1024.0,0.22982385754585266,0.30290600657463074,0.1998615095640072,0.2971703467554742,0.11361833817421482,0.1631365590021475,4.557980118860451,4.020293042905252,0.16096710452190585,0.14960108462102534,0.14680007398528488,0.14960108462102534
glass_blur/s5,1152.0,0.21806396543979645,0.29743513464927673,0.20317104699596886,0.29721849000889283,0.10989120158769751,0.17041579569565246,4.501806546441792,4.035773920566391,0.1718044253411105,0.15851394920911613,0.15663889250254606,0.15851394920911613
glass_blur/s5,1280.0,0.22730740904808044,0.30088168382644653,0.20755947645998912,0.29788452524844805,0.10972055643473964,0.16263371447394914,4.438322094062785,4.026010975460003,0.1607223839060326,0.13477999905734217,0.13869008506368782,0.13477999905734217
glass_blur/s5,1408.0,0.2287255823612213,0.27671387791633606,0.21140785935112222,0.2940353166426095,0.10779847166292486,0.15871554439991636,4.3802581367525955,4.074648173410398,0.16027696773874908,0.13542090845987367,0.13855493297651827,0.13542090845987367
