corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,nuclear_norm_identity_pbs128_duo_acc_ema,fixed_ts_duo_acc_ema,coca_ts_duo_acc_ema,proxy_weighted_nuclear_norm_duo_acc_ema
jpeg_compression/s5,128.0,0.39333343505859375,0.5380933284759521,0.39333343505859375,0.5380933284759521,0.4474431818181818,0.5426136363636364,3.8280644850297403,2.638763817873868,0.5326704545454545,0.5355113636363635,0.5298295454545454,0.5355113636363635
jpeg_compression/s5,256.0,0.388130247592926,0.5122404098510742,0.3923874009739269,0.5333927978168834,0.4369247746055597,0.518454169797145,3.842007354719131,2.7266125807987844,0.5187711307287752,0.5268712434259953,0.520226803155522,0.5268712434259953
jpeg_compression/s5,384.0,0.44889402389526367,0.5479906797409058,0.4026613324141699,0.5360469581667057,0.47895377473595313,0.5343060971369318,3.7309401017381285,2.7216956997344663,0.5471732362729816,0.5616348819628564,0.5577034797983247,0.5616348819628564
jpeg_compression/s5,512.0,0.4784535765647888,0.5632961392402649,0.41644174044155513,0.5410013547255346,0.4990826921786132,0.5469838336205907,3.5856614159964955,2.684618626694058,0.5659279515546405,0.5727679788346394,0.5701362137492917,0.5727679788346394
jpeg_compression/s5,640.0,0.4718773663043976,0.5514473915100098,0.4265209451438901,0.5429006341408936,0.5197888269956006,0.5464313266385771,3.5021521347624027,2.688544261943819,0.5666025956688089,0.5781545974017007,0.5740684571379556,0.5781545974017007
jpeg_compression/s5,768.0,0.4876376986503601,0.5729013681411743,0.43763308214506647,0.5483553130500356,0.5419144213772201,0.5682722103944193,3.360340243140215,2.6434170945929854,0.5869405805716819,0.5993224990870889,0.5937462399022678,0.5993224990870889
jpeg_compression/s5,896.0,0.4752955734729767,0.5584211349487305,0.4444808078410501,0.550185462486162,0.5611162655500399,0.5934818102640327,3.3069298925011252,2.6268552243711505,0.6064953473248448,0.6129762183971421,0.6092433506783775,0.6129762183971421
jpeg_compression/s5,1024.0,0.4814711809158325,0.5424749851226807,0.4512063302182832,0.5487835575109835,0.5654476653682085,0.5814320382759227,3.237644887843014,2.6402703540878174,0.5994411002753093,0.6071369726460207,0.604638110784699,0.6071369726460207
jpeg_compression/s5,1152.0,0.4632208049297333,0.5233547687530518,0.4533907801658196,0.5441601413731777,0.5469112470646684,0.556061942978097,3.244031534109076,2.699079180720991,0.5818056125809922,0.5939305354076667,0.5899333634178563,0.5939305354076667
jpeg_compression/s5,1280.0,0.45767074823379517,0.5461006164550781,0.45416895617817876,0.5445129550244323,0.5427670331589928,0.5646468378613707,3.2535748868162506,2.6815906692638802,0.5898864018104162,0.5967117633720744,0.5911950614615401,0.5967117633720744
