global_idx,corruption,n,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run
0,shot_noise/s5,64,0.171875,5.4941511154174805,6.582362174987793,0.171875,5.4941511154174805,6.582362174987793
1,shot_noise/s5,64,0.15625,5.612823009490967,6.574381351470947,0.1640625,5.553487062454224,6.57837176322937
2,shot_noise/s5,64,0.109375,5.809805870056152,6.609389305114746,0.14583333333333334,5.6389266649882,6.588710943857829
3,shot_noise/s5,64,0.125,5.842645645141602,6.580937385559082,0.140625,5.68985641002655,6.586767554283142
4,shot_noise/s5,64,0.234375,5.457992076873779,6.548754692077637,0.159375,5.6434835433959964,6.579164981842041
5,shot_noise/s5,64,0.1875,5.43256950378418,6.55352783203125,0.1640625,5.608331203460693,6.574892123540242
6,shot_noise/s5,64,0.15625,5.561036109924316,6.531681060791016,0.16294642857142858,5.601574761526925,6.5687191145760675
7,shot_noise/s5,64,0.203125,5.129498481750488,6.524209499359131,0.16796875,5.542565226554871,6.56315541267395
8,shot_noise/s5,64,0.171875,5.3975605964660645,6.5646562576293945,0.1684027777777778,5.526453600989448,6.563322173224555
9,shot_noise/s5,64,0.15625,5.626441478729248,6.608534336090088,0.1671875,5.536452388763427,6.567843389511109
10,shot_noise/s5,64,0.15625,5.570409774780273,6.562736511230469,0.16619318181818182,5.539539423855868,6.567379127849232
11,shot_noise/s5,64,0.21875,5.251923084259033,6.4789042472839355,0.17057291666666666,5.515571395556132,6.560006221135457
12,shot_noise/s5,64,0.0625,5.95449161529541,6.549709320068359,0.1622596153846154,5.549334489382231,6.559214151822603
13,shot_noise/s5,64,0.171875,5.497671127319336,6.586905479431152,0.16294642857142858,5.545644249234881,6.561192103794643
14,shot_noise/s5,64,0.15625,5.187894344329834,6.534646987915039,0.1625,5.5217942555745445,6.5594224294026695
15,shot_noise/s5,64,0.15625,5.072997570037842,6.403257846832275,0.162109375,5.4937444627285,6.54966214299202
16,shot_noise/s5,64,0.203125,5.1408772468566895,6.461129188537598,0.1645220588235294,5.472987567677217,6.5444543221417595
17,shot_noise/s5,64,0.203125,5.441461086273193,6.516434669494629,0.16666666666666666,5.471236096488105,6.542897674772474
18,shot_noise/s5,64,0.203125,5.087723255157471,6.485007286071777,0.16858552631578946,5.451051210102282,6.53985081220928
19,shot_noise/s5,64,0.1875,5.137008190155029,6.44447135925293,0.16953125,5.43534905910492,6.535081839561462
20,shot_noise/s5,64,0.21875,5.22573709487915,6.460451126098633,0.171875,5.42536753699893,6.531527996063232
21,shot_noise/s5,64,0.140625,5.675662040710449,6.569881916046143,0.17045454545454544,5.436744559894908,6.533271356062456
22,shot_noise/s5,64,0.1875,5.332663059234619,6.545083999633789,0.17119565217391305,5.432219277257505,6.533784949261209
23,shot_noise/s5,64,0.09375,5.456422328948975,6.489831447601318,0.16796875,5.433227737744649,6.531953553358714
24,shot_noise/s5,64,0.078125,5.638918876647949,6.538994312286377,0.164375,5.441455383300781,6.53223518371582
25,shot_noise/s5,64,0.25,4.992034435272217,6.4696245193481445,0.16766826923076922,5.424169962222759,6.529827081240141
26,shot_noise/s5,64,0.109375,5.418478012084961,6.4315714836120605,0.16550925925925927,5.423959149254693,6.526187985031693
27,shot_noise/s5,64,0.21875,5.145571708679199,6.4927849769592285,0.16741071428571427,5.414016740662711,6.524995020457676
28,shot_noise/s5,64,0.09375,5.6849045753479,6.513972282409668,0.1648706896551724,5.423357700479442,6.5246149260422275
29,shot_noise/s5,64,0.21875,4.958984375,6.458127021789551,0.16666666666666666,5.407878589630127,6.522398662567139
30,shot_noise/s5,64,0.21875,5.0047993659973145,6.356093406677246,0.16834677419354838,5.3948760340290685,6.517033976893271
31,shot_noise/s5,64,0.21875,5.202060699462891,6.548192977905273,0.169921875,5.388850554823875,6.518007695674896
32,shot_noise/s5,64,0.25,4.780762672424316,6.332203388214111,0.17234848484848486,5.370423649296616,6.5123772621154785
33,shot_noise/s5,64,0.28125,4.935694694519043,6.378890037536621,0.17555147058823528,5.357637503567864,6.508451167274924
34,shot_noise/s5,64,0.21875,5.225747585296631,6.528328895568848,0.1767857142857143,5.3538692201886855,6.509019102369036
35,shot_noise/s5,64,0.1875,5.310047626495361,6.510501861572266,0.17708333333333334,5.352651953697205,6.5090602901246815
36,shot_noise/s5,64,0.078125,5.485433101654053,6.468884468078613,0.17440878378378377,5.356240633371714,6.5079744570964095
37,shot_noise/s5,64,0.1875,5.074676036834717,6.351751327514648,0.1747532894736842,5.348831038726003,6.503863322107415
38,shot_noise/s5,64,0.171875,5.367379188537598,6.49247407913208,0.17467948717948717,5.349306632310916,6.503571290236253
39,shot_noise/s5,64,0.15625,5.2590484619140625,6.459006309509277,0.17421875,5.347050178050995,6.502457165718079
40,shot_noise/s5,64,0.171875,5.315185546875,6.443931579589844,0.17416158536585366,5.346272991924751,6.5010297123978775
41,shot_noise/s5,64,0.15625,5.401891708374023,6.426972389221191,0.17373511904761904,5.347597247078305,6.499266442798433
42,shot_noise/s5,64,0.140625,5.412041664123535,6.425579071044922,0.17296511627906977,5.3490959544514505,6.497552782990212
43,shot_noise/s5,64,0.109375,5.6313018798828125,6.521426677703857,0.17151988636363635,5.355509725483981,6.498095371506431
44,shot_noise/s5,64,0.1875,5.350056171417236,6.53456449508667,0.171875,5.355388535393609,6.49890579647488
45,shot_noise/s5,64,0.21875,5.209330081939697,6.4916887283325195,0.17289402173913043,5.352213351622872,6.498748903689177
46,shot_noise/s5,64,0.25,5.165860652923584,6.4662580490112305,0.1745345744680851,5.348248400586717,6.498057608908796
47,shot_noise/s5,64,0.1875,5.33510684967041,6.447427749633789,0.1748046875,5.34797461827596,6.4970028201739
48,shot_noise/s5,64,0.21875,5.134599208831787,6.418172359466553,0.1757015306122449,5.343620018083222,6.495394035261505
49,shot_noise/s5,64,0.21875,5.105268955230713,6.439248085021973,0.1765625,5.338852996826172,6.494271116256714
50,shot_noise/s5,64,0.171875,5.491030693054199,6.461457252502441,0.17647058823529413,5.3418368732228,6.493627707163493
51,shot_noise/s5,64,0.171875,5.3249406814575195,6.386975288391113,0.17638221153846154,5.341511946458083,6.491576699110178
52,shot_noise/s5,64,0.15625,5.478627681732178,6.460413932800293,0.17600235849056603,5.344099035802877,6.49098872238735
53,shot_noise/s5,64,0.171875,4.988267421722412,6.431856155395508,0.17592592592592593,5.337509561468054,6.489893674850464
54,shot_noise/s5,64,0.140625,5.1914472579956055,6.4025044441223145,0.17528409090909092,5.3348538832231,6.488304779746316
55,shot_noise/s5,64,0.09375,5.559104919433594,6.561614513397217,0.173828125,5.338858366012573,6.4896138821329385
56,shot_noise/s5,64,0.078125,5.542317867279053,6.4774370193481445,0.17214912280701755,5.342427830947073,6.489400252961276
57,shot_noise/s5,64,0.171875,5.254958152770996,6.423211574554443,0.17214439655172414,5.340919733047485,6.488259068850813
58,shot_noise/s5,64,0.21875,4.904272079467773,6.329426288604736,0.1729343220338983,5.3335189253596935,6.485566987829693
59,shot_noise/s5,64,0.21875,5.124258518218994,6.426412105560303,0.17369791666666667,5.330031251907348,6.484581073125203
60,shot_noise/s5,64,0.109375,5.4194722175598145,6.325827121734619,0.1726434426229508,5.3314974972459135,6.481978549331915
61,shot_noise/s5,64,0.28125,5.083243370056152,6.4240522384643555,0.1743951612903226,5.327493398420272,6.481044253995342
62,shot_noise/s5,64,0.15625,5.500107288360596,6.437431812286377,0.17410714285714285,5.330233301435198,6.480351993015835
63,shot_noise/s5,64,0.1875,5.223573684692383,6.384637832641602,0.17431640625,5.328566744923592,6.478856459259987
64,shot_noise/s5,64,0.203125,5.020572185516357,6.410264015197754,0.17475961538461537,5.323828367086557,6.4778011908897986
65,shot_noise/s5,64,0.171875,5.074296951293945,6.4702959060668945,0.1747159090909091,5.3200475880593965,6.477687474453088
66,shot_noise/s5,64,0.1875,4.885313510894775,6.4055023193359375,0.17490671641791045,5.313559019743507,6.476610084078205
67,shot_noise/s5,64,0.09375,5.662621974945068,6.502716064453125,0.17371323529411764,5.318692298496471,6.476993995554307
68,shot_noise/s5,64,0.171875,5.3541669845581055,6.464200973510742,0.17368659420289856,5.319206424381422,6.476808589437733
69,shot_noise/s5,64,0.25,5.168115615844727,6.385390758514404,0.1747767857142857,5.317047984259469,6.475502620424543
70,shot_noise/s5,64,0.125,5.159609317779541,6.423923492431641,0.17407570422535212,5.31483053825271,6.474776153833094
71,shot_noise/s5,64,0.1875,5.337221622467041,6.322880268096924,0.1742621527777778,5.315141525533464,6.472666488753425
72,shot_noise/s5,64,0.140625,5.169153213500977,6.3749895095825195,0.1738013698630137,5.313141685642608,6.471328447942865
73,shot_noise/s5,64,0.140625,5.424941539764404,6.425458908081055,0.17335304054054054,5.314652494482092,6.470708589296083
74,shot_noise/s5,64,0.21875,4.766361713409424,6.405721664428711,0.17395833333333333,5.307341950734457,6.469842096964518
75,shot_noise/s5,64,0.203125,5.152846336364746,6.309062957763672,0.17434210526315788,5.305309113703276,6.467726581975033
76,shot_noise/s5,64,0.203125,5.179666042327881,6.433731555938721,0.1747159090909091,5.303677385503596,6.467285088130406
77,shot_noise/s5,64,0.1875,4.973609447479248,6.34902286529541,0.17487980769230768,5.299445745272514,6.465768905786367
78,shot_noise/s5,64,0.234375,4.90746545791626,6.333238124847412,0.17563291139240506,5.294483969483195,6.4640913009643555
79,shot_noise/s5,64,0.1875,5.406684398651123,6.427452087402344,0.17578125,5.295886474847793,6.4636333107948305
80,shot_noise/s5,64,0.265625,5.105788707733154,6.347804069519043,0.17689043209876543,5.293539588834032,6.462203320161796
81,shot_noise/s5,64,0.203125,5.078989505767822,6.296510696411133,0.17721036585365854,5.290923124406396,6.460182678408739
82,shot_noise/s5,64,0.21875,4.57303524017334,6.2662153244018555,0.17771084337349397,5.28227387278913,6.457845722336367
