global_idx,corruption,n,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run
0,brightness/s5,64,0.75,1.5540491342544556,3.8087127208709717,0.75,1.5540491342544556,3.8087127208709717
1,brightness/s5,64,0.765625,1.6265407800674438,3.7507786750793457,0.7578125,1.5902949571609497,3.7797456979751587
2,brightness/s5,64,0.671875,1.8172606229782104,3.5717616081237793,0.7291666666666666,1.6659501791000366,3.7104176680246987
3,brightness/s5,64,0.75,1.4472055435180664,3.8413596153259277,0.734375,1.611264020204544,3.743153154850006
4,brightness/s5,64,0.65625,1.815534234046936,3.8206756114959717,0.71875,1.6521180629730225,3.7586576461791994
5,brightness/s5,64,0.75,1.521904468536377,3.840075969696045,0.7239583333333334,1.6304157972335815,3.7722273667653403
6,brightness/s5,64,0.765625,1.4697132110595703,3.4514734745025635,0.7299107142857143,1.6074582849230086,3.726405382156372
7,brightness/s5,64,0.75,1.327296257019043,3.58131742477417,0.732421875,1.5724380314350128,3.708269387483597
8,brightness/s5,64,0.71875,1.5521209239959717,3.8059988021850586,0.7309027777777778,1.5701805750528972,3.719128211339315
9,brightness/s5,64,0.71875,1.820817470550537,3.7997913360595703,0.7296875,1.5952442646026612,3.7271945238113404
10,brightness/s5,64,0.734375,1.3976893424987793,3.353541135787964,0.7301136363636364,1.577284726229581,3.693226033991033
11,brightness/s5,64,0.734375,1.486546516418457,3.678405523300171,0.73046875,1.5697232087453206,3.6919909914334617
12,brightness/s5,64,0.65625,1.983819842338562,4.350366592407227,0.7247596153846154,1.6015767959448008,3.7426352684314432
13,brightness/s5,64,0.703125,1.6262528896331787,3.986020088195801,0.7232142857142857,1.6033393740653992,3.760019898414612
14,brightness/s5,64,0.734375,1.4260081052780151,3.4665870666503906,0.7239583333333334,1.5915172894795735,3.74045770963033
15,brightness/s5,64,0.734375,1.426750898361206,3.7801218032836914,0.724609375,1.5812193900346756,3.7429367154836655
16,brightness/s5,64,0.765625,1.367112636566162,2.6217360496520996,0.7270220588235294,1.5686248751247631,3.6769837351406323
17,brightness/s5,64,0.671875,1.6560789346694946,3.8036699295043945,0.7239583333333334,1.5734834339883592,3.6840218570497303
18,brightness/s5,64,0.71875,1.676879644393921,3.813425302505493,0.7236842105263158,1.5789253397991783,3.6908325647052966
19,brightness/s5,64,0.6875,1.632359266281128,3.7962682247161865,0.721875,1.5815970361232758,3.696104347705841
20,brightness/s5,64,0.765625,1.256973385810852,3.1414971351623535,0.7239583333333334,1.5661387670607794,3.6696944804418656
21,brightness/s5,64,0.703125,1.5207619667053223,3.983203172683716,0.7230113636363636,1.5640761852264404,3.6839448755437676
22,brightness/s5,64,0.75,1.2243214845657349,2.6586415767669678,0.7241847826086957,1.5493042417194531,3.6393664712491245
23,brightness/s5,64,0.640625,1.8551950454711914,3.6410903930664062,0.720703125,1.5620496918757756,3.6394383013248444
24,brightness/s5,64,0.75,1.5155924558639526,3.562330484390259,0.721875,1.5601914024353027,3.636353988647461
