global_idx,corruption,n,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l
0,brightness/s5,128,0.65625,1.5458251237869263,2.2494611740112305,0.65625,1.5458251237869263,2.2494611740112305,0.6875,1.583940863609314,3.8017477989196777,0.6875,1.583940863609314,3.8017477989196777,0.6875,1.549620509147644,0.5670139789581299,0.6875,1.549620509147644,0.5670139789581299,0.8357871770858765
1,brightness/s5,128,0.65625,1.5990266799926758,2.2928061485290527,0.65625,1.572425901889801,2.2711336612701416,0.6875,1.823035478591919,4.2216057777404785,0.6875,1.7034881711006165,4.011676788330078,0.65625,1.7924727201461792,0.5428403615951538,0.671875,1.6710466146469116,0.5549271702766418,0.9451434016227722
2,brightness/s5,128,0.7421875,1.2406846284866333,1.9613627195358276,0.6848958333333334,1.4618454774220784,2.167876680692037,0.7578125,1.35196852684021,3.4913887977600098,0.7109375,1.5863149563471477,3.838247458140055,0.7421875,1.393109679222107,0.37982499599456787,0.6953125,1.57840096950531,0.4965597788492839,0.9569051861763
3,brightness/s5,128,0.71875,1.3081731796264648,1.9402064085006714,0.693359375,1.423427402973175,2.1109591126441956,0.671875,1.7551391124725342,3.9255928993225098,0.701171875,1.6285209953784943,3.860083818435669,0.71875,1.5115700960159302,0.4339536130428314,0.701171875,1.561693251132965,0.48090823739767075,0.9723382592201233
4,brightness/s5,128,0.6953125,1.2236802577972412,1.9999620914459229,0.69375,1.3834779739379883,2.088759708404541,0.703125,1.55729079246521,3.762155532836914,0.7015625,1.6142749547958375,3.840498161315918,0.6953125,1.371327519416809,0.3963263928890228,0.7,1.523620104789734,0.46399186849594115,0.9744330644607544
5,brightness/s5,128,0.6640625,1.3971760272979736,1.830309271812439,0.6888020833333334,1.385760982831319,2.0456846356391907,0.71875,1.4949601888656616,2.990312099456787,0.7044270833333334,1.5943891604741414,3.698800484339396,0.6640625,1.697064995765686,0.36714479327201843,0.6940104166666666,1.5525275866190593,0.44785068929195404,0.9561806321144104
6,brightness/s5,128,0.75,1.1630924940109253,1.7691175937652588,0.6975446428571429,1.35395119871412,2.006175058228629,0.7578125,1.2842843532562256,3.3328452110290527,0.7120535714285714,1.5500884737287248,3.6465211595807756,0.75,1.3546737432479858,0.31560999155044556,0.7020089285714286,1.524262751851763,0.4289591610431671,0.9642844200134277
7,brightness/s5,128,0.71875,1.2776806354522705,1.932762622833252,0.7001953125,1.3444173783063889,1.9969985038042068,0.71875,1.5118885040283203,3.613420009613037,0.712890625,1.5453134775161743,3.6423835158348083,0.71875,1.4426411390304565,0.42558375000953674,0.7041015625,1.5140600502490997,0.4285372346639633,0.9658140540122986
8,brightness/s5,128,0.6875,1.4554640054702759,2.0181570053100586,0.6987847222222222,1.3567558924357097,1.9993494484159682,0.6953125,1.5504673719406128,3.3586153984069824,0.7109375,1.545886132452223,3.6108537250094943,0.6875,1.6675734519958496,0.4723578095436096,0.7022569444444444,1.5311170948876276,0.43340618742836845,0.9543628692626953
9,brightness/s5,128,0.6171875,1.5760822296142578,1.9181392192840576,0.690625,1.3786885261535644,1.991228425502777,0.71875,1.588104009628296,3.614985942840576,0.71171875,1.5501079201698302,3.6112669467926026,0.625,1.9088724851608276,0.47364091873168945,0.69453125,1.5688926339149476,0.4374296605587006,0.9642667770385742
10,brightness/s5,128,0.75,1.0454133749008179,1.8111915588378906,0.6960227272727273,1.3483907851305874,1.9748614376241511,0.78125,1.2040270566940308,3.352083683013916,0.7180397727272727,1.5186460234902122,3.587704831903631,0.7578125,1.1051369905471802,0.3853769302368164,0.7002840909090909,1.526733029972423,0.432697594165802,0.9605068564414978
11,brightness/s5,128,0.640625,1.5138543844223022,1.9132940769195557,0.69140625,1.362179418404897,1.9697308242321014,0.6640625,1.5526573657989502,3.2937045097351074,0.7135416666666666,1.5214803020159404,3.563204805056254,0.65625,1.774378776550293,0.5085493922233582,0.6966145833333334,1.547370175520579,0.439018577337265,0.9553820490837097
12,brightness/s5,128,0.7421875,1.3808702230453491,1.881292462348938,0.6953125,1.3636171726080089,1.962927873318012,0.6484375,1.5088907480239868,3.0088775157928467,0.7085336538461539,1.52051187478579,3.520564244343684,0.734375,1.5665665864944458,0.4725368916988373,0.6995192307692307,1.5488468225185688,0.4415969092112321,0.9436866641044617
13,brightness/s5,128,0.7109375,1.4055473804473877,1.7457919120788574,0.6964285714285714,1.3666121874536787,1.9474181618009294,0.6875,1.5570120811462402,3.4724109172821045,0.70703125,1.523119032382965,3.517124720982143,0.7109375,1.6941410303115845,0.43439236283302307,0.7003348214285714,1.55922498021807,0.44108229875564575,0.9607554078102112
14,brightness/s5,128,0.6875,1.459442138671875,1.755160927772522,0.6958333333333333,1.372800850868225,1.9346010128657023,0.7109375,1.5518929958343506,3.3642196655273438,0.7072916666666667,1.5250372966130574,3.5069310506184896,0.6875,1.8002424240112305,0.4016585350036621,0.6994791666666667,1.5752928098042807,0.43845404783884684,0.9648963212966919
