corruption,n_samples,r,r_ema,model_acc_ema,model_ent_ema
fog/s5,11264.0,0.4191797375679016,0.40699948872933084,0.5795967969704435,3.8561489352148013
fog/s5,11392.0,0.4465819001197815,0.41419629080032183,0.6101019880545944,3.7753444568952084
fog/s5,11520.0,0.4218400716781616,0.4155860691417472,0.6018554630778689,3.7842244134690253
fog/s5,11648.0,0.40390607714653015,0.4134624342335259,0.6084734918124576,3.8291230027127336
fog/s5,11776.0,0.42197185754776,0.4150096021088412,0.60463927964305,3.794653774427722
fog/s5,11904.0,0.4170904755592346,0.4153879427361854,0.5821862119924548,3.793252586097718
fog/s5,12032.0,0.41614997386932373,0.4155264938513014,0.575678373317263,3.801799975318909
fog/s5,12160.0,0.41917213797569275,0.4161893382375544,0.567964448253705,3.806216591326816
fog/s5,12288.0,0.44390231370925903,0.4212280610505916,0.5953419033764471,3.741418726943431
fog/s5,12416.0,0.5108198523521423,0.43751747765087357,0.5986896212685306,3.5620670241749837
fog/s5,12544.0,0.47092217206954956,0.44359105845426916,0.6352798291136443,3.509285704929934
fog/s5,12672.0,0.44800814986228943,0.4443941659830001,0.6243918690760759,3.533155548899165
fog/s5,12800.0,0.43242835998535156,0.44221856489251854,0.6098718297120838,3.5939024353046394
fog/s5,12928.0,0.37902605533599854,0.43072901770042393,0.5805237041874279,3.7205933030196396
fog/s5,13056.0,0.4569584131240845,0.435497998686544,0.599100578836212,3.639184989676017
fog/s5,13184.0,0.4435454308986664,0.43696116817965713,0.6035301395515138,3.623033876013133
fog/s5,13312.0,0.4414803981781006,0.4377828463611923,0.5928073661460547,3.5980457466340035
fog/s5,13440.0,0.44524264335632324,0.43913917308757977,0.5814970798167803,3.572209600674197
fog/s5,13568.0,0.47614192962646484,0.4458669470037407,0.5953616815302413,3.4614874043201436
fog/s5,13696.0,0.5157194137573242,0.45856739550439224,0.5989611256524755,3.335139774561041
fog/s5,13824.0,0.43126505613327026,0.45360333380055184,0.5956888527095083,3.4724721945160444
fog/s5,13952.0,0.47503718733787537,0.4575003980800652,0.6154508022270262,3.416674151387374
fog/s5,14080.0,0.451227068901062,0.4563597927747919,0.6098265700858605,3.438507018697585
fog/s5,14208.0,0.42755812406539917,0.4511231257367204,0.5993467122062371,3.5328353951719373
fog/s5,14336.0,0.5327820777893066,0.46597020792809973,0.6305544106504561,3.3326218305032316
fog/s5,14464.0,0.45268696546554565,0.46355507293490805,0.6147719608486524,3.376180406459164
fog/s5,14592.0,0.47063910961151123,0.46484307960338134,0.6044651142871144,3.358364979425141
fog/s5,14720.0,0.4860166907310486,0.468692827081139,0.6016977211343493,3.3006895140176677
fog/s5,14848.0,0.49116355180740356,0.47277841339500526,0.5944216149742337,3.2386043283438704
fog/s5,14976.0,0.545074999332428,0.48592324720180935,0.6205425687017597,3.1198342815745774
fog/s5,15104.0,0.4893176853656769,0.486540417777058,0.6060037030152274,3.149468839523566
fog/s5,15232.0,0.5536597967147827,0.49874394122028065,0.619514875572177,3.0305585306944196
fog/s5,15360.0,0.5268391370773315,0.5038521586488354,0.6329500406722837,2.9654397751074857
fog/s5,15488.0,0.5544428825378418,0.5130504720832002,0.6453012668963221,2.887968202760173
fog/s5,15616.0,0.4872715473175049,0.5083633948530738,0.6285177902363809,2.9536361287674513
fog/s5,15744.0,0.5646102428436279,0.51859009448772,0.6389767851995607,2.8583739694172503
fog/s5,15872.0,0.531280517578125,0.5208974441405209,0.6165361124063173,2.858122832020914
fog/s5,16000.0,0.5212260484695435,0.5209571903821613,0.621658471941419,2.8887813941974647
fog/s5,16128.0,0.4843823313713074,0.5143072160165515,0.6168230266715284,2.9771639924432587
fog/s5,16256.0,0.5620274543762207,0.5229836229910368,0.6290819434743289,2.88558680600375
fog/s5,16384.0,0.5101422667503357,0.520648830947273,0.6248916315819887,2.9376461661635718
fog/s5,16512.0,0.512330174446106,0.5191363479470608,0.6122724971747195,2.9563232025652617
fog/s5,16640.0,0.5868767499923706,0.5314527846825716,0.627068779100432,2.7994044771643614
fog/s5,16768.0,0.5508343577384949,0.5349767070563758,0.6276762074969833,2.7670673281521037
fog/s5,16896.0,0.5814346671104431,0.543423608884388,0.631698535597154,2.6912125173319508
fog/s5,17024.0,0.5230078101158142,0.53971164547192,0.6225110031683427,2.7620370319656757
fog/s5,17152.0,0.5094200968742371,0.5342040911814321,0.6372800930300476,2.846695806718193
fog/s5,17280.0,0.5145680904388428,0.530633909228234,0.6420015498796187,2.8746639959497076
fog/s5,17408.0,0.5780039429664612,0.5392466426351843,0.6363812028119761,2.7474276732734317
fog/s5,17536.0,0.5457460880279541,0.5404283599793243,0.6246126233700005,2.772516619582683
fog/s5,17664.0,0.5728203058242798,0.5463178046784071,0.6280981197766118,2.7001235137382853
fog/s5,17792.0,0.49915289878845215,0.5377423672438698,0.6247495677843434,2.797227913067341
fog/s5,17920.0,0.5026671886444092,0.5313650620439678,0.6191505371118331,2.8786954134946816
fog/s5,18048.0,0.544999361038208,0.533844025497466,0.6190181281492436,2.8410981680653196
fog/s5,18176.0,0.525088906288147,0.5322521856412261,0.5982683337197415,2.8416511091662486
fog/s5,18304.0,0.5430954694747925,0.5342236917927836,0.6040060746388352,2.798854405655772
fog/s5,18432.0,0.5550527572631836,0.5380107946055835,0.5908015871549227,2.7439618594465767
fog/s5,18560.0,0.566950261592865,0.5432725158759983,0.6101130459466837,2.653767030961969
fog/s5,18688.0,0.5871108174324036,0.551243116158981,0.6070281547246394,2.627835079688838
fog/s5,18816.0,0.5728904008865356,0.5551789861094455,0.633630417625585,2.576932205784254
fog/s5,18944.0,0.5750930905342102,0.5587997323684936,0.6183806927906808,2.551014706584889
fog/s5,19072.0,0.5610545873641968,0.5592097060040759,0.6130792240995466,2.5766700559783846
