corruption,n_samples,r,r_ema,model_acc_ema,model_ent_ema
contrast/s5,128.0,0.08961738646030426,0.08961738646030426,0.265625,6.10935081135143
contrast/s5,256.0,0.07678946852684021,0.08728503774512897,0.24031508264462806,6.148431987174913
contrast/s5,384.0,0.07620233297348022,0.0852700005139201,0.2238886090430981,6.178547195324997
contrast/s5,512.0,0.07718059420585632,0.08379919936699941,0.2203820440701731,6.190121442737212
contrast/s5,640.0,0.07712563872337341,0.08258582470452194,0.23198095512135553,6.201887503829741
contrast/s5,768.0,0.07287946343421936,0.0808210317462851,0.20694592863495698,6.208362308915806
contrast/s5,896.0,0.08823847025632858,0.08216965692992936,0.19948446462340091,6.192324047491606
contrast/s5,1024.0,0.08584176003932953,0.08283731204072939,0.20482017879748324,6.185156875911643
contrast/s5,1152.0,0.07485970854759216,0.08138683867834079,0.19651185522806727,6.202333967047998
contrast/s5,1280.0,0.08160040527582169,0.08142566896879186,0.2100616551526731,6.206267466334958
contrast/s5,1408.0,0.08405452221632004,0.08190364228652426,0.22119829807740926,6.192920718682905
contrast/s5,1536.0,0.09601400792598724,0.08446916331188117,0.2291699350766128,6.15618753730053
contrast/s5,1664.0,0.08380737900733948,0.08434883889287359,0.241221196208311,6.154321944434645
contrast/s5,1792.0,0.08917254209518433,0.08522587583874827,0.2384414619245718,6.14419399816188
contrast/s5,1920.0,0.09481785446405411,0.08696987195244024,0.23528932575115957,6.118090579380821
contrast/s5,2048.0,0.0968092679977417,0.08875885305158596,0.2212990527755696,6.100552107570984
contrast/s5,2176.0,0.10159675031900406,0.09109301619111651,0.22252250640348048,6.084039669719542
contrast/s5,2304.0,0.08411180973052979,0.08982370592555529,0.22644068610480927,6.106378669092342
contrast/s5,2432.0,0.09090416133403778,0.09002015236346118,0.21950781466520292,6.0986915514693445
contrast/s5,2560.0,0.08887695521116257,0.08981229833577052,0.2177077106436482,6.107097925029747
contrast/s5,2688.0,0.10406209528446198,0.09240317050825987,0.22786631869533475,6.083827022053705
contrast/s5,2816.0,0.0860176533460617,0.0912421673878602,0.21581340342414967,6.101522802570719
contrast/s5,2944.0,0.10064765810966492,0.09295225661000651,0.21781723700294314,6.081037618404577
contrast/s5,3072.0,0.09261120855808258,0.09289024787329307,0.20960286113420157,6.086084044608218
contrast/s5,3200.0,0.10247395932674408,0.09463274086482962,0.2082362128253746,6.0676067109217335
contrast/s5,3328.0,0.0773114264011383,0.09148341096234028,0.18020358048640778,6.111472104091714
contrast/s5,3456.0,0.09511831402778625,0.092144302428785,0.18778090925123161,6.093230419431842
contrast/s5,3584.0,0.09760598838329315,0.09313733623869558,0.18433060867231205,6.075921804279762
contrast/s5,3712.0,0.1046561449766159,0.09523166510013564,0.1807295810120436,6.049698509101244
contrast/s5,3840.0,0.11088342219591141,0.0980774391175494,0.1953644302642606,6.01092323409015
contrast/s5,3968.0,0.11558140069246292,0.1012599775857155,0.2051613128215298,5.975197745787047
contrast/s5,4096.0,0.08890903741121292,0.09901435209944229,0.20500468048383397,6.028050454749732
contrast/s5,4224.0,0.11150646954774857,0.10128564618095252,0.2141973480924839,6.001965693992521
contrast/s5,4352.0,0.1058698445558548,0.10211913679457112,0.22009285285529911,5.998717446311887
contrast/s5,4480.0,0.11652427911758423,0.1047382535805735,0.22403943042379526,5.96324559474739
contrast/s5,4608.0,0.09429237246513367,0.10283900246867533,0.20343755259774723,5.994315850702277
contrast/s5,4736.0,0.10597723722457886,0.10340959060611234,0.2097908409951861,5.994703905521307
contrast/s5,4864.0,0.118504598736763,0.1061541375389579,0.23728767041826504,5.968368711844425
contrast/s5,4992.0,0.11932054162025452,0.10854802919010273,0.20998182895768155,5.941081200132049
contrast/s5,5120.0,0.11869773268699646,0.11039342982590158,0.2061655218642331,5.903139461180652
contrast/s5,5248.0,0.14981034398078918,0.1175601414904266,0.21497444025622212,5.841944981846171
contrast/s5,5376.0,0.11799182742834091,0.11763862984277465,0.2262948732293718,5.847050362610862
contrast/s5,5504.0,0.13440486788749695,0.12068703675999688,0.24704450191387697,5.825534017917764
contrast/s5,5632.0,0.11016368120908737,0.11877369938710425,0.2278768979754052,5.867570284600243
contrast/s5,5760.0,0.11914172023534775,0.11884061226860305,0.21220478294221337,5.866983127423308
