corruption,n_samples,r,r_ema,model_acc_ema,frozen_acc_ema,model_ent_ema,frozen_ent_ema
contrast/s5,128.0,0.08961738646030426,0.08961738646030426,0.265625,0.26846590909090906,6.10935081135143,6.109840653159401
contrast/s5,256.0,0.07678946852684021,0.08728503774512897,0.24031508264462806,0.24221684823441014,6.148431987174913,6.15116381125733
contrast/s5,384.0,0.07620233297348022,0.0852700005139201,0.2238886090430981,0.2251616917932828,6.178547195324997,6.185357143534434
contrast/s5,512.0,0.07718059420585632,0.08379919936699941,0.2203820440701731,0.22123427301864385,6.190121442737212,6.201751095978601
contrast/s5,640.0,0.07712563872337341,0.08258582470452194,0.23198095512135553,0.22738616623562102,6.201887503829741,6.218151265408897
contrast/s5,768.0,0.07287946343421936,0.0808210317462851,0.20694592863495698,0.20387007822384545,6.208362308915806,6.230439924472378
contrast/s5,896.0,0.08823847025632858,0.08216965692992936,0.19948446462340091,0.1974254242655494,6.192324047491606,6.2209016525152485
contrast/s5,1024.0,0.08584176003932953,0.08283731204072939,0.20482017879748324,0.2029252840124752,6.185156875911643,6.2197217300211225
contrast/s5,1152.0,0.07485970854759216,0.08138683867834079,0.19651185522806727,0.19524337194223546,6.202333967047998,6.240079127501407
contrast/s5,1280.0,0.08160040527582169,0.08142566896879186,0.2100616551526731,0.20353068700265348,6.206267466334958,6.25091600108432
contrast/s5,1408.0,0.08405452221632004,0.08190364228652426,0.22119829807740926,0.2121775673323548,6.192920718682905,6.243888439123235
contrast/s5,1536.0,0.09601400792598724,0.08446916331188117,0.2291699350766128,0.22080688391670028,6.15618753730053,6.215975096831115
contrast/s5,1664.0,0.08380737900733948,0.08434883889287359,0.241221196208311,0.23278188096903074,6.154321944434645,6.220179514876415
contrast/s5,1792.0,0.08917254209518433,0.08522587583874827,0.2384414619245718,0.22995109387183046,6.14419399816188,6.217059437730294
contrast/s5,1920.0,0.09481785446405411,0.08696987195244024,0.23528932575115957,0.2301222198646138,6.118090579380821,6.202282524701392
contrast/s5,2048.0,0.0968092679977417,0.08875885305158596,0.2212990527755696,0.21835660999201414,6.100552107570984,6.194051921074639
contrast/s5,2176.0,0.10159675031900406,0.09109301619111651,0.22252250640348048,0.22055277197812515,6.084039669719542,6.1871960156229
contrast/s5,2304.0,0.08411180973052979,0.08982370592555529,0.22644068610480927,0.22563863248122423,6.106378669092342,6.211774598992573
contrast/s5,2432.0,0.09090416133403778,0.09002015236346118,0.21950781466520292,0.21328908455354678,6.0986915514693445,6.211598693555816
