corruption,n_samples,r,r_ema,model_acc_ema,frozen_acc_ema,model_ent_ema,frozen_ent_ema
zoom_blur/s5,128.0,0.15476086735725403,0.15476086735725403,0.4786931818181818,0.4786931818181818,5.65879674391313,5.659781889481978
zoom_blur/s5,256.0,0.13061556220054626,0.15037081187421625,0.4353751878287002,0.4353751878287002,5.721996999521348,5.727079965403705
zoom_blur/s5,384.0,0.12436716258525848,0.14564287563986028,0.40844330755474967,0.40844330755474967,5.7806057085666005,5.791366819476732
zoom_blur/s5,512.0,0.14697983860969543,0.14588595981619396,0.4128835364622704,0.4128835364622704,5.780850397289216,5.800576805730065
zoom_blur/s5,640.0,0.13782349228858948,0.14442005662935675,0.4140480698631727,0.4140480698631727,5.811401925845365,5.838158919565043
zoom_blur/s5,768.0,0.13040044903755188,0.1418710370672104,0.3941664765199751,0.39649085668526435,5.817886734398247,5.853906162566101
zoom_blur/s5,896.0,0.13890595734119415,0.14133193166248018,0.392737476017504,0.3919690858802182,5.825266770552631,5.870585506012277
zoom_blur/s5,1024.0,0.1719123125076294,0.14689200090705276,0.419673434358825,0.41631814839915426,5.7523695280935625,5.815313815847811
zoom_blur/s5,1152.0,0.1382785439491272,0.14532591782379356,0.4278908940749158,0.42280388446554956,5.781446875056031,5.850839658067886
zoom_blur/s5,1280.0,0.179117351770401,0.1514698149049949,0.4277100200005634,0.42714557555131827,5.7192621429314014,5.804600847016905
zoom_blur/s5,1408.0,0.1651688814163208,0.1539605542706905,0.44101869107475733,0.4383164596665849,5.701616946793402,5.798852945427772
zoom_blur/s5,1536.0,0.15196743607521057,0.1535981691442396,0.44088854526492016,0.43623870440490387,5.714767645368244,5.823562433814171
zoom_blur/s5,1664.0,0.16174250841140747,0.15507895810190647,0.43511960468147537,0.43484781038675374,5.704661961069042,5.828784280655045
zoom_blur/s5,1792.0,0.1429944634437561,0.15288177725497004,0.4136957684231364,0.41867911273824004,5.738118575700526,5.867406614757913
zoom_blur/s5,1920.0,0.18595783412456512,0.1588956057767146,0.40426121687829786,0.40759717464295403,5.648744498909675,5.798559539074446
zoom_blur/s5,2048.0,0.17764544486999512,0.16230466743003835,0.416540566670596,0.4136084392237957,5.6206261015867245,5.783861426257351
zoom_blur/s5,2176.0,0.17527243494987488,0.1646624433427359,0.4077151727299031,0.40859325270353264,5.603651349744635,5.779035336445874
zoom_blur/s5,2304.0,0.1529213786125183,0.16252770430087815,0.4046481734803483,0.4011037476775714,5.641533597319549,5.823480230227971
zoom_blur/s5,2432.0,0.17103317379951477,0.16407415330063024,0.4015620004289935,0.40022234348663865,5.617598599841996,5.812799162724498
zoom_blur/s5,2560.0,0.15782533586025238,0.162938004675107,0.4025952234276733,0.3960166101026258,5.6394195211714875,5.837664905919266
zoom_blur/s5,2688.0,0.18174630403518677,0.16635769546784876,0.41645837270778124,0.4012074001513445,5.605182451219677,5.8272404759582415
zoom_blur/s5,2816.0,0.15715937316417694,0.16468527323081752,0.37718494371347333,0.36929999514263556,5.638966255436889,5.862025341749502
zoom_blur/s5,2944.0,0.1830194890499115,0.16801876701610735,0.40513000364290364,0.3970107405500287,5.603829384647246,5.841872017165069
zoom_blur/s5,3072.0,0.1848691999912262,0.17108248210249258,0.4088576883890512,0.4067799172277051,5.5756962048531005,5.8390302198894055
zoom_blur/s5,3200.0,0.1922014057636261,0.17492228640451685,0.3886258079298607,0.38671837434251327,5.523160951154909,5.798381325429419
zoom_blur/s5,3328.0,0.1639239490032196,0.17292258869519006,0.3926441358869315,0.3843941183615171,5.579867665779295,5.859723676194212
zoom_blur/s5,3456.0,0.15902763605117798,0.17039623366900605,0.37467293394083845,0.3668258147709329,5.588191518850462,5.87901544722731
zoom_blur/s5,3584.0,0.14281809329986572,0.16538202632916232,0.3750393194149414,0.3656540578218641,5.648930914663531,5.94017130977014
zoom_blur/s5,3712.0,0.1576596200466156,0.16397795245960836,0.3670201229141342,0.3527312287898429,5.654562264471703,5.952966254812793
zoom_blur/s5,3840.0,0.1999697983264923,0.17052192443540543,0.3975506607937593,0.3781713184460932,5.556857406706731,5.892566405305255
zoom_blur/s5,3968.0,0.20288686454296112,0.17640645900041557,0.39913515309334296,0.38151344457961606,5.483451672070782,5.843112627074803
zoom_blur/s5,4096.0,0.2034970074892044,0.18133201327110446,0.40381154876496506,0.386333380255776,5.468845308003989,5.846529676499285
zoom_blur/s5,4224.0,0.19627727568149567,0.1840493337093574,0.41339864008233196,0.39136780000593263,5.44376438670933,5.8343188535458435
zoom_blur/s5,4352.0,0.17901703715324402,0.18313437069915495,0.42033297393941227,0.40093629587173996,5.468592655798289,5.855726831769002
zoom_blur/s5,4480.0,0.21379362046718597,0.18870877974788786,0.39475802387679654,0.3742838013686854,5.41091581631774,5.8234071501918665
zoom_blur/s5,4608.0,0.1562422662973404,0.18280577730233377,0.4106954540001696,0.39466518934597944,5.48984906302134,5.895446218139762
zoom_blur/s5,4736.0,0.19972160458564758,0.18588138226293627,0.40561017995052673,0.39152173832251513,5.445826456839505,5.883682617504353
zoom_blur/s5,4864.0,0.25156107544898987,0.19782314466040055,0.43913780641316247,0.42505794052994805,5.328872339763816,5.831349334487534
zoom_blur/s5,4992.0,0.23685571551322937,0.20491997572455123,0.44660258115261287,0.43485283622252713,5.267300322396734,5.785247745518074
zoom_blur/s5,5120.0,0.22857505083084106,0.20922089847114936,0.4317132981269557,0.4111928077192123,5.233467889671133,5.759812285213258
zoom_blur/s5,5248.0,0.21677951514720917,0.21059519241225114,0.4387915466800281,0.4152406398781503,5.232136930483539,5.777262231095069
