corruption,n_samples,r,r_ema,model_acc_ema,frozen_acc_ema,model_ent_ema,frozen_ent_ema
impulse_noise/s5,128.0,0.041687965393066406,0.041687965393066406,0.23295454545454544,0.23295454545454544,6.610520362854004,6.610685435208407
impulse_noise/s5,256.0,0.04414912685751915,0.042135449295694176,0.1877113072877535,0.1877113072877535,6.597524099113528,6.598874355061083
impulse_noise/s5,384.0,0.03988320380449295,0.04172595011547577,0.176277817275273,0.17395343710998373,6.597958240114301,6.601409433966509
impulse_noise/s5,512.0,0.043976038694381714,0.0421350571298223,0.1810206875974968,0.17946469756949324,6.594843426432282,6.601547914214175
impulse_noise/s5,640.0,0.04422985017299652,0.04251592859221761,0.16534236111898545,0.16714165705065248,6.584158328331302,6.593382418934359
impulse_noise/s5,768.0,0.03627803921699524,0.04138176688763172,0.1778324896746927,0.17903697703390783,6.596327180045531,6.60650960771417
impulse_noise/s5,896.0,0.04494655877351761,0.042029910866883693,0.16088373275743892,0.158849133386335,6.584039695208661,6.5978378965196365
impulse_noise/s5,1024.0,0.04081738740205765,0.04180945205509714,0.16270935829216984,0.1585064446635796,6.584550578557893,6.6012901675378695
impulse_noise/s5,1152.0,0.04263215512037277,0.041959034430601796,0.16083229769971696,0.15801877700619793,6.585810474556659,6.6058448723407714
impulse_noise/s5,1280.0,0.05429297685623169,0.04420156941707996,0.17713773647667,0.17525430526861183,6.56046103751495,6.58739141843833
impulse_noise/s5,1408.0,0.05317432060837746,0.045832978724588594,0.18469550954223363,0.1834347002211368,6.546525777255093,6.578743044501782
impulse_noise/s5,1536.0,0.05143586918711662,0.04685168608141187,0.1832982336605035,0.17961331171828165,6.543889628057983,6.580148676384788
impulse_noise/s5,1664.0,0.04519402235746384,0.04655029267705768,0.17022443740909737,0.162075853299015,6.551575900787737,6.590067660572881
impulse_noise/s5,1792.0,0.0469803586602211,0.0466284864921783,0.1741275159515445,0.1686726786547125,6.552112188349452,6.595194207873087
impulse_noise/s5,1920.0,0.05609697848558426,0.048350030490979384,0.19094486605020747,0.18393584273579927,6.533006934417124,6.584056360062631
impulse_noise/s5,2048.0,0.05230943113565445,0.04906992151728394,0.18179986900881653,0.1742669691041301,6.526589564018667,6.580652560293432
impulse_noise/s5,2176.0,0.05392318218946457,0.04995233254858951,0.18084330074143914,0.17580061568127714,6.517729163943167,6.5770424572025785
impulse_noise/s5,2304.0,0.04692923277616501,0.04940267804451233,0.1928579120665832,0.18147603198498716,6.527976220821983,6.58767315257597
impulse_noise/s5,2432.0,0.05396609008312225,0.05023238932425958,0.18747099898672098,0.17752734372548723,6.515855723701785,6.58230938442069
impulse_noise/s5,2560.0,0.05784912779927254,0.05161725086517102,0.1823152968423504,0.17049351108896252,6.506483727748667,6.579379391089692
impulse_noise/s5,2688.0,0.05306566506624222,0.05188059890172941,0.17085776069611885,0.16294400329095837,6.504349386876717,6.580098706045957
