global_idx,corruption,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l
0,brightness/s5,0.65625,1.6973531246185303,3.484299659729004,0.65625,1.6973531246185303,3.484299659729004,0.7421875,1.4331542253494263,2.3207292556762695,0.7421875,1.4331542253494263,2.3207292556762695,0.71875,1.3450721502304077,0.662546694278717,0.71875,1.3450721502304077,0.662546694278717,0.430909663438797
1,brightness/s5,0.6796875,1.4277228116989136,2.881023406982422,0.66796875,1.562537968158722,3.182661533355713,0.6640625,1.365592360496521,2.3653059005737305,0.703125,1.3993732929229736,2.343017578125,0.71875,1.1913470029830933,0.5854851007461548,0.71875,1.2682095766067505,0.6240158975124359,0.615607500076294
2,brightness/s5,0.6484375,1.5449272394180298,2.7685141563415527,0.6614583333333334,1.556667725245158,3.044612407684326,0.7109375,1.4507262706756592,2.5581517219543457,0.7057291666666666,1.416490952173869,2.4147289594014487,0.6640625,1.3189929723739624,0.7741698026657104,0.7005208333333334,1.285137375195821,0.6740671992301941,0.7865787744522095
3,brightness/s5,0.734375,1.3118243217468262,2.207329750061035,0.6796875,1.495456874370575,2.8352917432785034,0.734375,1.4492970705032349,2.401869297027588,0.712890625,1.4246924817562103,2.4115140438079834,0.7421875,1.374345064163208,0.5246302485466003,0.7109375,1.3074392974376678,0.6367079615592957,0.9421791434288025
4,brightness/s5,0.7578125,1.1665163040161133,2.0754446983337402,0.6953125,1.4296687602996827,2.6833223342895507,0.7109375,1.425481915473938,2.410022258758545,0.7125,1.4248503684997558,2.4112156867980956,0.7578125,1.2051893472671509,0.5121281147003174,0.7203125,1.2869893074035645,0.6117919921875,0.9839702248573303
5,brightness/s5,0.6328125,1.4925553798675537,2.1901066303253174,0.6848958333333334,1.4401498635609944,2.6011197169621787,0.6328125,1.4526145458221436,2.402009963989258,0.69921875,1.4294777313868205,2.4096813996632895,0.6328125,1.653848648071289,0.5984581112861633,0.7057291666666666,1.3481325308481853,0.6095696787039439,0.9847158193588257
6,brightness/s5,0.7109375,1.3520678281784058,1.9983021020889282,0.6886160714285714,1.427566715649196,2.5150029148374284,0.7421875,1.224275827407837,2.335695743560791,0.7053571428571429,1.400163173675537,2.3991120202200755,0.7109375,1.5189342498779297,0.5015648603439331,0.7064732142857143,1.372532776423863,0.5941404189382281,0.9908877611160278
7,brightness/s5,0.6875,1.245184063911438,1.8348063230514526,0.6884765625,1.4047688841819763,2.4299783408641815,0.703125,1.446626901626587,2.461754560470581,0.705078125,1.4059711396694183,2.4069423377513885,0.6875,1.404045581817627,0.502772867679596,0.7041015625,1.3764718770980835,0.582719475030899,0.9972149133682251
8,brightness/s5,0.6796875,1.3090687990188599,1.8617792129516602,0.6875,1.3941355413860745,2.3668451044294567,0.6484375,1.5366806983947754,2.5270798206329346,0.6987847222222222,1.4204944239722357,2.420290946960449,0.6796875,1.4884474277496338,0.5258156061172485,0.7013888888888888,1.3889136049482558,0.5763968229293823,0.9980437755584717
9,brightness/s5,0.703125,1.1034667491912842,1.7773780822753906,0.6890625,1.3650686621665955,2.3078984022140503,0.6875,1.3247953653335571,2.3543572425842285,0.69765625,1.4109245181083678,2.4136975765228272,0.703125,1.1563260555267334,0.527604341506958,0.7015625,1.3656548500061034,0.5715175747871399,0.9980682730674744
10,brightness/s5,0.7734375,0.9712347388267517,1.5435028076171875,0.6967329545454546,1.3292655782266096,2.2384078936143355,0.7734375,0.995307981967926,2.1905181407928467,0.7045454545454546,1.373141196641055,2.3934085369110107,0.7734375,1.0790601968765259,0.37607330083847046,0.7080965909090909,1.3396007906306873,0.553749913519079,0.9992011189460754
