corruption,t_frac,r,r_ema,model_acc_ema,model_ent_ema
brightness/s5,0.0,0.46747827529907227,0.46747827529907227,0.765625,3.6784634590148926
brightness/s5,0.05263157894736842,0.4362313151359558,0.4617970098148692,0.7414507048519118,3.654494780050562
brightness/s5,0.10526315789473684,0.484121173620224,0.46585594868857005,0.7290514677191172,3.655363137733011
brightness/s5,0.15789473684210525,0.442352831363678,0.46158265462949877,0.7288280374084244,3.704699863243019
brightness/s5,0.21052631578947367,0.4479908347129822,0.45911141464467753,0.7135953547245526,3.685899080022371
brightness/s5,0.2631578947368421,0.45338302850723267,0.4580698898924148,0.7110931357421163,3.7480201702005336
brightness/s5,0.3157894736842105,0.4689983129501343,0.4600568759029092,0.6950608581701505,3.736390287273955
brightness/s5,0.3684210526315789,0.5005955696105957,0.4674275474861249,0.7030402786935679,3.649762829244556
brightness/s5,0.42105263157894735,0.5035551190376282,0.4739961968591255,0.7375184190662928,3.5379684545038006
brightness/s5,0.47368421052631576,0.3924224376678467,0.45916460427889294,0.7205667011476441,3.704720518922831
brightness/s5,0.5263157894736842,0.5017147064208984,0.4669009864865303,0.7221771546006034,3.6488263584930145
brightness/s5,0.5789473684210527,0.5351336002349854,0.47930691625897665,0.7264881495611651,3.4657638801456025
brightness/s5,0.631578947368421,0.508979320526123,0.48470189885300324,0.7355164265846977,3.386360693575254
brightness/s5,0.6842105263157895,0.4618126153945923,0.4805402109514739,0.727854904209902,3.4758631389970307
brightness/s5,0.7368421052631579,0.4276999235153198,0.47093288596308225,0.7251534357104801,3.5930309850414037
brightness/s5,0.7894736842105263,0.4559997320175171,0.46821776706388857,0.7136848019988484,3.629728113771252
brightness/s5,0.8421052631578947,0.5502866506576538,0.48313938226275494,0.7110555411969067,3.42178628630589
brightness/s5,0.8947368421052632,0.45799165964126587,0.47856706905884777,0.6843334055407457,3.4856671294660067
brightness/s5,0.9473684210526315,0.45116180181503296,0.47358429319633594,0.6815036754489702,3.54230121309655
brightness/s5,1.0,0.43207496404647827,0.4660371424418163,0.6516448864779861,4.031752347891416
