global_idx,corruption,large_acc,large_nll,large_ent,large_acc_run,large_nll_run,large_ent_run,small_acc,small_nll,small_ent,small_acc_run,small_nll_run,small_ent_run,duo_acc,duo_nll,duo_ent,duo_acc_run,duo_nll_run,duo_ent_run,w_l
0,gaussian_noise/s5,0.328125,3.733431577682495,4.421759605407715,0.328125,3.733431577682495,4.421759605407715,0.1640625,5.464189052581787,6.558229923248291,0.1640625,5.464189052581787,6.558229923248291,0.3671875,3.408259391784668,4.144861221313477,0.3671875,3.408259391784668,4.144861221313477,0.5
1,gaussian_noise/s5,0.375,3.2249395847320557,4.185673713684082,0.3515625,3.4791855812072754,4.303716659545898,0.15625,5.437376976013184,6.5754313468933105,0.16015625,5.450783014297485,6.566830635070801,0.4140625,3.002657175064087,3.9352710247039795,0.390625,3.2054582834243774,4.040066123008728,0.5
2,gaussian_noise/s5,0.296875,3.966235637664795,4.366739749908447,0.3333333333333333,3.6415356000264487,4.324724356333415,0.1015625,5.671841621398926,6.580448150634766,0.140625,5.524469216664632,6.571369806925456,0.296875,3.7155075073242188,4.234727382659912,0.359375,3.375474691390991,4.104953209559123,0.5
3,gaussian_noise/s5,0.359375,3.4431025981903076,3.981213092803955,0.33984375,3.5919273495674133,4.23884654045105,0.1640625,5.501897811889648,6.521867752075195,0.146484375,5.518826365470886,6.558994293212891,0.3671875,3.227954387664795,3.8613200187683105,0.361328125,3.338594615459442,4.04404491186142,0.5
4,gaussian_noise/s5,0.3984375,3.275118112564087,3.9753310680389404,0.3515625,3.528565502166748,4.186143445968628,0.1484375,5.4008097648620605,6.563597202301025,0.146875,5.495223045349121,6.559914875030517,0.3984375,3.057253360748291,3.819540500640869,0.36875,3.282326364517212,3.9991440296173097,0.5
5,gaussian_noise/s5,0.3359375,3.6152138710021973,3.950355052947998,0.3489583333333333,3.5430068969726562,4.14684538046519,0.1328125,5.617684364318848,6.548070907592773,0.14453125,5.515633265177409,6.5579408804575605,0.375,3.4525225162506104,3.8255717754364014,0.3697916666666667,3.310692389806112,3.970215320587158,0.5
6,gaussian_noise/s5,0.3203125,3.3916735649108887,3.7219247817993164,0.34486607142857145,3.521387849535261,4.086142437798636,0.1328125,5.585907936096191,6.593979835510254,0.14285714285714285,5.5256725038800925,6.563089302607945,0.328125,3.228017807006836,3.7088050842285156,0.3638392857142857,3.2988817351205006,3.932871001107352,0.5
7,gaussian_noise/s5,0.359375,3.4084794521331787,3.855072498321533,0.3466796875,3.5072742998600006,4.057258695363998,0.1171875,5.452032089233398,6.521322727203369,0.1396484375,5.516467452049255,6.557868480682373,0.4140625,3.162489891052246,3.743110179901123,0.3701171875,3.281832754611969,3.9091508984565735,0.5
8,gaussian_noise/s5,0.4140625,3.182568073272705,3.447695732116699,0.3541666666666667,3.47119583023919,3.9895294772254095,0.1796875,5.315949440002441,6.532417297363281,0.1440972222222222,5.494187672932942,6.555040571424696,0.453125,2.9590795040130615,3.3621034622192383,0.3793402777777778,3.2459712823232016,3.8483678499857583,0.5
9,gaussian_noise/s5,0.359375,3.3182761669158936,3.515242099761963,0.3546875,3.4559038639068604,3.942100739479065,0.1171875,5.353780746459961,6.495182991027832,0.14140625,5.480146980285644,6.54905481338501,0.3984375,3.05861234664917,3.4926767349243164,0.38125,3.2272353887557985,3.8127987384796143,0.5
