corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,fixed_ts_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.5_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 1.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 2.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 4.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.25_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.1_duo_acc_ema
frost/s5,128.0,0.4203704595565796,0.16954264044761658,0.4203704595565796,0.16954264044761658,0.5274390243902439,0.43597560975609756,3.702813706746915,5.766401732840189,0.5297256097560976,0.5297256097560976,0.5282012195121951,0.5266768292682927,0.5274390243902439,0.5297256097560976,0.5297256097560976
frost/s5,256.0,0.4192953109741211,0.14668810367584229,0.4203180132842645,0.1684277849953349,0.521890098808781,0.42712308295004425,3.7008026656568154,5.774888559924446,0.5291456885419539,0.5276212982980515,0.5255169868400053,0.524862705126159,0.522615113680881,0.5268591031761003,0.5291456885419539
frost/s5,384.0,0.42245781421661377,0.16070201992988586,0.4204223938175498,0.1680509184067764,0.5243425581726091,0.42967234334742255,3.6924001606870647,5.774889635314034,0.5338447901679427,0.5331905084540964,0.5305242932680833,0.5284822572854776,0.5249985650854373,0.5340252504050258,0.5338447901679427
frost/s5,512.0,0.4514909088611603,0.15417996048927307,0.42193793113675027,0.16737428631323967,0.5288109940395826,0.430993684849155,3.6712709397081915,5.775882100586714,0.5417216988967524,0.5389546480420466,0.5351293575614245,0.5325566706312976,0.5294045612700476,0.539709938052376,0.5424838940187037
frost/s5,640.0,0.4547312259674072,0.1647382229566574,0.42353760405531893,0.167245697856821,0.5312181867544349,0.43600023477428,3.6500220782965687,5.775543062320611,0.5539983367174065,0.5477952228863492,0.5413224288226809,0.5360945544498535,0.5317552574013935,0.550653667922465,0.5539257898884284
frost/s5,768.0,0.4628604054450989,0.168107807636261,0.42545578948896673,0.16728775199240345,0.5357943855166539,0.43748147358220096,3.6258625372751427,5.7645753080164255,0.5608307377437092,0.5530430006009144,0.547186296394585,0.540968808636661,0.5362803370062579,0.5570794044676198,0.5600400811542532
frost/s5,896.0,0.458834171295166,0.17021915316581726,0.4270840032356106,0.16743074717159437,0.5382990840992449,0.44633213641792246,3.5997922557977926,5.752255363708134,0.5675147543772645,0.5575682057786977,0.5500567262439999,0.5429809981774903,0.5387387820264832,0.5619454337865852,0.5646243090039375
frost/s5,1024.0,0.4371175169944763,0.18224312365055084,0.427573442931165,0.16815330212178736,0.5332036923943791,0.45078966656255803,3.586976521459589,5.737539216896977,0.5656245933419507,0.5573869666801897,0.548341035465273,0.5374399751504835,0.5336015392399053,0.5613103835748935,0.5630092647203978
frost/s5,1152.0,0.4587514102458954,0.14435350894927979,0.4290943193855421,0.16699233660117724,0.5294298430290605,0.44792598622346863,3.564618930329488,5.749593019460105,0.5624643108108905,0.5542485581918909,0.5445764217386556,0.5332629102938046,0.5297898222390816,0.5585235534904301,0.5600979129326146
frost/s5,1280.0,0.4934607148170471,0.1600610911846161,0.43223414355293255,0.16665422706866206,0.5325775081779899,0.444721400979117,3.525883786545294,5.7481922795328835,0.5661299623696397,0.5586961969124723,0.54994466833105,0.5374957683265179,0.5329032240485682,0.5626014722539823,0.5632637867760302
