corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,fixed_ts_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.5_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 1.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 2.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 4.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.25_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.1_duo_acc_ema
defocus_blur/s5,128.0,0.41910821199417114,0.066339872777462,0.41910821199417114,0.066339872777462,0.3868140243902439,0.140625,3.3259055788924052,6.256727288408976,0.390625,0.38910060975609756,0.38833841463414637,0.3875762195121951,0.3875762195121951,0.3898628048780488,0.390625
defocus_blur/s5,256.0,0.3732597827911377,0.05630335956811905,0.41687170325255973,0.06585028676725015,0.36929305835666926,0.13844995538370017,3.367745690554637,6.271720624859417,0.3728528405710886,0.3707113488631912,0.37147173031441794,0.36998270664964233,0.36998270664964233,0.3721631922781155,0.3728528405710886
defocus_blur/s5,384.0,0.43297871947288513,0.06495655328035355,0.41765741136086826,0.06580669001179178,0.36838622353390477,0.13953071513302082,3.37429869153009,6.277417995413999,0.3701943310580759,0.36814512886431516,0.36959533123630556,0.3690102301095217,0.3690102301095217,0.3694587837329052,0.37011997055837337
defocus_blur/s5,512.0,0.4187319278717041,0.06635001301765442,0.41770982680042124,0.06583319357305337,0.3674913420553653,0.1418099153583133,3.382063168007132,6.280831789604466,0.37065174154630187,0.36731037537336303,0.36934756026794807,0.3680559547867832,0.3680559547867832,0.36998620467444904,0.37054727853616054
defocus_blur/s5,640.0,0.3905739486217499,0.060977753251791,0.4163861254258519,0.06559634282567472,0.3616437128293936,0.13944772829267968,3.4038353441851963,6.28649038754575,0.3689649309291642,0.3629300005609073,0.3640482683923551,0.36287959978030765,0.36215458490820773,0.3661133356988917,0.36807103548691267
defocus_blur/s5,768.0,0.4313145875930786,0.08284491300582886,0.41711434309254586,0.06643773649299932,0.35551611374985587,0.14097263220295406,3.406656813773936,6.278598884542576,0.36797778699777434,0.3596172105015704,0.35990402511884123,0.3566343672015752,0.35597836028874713,0.36394758096253077,0.36716897381058544
defocus_blur/s5,896.0,0.3911963105201721,0.06103040650486946,0.41585004882072274,0.0661739642984564,0.3515333188658719,0.13575289921516545,3.4265291915306286,6.286456463874653,0.3687948923400445,0.35821848731284267,0.3569907925078867,0.3525451353441974,0.35195156811373246,0.36434891174539513,0.36955027315044636
defocus_blur/s5,1024.0,0.4182864725589752,0.06421218812465668,0.4159688987591741,0.06607826789973446,0.3464052218887514,0.1325915584213365,3.428011604919489,6.2919071734370435,0.3651097746872145,0.35397847662274456,0.35134324533283495,0.34732073221803933,0.34678366157108087,0.3610869689260833,0.3657932572646216
defocus_blur/s5,1152.0,0.41430431604385376,0.06170658394694328,0.4158876996023292,0.06586501502398856,0.3485134399124276,0.12900610372329135,3.4350697967792123,6.298087807327451,0.36391327620419583,0.35532868110838456,0.3522192600542784,0.3493418106505876,0.3488558591609839,0.3609983817588177,0.3652567187980305
defocus_blur/s5,1280.0,0.4256212115287781,0.06389974057674408,0.41636250506215594,0.06576914797778151,0.3406611791236183,0.12782542163184185,3.436864881006678,6.300566141761712,0.35825749143758584,0.34903996071734256,0.34550148396344876,0.34141070434238174,0.34097100641514366,0.353407815975706,0.35798585323724236
defocus_blur/s5,1408.0,0.4086189270019531,0.06122627854347229,0.41598476954702407,0.06554754459074202,0.33656790805890746,0.1261064641891918,3.442377726890434,6.305989013147572,0.3561516326451921,0.3463242297745853,0.34094750571588667,0.337246092388318,0.336848245542792,0.34955133140930916,0.3536564442438106
defocus_blur/s5,1536.0,0.42844051122665405,0.06830092519521713,0.41659236670212796,0.0656818558397408,0.3312654896832827,0.12596396908492605,3.443544034397473,6.3024633423590215,0.3526846420305397,0.34085538577462476,0.33599042605226864,0.3318791234518927,0.33151914424187184,0.3445003421020579,0.3482147243871719
