corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,fixed_ts_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.5_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 1.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 2.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 4.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.25_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.1_duo_acc_ema
elastic_transform/s5,128.0,0.5317257642745972,0.19120317697525024,0.5317257642745972,0.19120317697525024,0.4523628048780488,0.48361280487804875,2.725701093673706,5.582495968516279,0.5571646341463414,0.5579268292682926,0.5571646341463414,0.5571646341463414,0.5564024390243902,0.5579268292682926,0.5571646341463414
elastic_transform/s5,256.0,0.49453386664390564,0.1703455150127411,0.5299115253657829,0.19018573005024977,0.4455755956094659,0.4783871661032196,2.735381835702627,5.593280000346664,0.5471132709914249,0.5447913190464443,0.54406449050362,0.541852265637469,0.539712587600296,0.5463157092903468,0.5449010461252739
elastic_transform/s5,384.0,0.5179929733276367,0.20508532226085663,0.5293301325834343,0.19091253942637693,0.4449184895431276,0.4804443067477674,2.7448020422476542,5.585017411941587,0.5456405622712417,0.5413645724388113,0.537732504494947,0.5334814372603155,0.5300953871148425,0.5434688838968575,0.5443639150247124
elastic_transform/s5,512.0,0.504950761795044,0.20352160930633545,0.5281408949840006,0.19152761600588708,0.4456624167728121,0.48223128528456527,2.7539414039608996,5.580515020274445,0.5412964278492317,0.5367024180127496,0.5303672750367724,0.5265208305014515,0.5227320546113476,0.5386064380768116,0.540141293725513
elastic_transform/s5,640.0,0.5259896516799927,0.18687498569488525,0.5280359562862441,0.19130065842974064,0.444848325943752,0.4845360112539106,2.7508112435355914,5.583843821971395,0.5380164287678056,0.5324468339068366,0.522940883599602,0.5180105194483686,0.5145823647018797,0.5348946414722371,0.5370084222227872
elastic_transform/s5,768.0,0.49812108278274536,0.21212825179100037,0.5265766941641222,0.19231663859370451,0.44113730146368035,0.47857184599476377,2.7532275030332953,5.572390365833208,0.5337101357262536,0.5279084678002964,0.5155706924182002,0.5073729923146749,0.5035089391502433,0.5301232895177113,0.5327980726953357
elastic_transform/s5,896.0,0.5472211241722107,0.17649614810943604,0.5275837395303704,0.19154490735056948,0.4362922876420332,0.4835114680297654,2.744056130225764,5.583974012327793,0.5306874577273241,0.5163288396931891,0.5051653915336599,0.4962235700836528,0.49272730306217727,0.5206194368568939,0.5275756208028587
elastic_transform/s5,1024.0,0.4934234023094177,0.19129912555217743,0.5259173816171532,0.19153291799455033,0.42977056484445714,0.48138143537969846,2.744822849695985,5.584423729375685,0.5240299662125281,0.5066135723815233,0.49502546729488206,0.48472251641715397,0.48083401425197597,0.5127451894463627,0.5212143184063938
elastic_transform/s5,1152.0,0.5472438931465149,0.17951540648937225,0.5269576992527318,0.190946697921127,0.42836839924355696,0.4794913225535522,2.72810899853495,5.588396714206702,0.5233786904278734,0.5046455940465775,0.48966165125253747,0.480302169821827,0.47457155602454215,0.5109186098440914,0.5201060251612879
elastic_transform/s5,1280.0,0.5268697142601013,0.18392163515090942,0.5269534073018718,0.1906040119323359,0.4233630786730816,0.47248292778343415,2.7216221748217477,5.592843837855431,0.5123045735519306,0.49314229538658194,0.4795845458388515,0.47031653795300343,0.4651685524766976,0.49881823650973406,0.5093434052768108
elastic_transform/s5,1408.0,0.5511356592178345,0.19953197240829468,0.5281330293465528,0.19103952219945583,0.4210463965864111,0.48105088230731907,2.703003215304242,5.584582569006142,0.5150559228866666,0.4917315177174248,0.4749282238077889,0.4650551482608674,0.45887276520943304,0.4976294097152323,0.5101643780047764
elastic_transform/s5,1536.0,0.4885091483592987,0.1687987744808197,0.5262001571032721,0.18995460767659553,0.41060325354427785,0.4746934217664677,2.7117038590226397,5.593995638992427,0.5083246928677095,0.4812343179346836,0.46084374087545915,0.4511853840004636,0.4455914490681425,0.4903074551914743,0.5024115222755888
elastic_transform/s5,1664.0,0.509678065776825,0.1893303543329239,0.5253942014288112,0.1899241562939774,0.4096126107322109,0.4786265285584756,2.7129115643163915,5.589348630049838,0.5084804329873802,0.47946974870830084,0.45800837589028753,0.44705709046085973,0.44127057943643355,0.4906908919370805,0.5016428764908808
elastic_transform/s5,1792.0,0.5406038761138916,0.23475943505764008,0.5261361367793029,0.19211124306293653,0.4092181921021373,0.48794821531079197,2.7012525755235473,5.558645393118483,0.5082867272895927,0.47833788684433404,0.45743202839329405,0.4438608474663698,0.4378629097696701,0.48997819550047556,0.49985057414790574
elastic_transform/s5,1920.0,0.548628568649292,0.21247167885303497,0.527233328577839,0.19310443505269742,0.4141966806587452,0.4905453512716922,2.686230014425197,5.546265383571383,0.5097845700222906,0.4812362735813397,0.4593458448460441,0.4455419982131757,0.4401149528611946,0.4931814903963256,0.5013891869595268
elastic_transform/s5,2048.0,0.5033560991287231,0.1849370300769806,0.5260685856778822,0.19270602505388196,0.41206463490895384,0.48625861349449356,2.6913180638917478,5.547125163043326,0.5067153961950649,0.4786721428418903,0.4573780666334521,0.4418764897574302,0.43551596865072995,0.4894803967238615,0.49763188778431905
elastic_transform/s5,2176.0,0.5149502754211426,0.2202039211988449,0.5255262290799924,0.19404738584144113,0.40987525859400276,0.48974158306075233,2.6930550765188217,5.531741371506077,0.5045146446238511,0.4746789585142862,0.4516007075249736,0.4368495781802803,0.43109446062924456,0.4859456772260519,0.4940834927542827
elastic_transform/s5,2304.0,0.5439608097076416,0.21527907252311707,0.5264254769154875,0.19508307787469362,0.40865646539052836,0.4928930385695444,2.67152804476923,5.518054720818049,0.5054606034936808,0.4747281058299996,0.4515598906278911,0.4330633304058336,0.4278559932284836,0.4871718471509963,0.49529728880384527
elastic_transform/s5,2432.0,0.5299801230430603,0.20357178151607513,0.5265988742875641,0.19549716097915124,0.40770239967816396,0.49208227939576266,2.6710016950805984,5.513142025288013,0.5042530207697136,0.4726347108670014,0.4479722448810365,0.42978618414471914,0.4250744888164923,0.48541842921871825,0.4950570650033603
elastic_transform/s5,2560.0,0.538593053817749,0.19797129929065704,0.5271839562158659,0.1956178506528832,0.4009274835874404,0.48460047409931883,2.657705223537974,5.511265476211535,0.49717435728181697,0.46406671340196853,0.44030162668890926,0.4209093016562271,0.41664607227238826,0.4763958541592328,0.48736647582992915
elastic_transform/s5,2688.0,0.5472341775894165,0.22375047206878662,0.5281620157950635,0.19699017364878094,0.40005841911748774,0.4891893641315074,2.644182503827246,5.495040529242954,0.49541698240668863,0.46092458125187036,0.438696474832737,0.4188633538483768,0.414280889902619,0.4766162071244456,0.48654262923100666
elastic_transform/s5,2816.0,0.5064271092414856,0.20951712131500244,0.5271017764509865,0.19760124426664538,0.39317451247929736,0.4901811557668189,2.647127125832261,5.488097079073942,0.49135439038701567,0.4541590054039826,0.4304215277933331,0.41095176157250507,0.4060432680201568,0.4721308750959439,0.48183750092823385
elastic_transform/s5,2944.0,0.5692445039749146,0.22118307650089264,0.5291575192570318,0.19875157754636474,0.3952927920767467,0.48756501363553334,2.6050301774381035,5.474793498658813,0.49080162271186845,0.45714654801871357,0.4319318225899224,0.41210299188089244,0.4069366809391186,0.47340782928074404,0.48291557936457086
elastic_transform/s5,3072.0,0.5584969520568848,0.23054206371307373,0.5305887111009271,0.20030233296913103,0.3986594805167946,0.4880607589171006,2.5908031007471086,5.4495124498597285,0.4939265426203164,0.4604632061489966,0.4347483950977228,0.41459467617539403,0.4091950872744791,0.4767011054943555,0.48606608935961465
elastic_transform/s5,3200.0,0.5509035587310791,0.20911166071891785,0.5315796792780076,0.20073205627399868,0.39644471735041314,0.486334273832784,2.570038841565856,5.4499129541201246,0.4916045635487812,0.4568646856351123,0.4320730570753339,0.41086317814561224,0.4059775298896387,0.47529365345444063,0.4830422498012932
elastic_transform/s5,3328.0,0.536287784576416,0.23202234506607056,0.5318093429511007,0.20225841182483145,0.3975638995181311,0.48611060707891995,2.576196067190339,5.436064481372461,0.4961774486363451,0.46256911769839726,0.4364377571752426,0.411335005329849,0.4061893652362525,0.4814190344462844,0.4884301082378149
elastic_transform/s5,3456.0,0.5653834342956543,0.23955178260803223,0.5334471035044935,0.20407760064352415,0.3983162945669705,0.48750697999228865,2.5591103349759527,5.414319586524886,0.4958162697060564,0.46243240810188113,0.4350144727326258,0.41077664670237973,0.4061207760406544,0.48021317750910086,0.48804413719792766
elastic_transform/s5,3584.0,0.5758121013641357,0.24619397521018982,0.5355136887659394,0.20613205793945905,0.4058940119193112,0.4872832341274664,2.5257299433783524,5.389472444143889,0.49632602392796654,0.4661196863313273,0.4398242195278548,0.417168369800309,0.4129556516108479,0.4822080565088295,0.4892936541808732
elastic_transform/s5,3712.0,0.5365732908248901,0.22016417980194092,0.535565376671254,0.2068165516888484,0.40596507562716966,0.4855935747221156,2.514674587229965,5.3849729802311135,0.49370129827152714,0.4641206382569594,0.43815296722300245,0.4168913387663712,0.4123545782867933,0.4794027090719391,0.48657608447894596
elastic_transform/s5,3840.0,0.5423246622085571,0.23994207382202148,0.5358950979169762,0.20843243081729584,0.4082416002551606,0.4914264290019856,2.487448321738141,5.365781866070388,0.49662458338548054,0.4683722431819365,0.4417902517228951,0.4188529008112139,0.41402294085319014,0.48368695449043386,0.4901775576992723
elastic_transform/s5,3968.0,0.5836731195449829,0.3036540150642395,0.5382257331183424,0.21307738614641505,0.4111751778632357,0.496090629691862,2.46797030229475,5.311575622264075,0.4978195962696703,0.47073196423541064,0.4466800849913881,0.42222650930033095,0.4164062421402155,0.48462617952406295,0.49126119289743797
elastic_transform/s5,4096.0,0.596551775932312,0.2529186010360718,0.541070905938536,0.21502086004347146,0.42184187717429,0.5007756381685439,2.445137609422928,5.287725578327551,0.5046638048341276,0.4801544126127659,0.4569046158666873,0.43329135671969266,0.4265750412226459,0.49272615648786416,0.4987296397364682
elastic_transform/s5,4224.0,0.5299510955810547,0.25864943861961365,0.5405284761650003,0.2171490833886491,0.4195212642368204,0.4967792954517282,2.4540507493028105,5.269699666777805,0.49888453132225347,0.47453293372041455,0.45422110097158314,0.4320931907023513,0.4238039189170995,0.487358110659156,0.4928273539792791
elastic_transform/s5,4352.0,0.6156452298164368,0.2698216438293457,0.5441927080504363,0.21971847658087817,0.4227197161833455,0.5000230864854721,2.4167667863994096,5.237831043808703,0.5055530173356023,0.4813070149843846,0.457816207363342,0.4363444337051019,0.4265947416257634,0.4951236979848758,0.5000723708521616
elastic_transform/s5,4480.0,0.5691323280334473,0.2653840482234955,0.5454092748788758,0.22194606544149365,0.4227508556304988,0.49632145422034685,2.3946506606160693,5.215347539835685,0.49911281342501546,0.4779739558544015,0.45595684199859793,0.4350787529241285,0.42625705057274604,0.49043836682629155,0.494153822763913
elastic_transform/s5,4608.0,0.5566449761390686,0.258137583732605,0.5459573578671779,0.22371150535813322,0.42049244581438944,0.49682030450276476,2.398355764887412,5.204382046227316,0.4970593927539848,0.4734337518468439,0.4535122585840972,0.4323719709682328,0.4236649160744478,0.4869611873544255,0.49184739109096465
elastic_transform/s5,4736.0,0.5634962320327759,0.2427452653646469,0.5468129127045241,0.2246399814560119,0.4176496193240251,0.4919363076434891,2.393486999866211,5.202866997361896,0.49737646423486664,0.46928851074303957,0.4490137687724044,0.42984846391593223,0.4205201292975818,0.48374061033080373,0.49266054839343076
elastic_transform/s5,4864.0,0.598641037940979,0.28689947724342346,0.5493411139355707,0.2276770300310076,0.4217884122497574,0.4928153622401826,2.376631881462754,5.175559179869817,0.49907620589008456,0.4714494793814177,0.45237950166735696,0.432826153251715,0.4243857029515895,0.4859760370690972,0.4933219477135087
elastic_transform/s5,4992.0,0.5888941287994385,0.2485927790403366,0.5512705292947837,0.22869731047048705,0.421220359923784,0.4884612825504567,2.3672216196936713,5.17274512761334,0.49855065982083197,0.46985405005302566,0.45042413565499695,0.4319697079689819,0.423570436757506,0.4852101739334306,0.49334410022144354
elastic_transform/s5,5120.0,0.5909386277198792,0.27337709069252014,0.5532055584862517,0.23087681194473256,0.4219705041309193,0.48941083328925916,2.335300423264601,5.152836488552426,0.49868861010558324,0.4712361749736181,0.4521684178056219,0.43394611887020906,0.4248590923903429,0.4866178908701653,0.49397761834432813
elastic_transform/s5,5248.0,0.5696301460266113,0.316839337348938,0.5540067578784643,0.23507010586688892,0.42207295465980266,0.48973089079890725,2.320736531880428,5.102994446173373,0.5011371956993409,0.47107389776018627,0.45160881230359956,0.43439592314193215,0.42468660293022703,0.48796597978198775,0.4953873929219054
elastic_transform/s5,5376.0,0.5833468437194824,0.2523067593574524,0.5554379815780262,0.23591091823228225,0.4212547376785008,0.4848338399197727,2.3014075926000013,5.096126758465514,0.49950456553164635,0.4693654958317925,0.4495037201152736,0.4324419685299695,0.42361961514388774,0.4868991702845945,0.4935770223879941
elastic_transform/s5,5504.0,0.5736796855926514,0.3058810830116272,0.5563278207982517,0.23932409700200638,0.41837653540095165,0.48029135664364914,2.30233665131098,5.055400909249478,0.49432789659347653,0.46484528207028925,0.4461489638877639,0.4292611446365756,0.4212785155466111,0.4821601058910578,0.48896454553964247
elastic_transform/s5,5632.0,0.5777559280395508,0.3052175045013428,0.5573730943222175,0.2425384095629496,0.41779860817658976,0.4813306980695956,2.2977989276281097,5.024193248638679,0.49464469406227113,0.4649566769951873,0.44510266155460376,0.42837221950757376,0.42042437367423885,0.48211066095199223,0.4882674442390221
elastic_transform/s5,5760.0,0.6419155597686768,0.3058348596096039,0.5614971170269228,0.24562604127254248,0.42489764011695,0.4815089183604134,2.2514834307432467,4.99727287524199,0.49961604977317925,0.4713037511657821,0.4503278692591031,0.4344648398994763,0.42727348147443023,0.4875500091064724,0.4938457957689188
elastic_transform/s5,5888.0,0.6022815108299255,0.30943161249160767,0.5634865996514595,0.24873850816127735,0.4252977755014164,0.49070497610124253,2.230299127931567,4.967705517334652,0.49809102421475643,0.47098632095369103,0.4505197436901224,0.4346793703076166,0.4274474808581846,0.4878612812914601,0.49359500616569035
elastic_transform/s5,6016.0,0.5922418832778931,0.3305254578590393,0.5648892964137245,0.2527281154636072,0.42337324005809296,0.4937275542236704,2.2134424157745283,4.925912421467892,0.5018606173888427,0.47211195370051395,0.4506561749867199,0.4333490911587655,0.4253183333642467,0.4881429261417673,0.49634250706604105
elastic_transform/s5,6144.0,0.5615134835243225,0.2756931781768799,0.5647246226142414,0.25384836242523023,0.4232678156623197,0.485364134428437,2.208761448284682,4.920536285373153,0.5002706716528433,0.470379108613017,0.4510027020552058,0.4338185411377052,0.42502777218739984,0.4856464251407662,0.49306555814839287
elastic_transform/s5,6272.0,0.5342088341712952,0.2508540749549866,0.5632360475682441,0.2537022996218037,0.42019800572420474,0.47928396696350545,2.2319966109870744,4.93378269570704,0.49883205924091295,0.4688855587152878,0.44982903618439496,0.43050669308176653,0.42179044705356045,0.48342472494890265,0.4916249041901877
