corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,fixed_ts_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.5_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 1.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 2.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 4.0_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.25_duo_acc_ema,Proxy-weighted Nuclear Norm - beta = 0.1_duo_acc_ema
shot_noise/s5,128.0,0.36873751878738403,0.0436265766620636,0.36873751878738403,0.0436265766620636,0.40091463414634143,0.09679878048780488,3.6427537755268378,6.5488178439256615,0.4032012195121951,0.4032012195121951,0.40243902439024387,0.4016768292682927,0.40091463414634143,0.4032012195121951,0.4032012195121951
shot_noise/s5,256.0,0.30921638011932373,0.039173658937215805,0.36583404860845425,0.043409361163290534,0.38731255713062773,0.09795862291609234,3.7077502241206735,6.552957189219567,0.390831531753747,0.39010651688164705,0.38941686858867386,0.3887272202957008,0.38731255713062773,0.38938150200954713,0.3900693366317958
shot_noise/s5,384.0,0.37229862809181213,0.0436328649520874,0.36614939394910584,0.04342026378713428,0.38766502046144247,0.10811723108588724,3.725573087513268,6.553982137771478,0.39237344425785203,0.39099242247292393,0.3888440256534044,0.3889450339498875,0.38766502046144247,0.39254864042624693,0.3924459910868301
shot_noise/s5,512.0,0.36525270342826843,0.05592084676027298,0.3661056529480894,0.04403004832240934,0.38409859971555854,0.11864741730019897,3.7440168202373134,6.544348940262015,0.3913704691946418,0.38787148993534637,0.38516538549603097,0.3852567796774413,0.38409859971555854,0.39225400481161304,0.3921611257840979
shot_noise/s5,640.0,0.36145004630088806,0.047679439187049866,0.36587855018481125,0.04420806738897717,0.37938442603650474,0.11997708013896648,3.7611190475660057,6.542546239655669,0.38748853875374784,0.3842482368778476,0.3810746884827264,0.3804323687622773,0.37938442603650474,0.3882136176790383,0.3896539692549749
shot_noise/s5,768.0,0.3968961834907532,0.048076409846544266,0.3673916054680279,0.04439676702105361,0.375304855444095,0.12194237887648306,3.758948209029412,6.540846442252341,0.38778707165047616,0.3819179466336741,0.37755925114945077,0.37625305347258997,0.375304855444095,0.3884803167696712,0.389021378487101
shot_noise/s5,896.0,0.38824257254600525,0.045257341116666794,0.3684087258132951,0.04443874624522986,0.383436903706406,0.13035729224933418,3.757866016542645,6.540850005144984,0.3932066543607223,0.387896161112325,0.3847145276611033,0.38429485088150467,0.383436903706406,0.3960461402776145,0.39508567321765653
shot_noise/s5,1024.0,0.40854325890541077,0.05205344408750534,0.37036650791534953,0.04481019492046281,0.37752158271115016,0.1328217974486837,3.743630760802597,6.538005836531778,0.38784864442751843,0.38304361157159206,0.37864042032869605,0.3782978692390057,0.37752158271115016,0.3904178639870622,0.3903110106865291
shot_noise/s5,1152.0,0.36168092489242554,0.04948265850543976,0.3699428209386215,0.04503811997338851,0.3728943053561328,0.13291386312876138,3.7536228763712174,6.537503388431344,0.3852128424594024,0.37869011493182125,0.3731816355264406,0.37359670381471005,0.3728943053561328,0.3860503100085197,0.3852657925367107
shot_noise/s5,1280.0,0.41435950994491577,0.053566254675388336,0.37210948869502614,0.04545412654421777,0.3687074589212837,0.13665942047522073,3.731667008536818,6.5323191629458925,0.3797791394293581,0.3746766298698989,0.36893026034248433,0.3693430020833872,0.3687074589212837,0.38206128585541843,0.38280146963018263
shot_noise/s5,1408.0,0.41581425070762634,0.053489603102207184,0.37424142830539686,0.04584610101046116,0.3700685871619705,0.14153568027531868,3.7115116190205533,6.5295069136715655,0.3815736591743329,0.37546960382636296,0.3702701820231521,0.3706436384109648,0.3700685871619705,0.3836014073682876,0.3827839293917357
shot_noise/s5,1536.0,0.40291106700897217,0.041328269988298416,0.37563994726654687,0.04562571900938005,0.36832574126909995,0.13858612117713248,3.7010525155365803,6.532860244951142,0.3810595095801072,0.3732126813919679,0.36850814804117443,0.36884605831236017,0.36832574126909995,0.3813698635378735,0.38066737454183824
shot_noise/s5,1664.0,0.4314909279346466,0.05288419872522354,0.3783643853479176,0.045979791190640704,0.3681988117015473,0.1425167997087558,3.6757259973041982,6.528582228038931,0.3819327864790857,0.3719327712059388,0.3691260518564107,0.3686696042195715,0.3681988117015473,0.3814885856282603,0.3808529605461844
shot_noise/s5,1792.0,0.447311133146286,0.04999614879488945,0.3817276413380819,0.046175711073774786,0.36282295811900855,0.1473746593438534,3.642317954224084,6.525421082400501,0.3789491482657283,0.36768872397634317,0.36366194222105924,0.3632489399274053,0.36282295811900855,0.3770600170973134,0.3764848917256076
shot_noise/s5,1920.0,0.44531065225601196,0.05358007177710533,0.3848292516267614,0.04653689940076652,0.35818186751874603,0.15264387677691912,3.6065962294847163,6.521282060467532,0.3793354577704775,0.36552174251518016,0.3611160405224456,0.3585673037653679,0.35818186751874603,0.3747260773379022,0.3763807378433368
