corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run,large_ent_run,small_ent_run,duo_ent_run
impulse_noise/s5,0.0,0.2755470275878906,0.04919549077749252,0.3515625,0.1328125,0.3515625,4.546974182128906,6.54270601272583,1.851841688156128
impulse_noise/s5,0.01282051282051282,0.4877975583076477,0.04360424727201462,0.38671875,0.14453125,0.38671875,3.765676259994507,6.566052436828613,1.4386776685714722
impulse_noise/s5,0.02564102564102564,0.49943071603775024,0.034647732973098755,0.3515625,0.125,0.3515625,3.46586275100708,6.588586807250977,1.2773821353912354
impulse_noise/s5,0.038461538461538464,0.5718342661857605,0.044407062232494354,0.361328125,0.1328125,0.361328125,3.170152425765991,6.587214350700378,1.1428554356098175
impulse_noise/s5,0.05128205128205128,0.6003000736236572,0.048525962978601456,0.3625,0.15,0.3625,2.9790153026580812,6.577731800079346,1.0696560144424438
impulse_noise/s5,0.0641025641025641,0.6008352041244507,0.04572734981775284,0.3658854166666667,0.140625,0.3658854166666667,2.830059289932251,6.575403769810994,1.0134542485078175
impulse_noise/s5,0.07692307692307693,0.6626244783401489,0.04025488346815109,0.37611607142857145,0.14285714285714285,0.37611607142857145,2.6568128211157664,6.5778191430228095,0.9474582586969648
impulse_noise/s5,0.08974358974358974,0.6314600706100464,0.043937794864177704,0.3828125,0.1484375,0.3828125,2.555872932076454,6.577303528785706,0.9112828001379967
impulse_noise/s5,0.10256410256410256,0.6552402377128601,0.056129440665245056,0.3888888888888889,0.15364583333333334,0.3888888888888889,2.4503676891326904,6.566615475548638,0.8740272323290507
impulse_noise/s5,0.11538461538461539,0.7097260355949402,0.04642321914434433,0.39140625,0.15390625,0.39140625,2.343881130218506,6.564377307891846,0.8320819079875946
impulse_noise/s5,0.1282051282051282,0.6609911918640137,0.04042122885584831,0.39417613636363635,0.15482954545454544,0.39417613636363635,2.276772217317061,6.568058794195002,0.8077530319040472
impulse_noise/s5,0.14102564102564102,0.6723090410232544,0.05174409970641136,0.3919270833333333,0.15494791666666666,0.3919270833333333,2.2140786945819855,6.563624143600464,0.789778525630633
impulse_noise/s5,0.15384615384615385,0.6616300940513611,0.05343398451805115,0.3858173076923077,0.15204326923076922,0.3858173076923077,2.160133022528428,6.557254424461951,0.776328444480896
impulse_noise/s5,0.16666666666666666,0.7262722253799438,0.05383191630244255,0.3900669642857143,0.15569196428571427,0.3900669642857143,2.0905973996434892,6.553085803985596,0.7493516377040318
impulse_noise/s5,0.1794871794871795,0.6860755681991577,0.05489938333630562,0.38958333333333334,0.15364583333333334,0.38958333333333334,2.038766646385193,6.548135471343994,0.7305811027685801
impulse_noise/s5,0.19230769230769232,0.6844998598098755,0.0581376776099205,0.38134765625,0.15478515625,0.38134765625,1.991670660674572,6.542530387639999,0.7174587789922953
impulse_noise/s5,0.20512820512820512,0.6524163484573364,0.0768299251794815,0.37683823529411764,0.1557904411764706,0.37683823529411764,1.9588395777870626,6.529127766104305,0.7120574835468741
impulse_noise/s5,0.21794871794871795,0.669748067855835,0.06468299776315689,0.37109375,0.15711805555555555,0.37109375,1.9235882494184706,6.522058804829915,0.7038537379768159
impulse_noise/s5,0.23076923076923078,0.6683777570724487,0.061478402465581894,0.3638980263157895,0.15830592105263158,0.3638980263157895,1.8858528262690495,6.516527978997481,0.6919145348824953
