corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run,large_ent_run,small_ent_run,duo_ent_run
contrast/s5,0.0,0.0615898072719574,0.07705260813236237,0.171875,0.1953125,0.2890625,5.917196273803711,6.230370998382568,5.388626575469971
contrast/s5,0.01282051282051282,0.19680432975292206,0.0792517215013504,0.1875,0.19921875,0.2578125,5.341714382171631,6.220804214477539,4.033136367797852
contrast/s5,0.02564102564102564,0.36230993270874023,0.08606039732694626,0.16927083333333334,0.21354166666666666,0.21614583333333334,4.584124565124512,6.203982512156169,3.0426968733469644
contrast/s5,0.038461538461538464,0.4143853783607483,0.0838056355714798,0.173828125,0.203125,0.208984375,4.056951642036438,6.1918264627456665,2.483152225613594
contrast/s5,0.05128205128205128,0.3824923038482666,0.0889286994934082,0.165625,0.2046875,0.19375,3.6960758209228515,6.176957130432129,2.1198152780532835
contrast/s5,0.0641025641025641,0.28881415724754333,0.08707210421562195,0.15364583333333334,0.203125,0.17708333333333334,3.298738161722819,6.169592618942261,1.8309834003448486
contrast/s5,0.07692307692307693,0.13319315016269684,0.09337397664785385,0.13392857142857142,0.21428571428571427,0.15401785714285715,2.8764895030430386,6.159934180123465,1.5801841829504286
contrast/s5,0.08974358974358974,0.08822552859783173,0.09032802283763885,0.1171875,0.2158203125,0.134765625,2.522560459561646,6.155584692955017,1.3827082673597033
contrast/s5,0.10256410256410256,0.0882750153541565,0.09764407575130463,0.10416666666666667,0.2152777777777778,0.11979166666666667,2.2445261743333607,6.144399113125271,1.2295158029883169
contrast/s5,0.11538461538461539,0.08814287185668945,0.09864597022533417,0.09375,0.2140625,0.1078125,2.0249659948050978,6.132714939117432,1.123042925115442
contrast/s5,0.1282051282051282,0.08832454681396484,0.10403814911842346,0.08522727272727272,0.21448863636363635,0.09801136363636363,1.8419078056785194,6.123008814725009,1.068113540082281
contrast/s5,0.14102564102564102,0.0883614644408226,0.10846161842346191,0.078125,0.21614583333333334,0.08984375,1.6889053008053452,6.111173232396443,1.1070812708106434
contrast/s5,0.15384615384615385,0.08836878091096878,0.10414604097604752,0.07211538461538461,0.21394230769230768,0.0829326923076923,1.559223227077522,6.101661572089562,1.1403961792328539
contrast/s5,0.16666666666666666,0.08837592601776123,0.13292470574378967,0.06696428571428571,0.21651785714285715,0.08705357142857142,1.4480259693394015,6.082193272454398,1.3760138125050747
contrast/s5,0.1794871794871795,0.0883789211511612,0.12100843340158463,0.0625,0.2171875,0.09114583333333333,1.3516084312228487,6.066251468658447,1.5921203188869792
contrast/s5,0.19230769230769232,0.08838001638650894,0.11372847855091095,0.05859375,0.21484375,0.091796875,1.2672350214634207,6.059426814317703,1.7713703711306152
contrast/s5,0.20512820512820512,0.08837562054395676,0.10845887660980225,0.05560661764705882,0.21691176470588236,0.08869485294117647,1.1927621708635021,6.052778047673843,1.8890176426639835
contrast/s5,0.21794871794871795,0.08837684243917465,0.124090775847435,0.05251736111111111,0.2183159722222222,0.0920138888888889,1.1265539731248282,6.041463507546319,2.0300378048397962
contrast/s5,0.23076923076923078,0.08837783336639404,0.12114951014518738,0.04975328947368421,0.21916118421052633,0.09498355263157894,1.0673033833093206,6.030594399100856,2.1612548618546783
contrast/s5,0.24358974358974358,0.08837869018316269,0.12351320683956146,0.047265625,0.217578125,0.0984375,1.0139715753233758,6.021750378608703,2.285302571413922
contrast/s5,0.2564102564102564,0.08838216960430145,0.1262328326702118,0.04501488095238095,0.21875,0.10305059523809523,0.9657128277550717,6.010426135290237,2.3896190816996663
contrast/s5,0.2692307692307692,0.08838046342134476,0.12010322511196136,0.04296875,0.22052556818181818,0.10759943181818182,0.9218376590063351,6.00372390313582,2.4931817307237494
contrast/s5,0.28205128205128205,0.08838300406932831,0.13424810767173767,0.04110054347826087,0.2218070652173913,0.11345108695652174,0.8817749447758694,5.991530791572902,2.58004108024508
contrast/s5,0.2948717948717949,0.08838242292404175,0.14464342594146729,0.039388020833333336,0.22265625,0.11881510416666667,0.8450489327284837,5.976914246877034,2.6517147057238617
contrast/s5,0.3076923076923077,0.08838322013616562,0.10902852565050125,0.0378125,0.2225,0.119375,0.811259664479876,5.9744298553466795,2.7281834633811375
contrast/s5,0.32051282051282054,0.08838497847318649,0.17518571019172668,0.03635817307692308,0.22536057692307693,0.12620192307692307,0.7800676809375335,5.953988955571101,2.7708370899221895
contrast/s5,0.3333333333333333,0.08838383108377457,0.1642095446586609,0.03501157407407408,0.2265625,0.1310763888888889,0.7511855507435501,5.9372743323997215,2.8067853214991003
contrast/s5,0.34615384615384615,0.08838294446468353,0.15853995084762573,0.03376116071428571,0.22739955357142858,0.13504464285714285,0.7243656508814768,5.924552764211382,2.8453896584666967
contrast/s5,0.358974358974359,0.08838406950235367,0.15468943119049072,0.03259698275862069,0.2279094827586207,0.13900862068965517,0.6993949679735093,5.912295653902251,2.8821319081029726
