corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run,large_ent_run,small_ent_run,duo_ent_run
motion_blur/s5,0.0,0.40021979808807373,0.10047940909862518,0.328125,0.28125,0.328125,3.511429786682129,6.08659029006958,1.3828891515731812
motion_blur/s5,0.01282051282051282,0.5486247539520264,0.11365563422441483,0.35546875,0.296875,0.35546875,3.0686391592025757,6.045138120651245,1.0950889587402344
motion_blur/s5,0.02564102564102564,0.566725492477417,0.09220262616872787,0.375,0.2838541666666667,0.375,2.823652505874634,6.070454120635986,0.9831756949424744
motion_blur/s5,0.038461538461538464,0.6224334239959717,0.11927160620689392,0.408203125,0.30078125,0.408203125,2.607535272836685,6.041823625564575,0.88956318795681
motion_blur/s5,0.05128205128205128,0.6786662340164185,0.11639398336410522,0.415625,0.3015625,0.415625,2.4251304388046266,6.026591014862061,0.8240451335906982
motion_blur/s5,0.0641025641025641,0.6343809962272644,0.10852453112602234,0.4192708333333333,0.3072916666666667,0.4192708333333333,2.324657380580902,6.02244234085083,0.8010126749674479
motion_blur/s5,0.07692307692307693,0.7055231332778931,0.11335493624210358,0.4330357142857143,0.30580357142857145,0.4330357142857143,2.196118950843811,6.014085837772915,0.7575422866003854
motion_blur/s5,0.08974358974358974,0.7253594398498535,0.10870437324047089,0.4462890625,0.310546875,0.4462890625,2.0992063879966736,6.012363612651825,0.7268798053264618
motion_blur/s5,0.10256410256410256,0.720341682434082,0.13807228207588196,0.4522569444444444,0.3142361111111111,0.4522569444444444,2.0145368576049805,5.989180194007026,0.6955015824900733
motion_blur/s5,0.11538461538461539,0.7375506162643433,0.13937854766845703,0.46328125,0.31640625,0.46328125,1.9313023805618286,5.969890832901001,0.669056561589241
motion_blur/s5,0.1282051282051282,0.7145352959632874,0.1294713318347931,0.4659090909090909,0.31605113636363635,0.4659090909090909,1.8707505031065508,5.957069527019154,0.6505565832961689
motion_blur/s5,0.14102564102564102,0.7510958909988403,0.12339727580547333,0.4713541666666667,0.3157552083333333,0.4713541666666667,1.804094801346461,5.949222842852275,0.6301816925406456
motion_blur/s5,0.15384615384615385,0.6817574501037598,0.12221202254295349,0.4657451923076923,0.31069711538461536,0.4657451923076923,1.7693461271432729,5.9445373094998875,0.6218181504653051
motion_blur/s5,0.16666666666666666,0.7588430643081665,0.1442401111125946,0.46763392857142855,0.31082589285714285,0.46763392857142855,1.7142384946346283,5.930891241346087,0.6035548044102532
motion_blur/s5,0.1794871794871795,0.7407297492027283,0.12299618870019913,0.4671875,0.30833333333333335,0.4671875,1.669667947292328,5.923320865631103,0.5888734598954518
motion_blur/s5,0.19230769230769232,0.7282931804656982,0.1373460739850998,0.4658203125,0.30859375,0.4658203125,1.638563308864832,5.9163152277469635,0.5808639917522669
motion_blur/s5,0.20512820512820512,0.7125401496887207,0.18626128137111664,0.47150735294117646,0.3088235294117647,0.47150735294117646,1.609611451625824,5.887425815357881,0.5754393672241884
motion_blur/s5,0.21794871794871795,0.7336804866790771,0.16206330060958862,0.4696180555555556,0.3068576388888889,0.4696180555555556,1.584187822209464,5.871777693430583,0.5674985729985766
motion_blur/s5,0.23076923076923078,0.7330501675605774,0.14586737751960754,0.4699835526315789,0.30550986842105265,0.4699835526315789,1.5611448068367808,5.863387910943282,0.5637123020071733
motion_blur/s5,0.24358974358974358,0.7759208679199219,0.12534886598587036,0.470703125,0.304296875,0.470703125,1.5279029339551926,5.862291622161865,0.5524056822061538
motion_blur/s5,0.2564102564102564,0.7689830660820007,0.1695270836353302,0.4713541666666667,0.30617559523809523,0.4713541666666667,1.5007489039784385,5.848279408046177,0.5441706010273525
motion_blur/s5,0.2692307692307692,0.7724341154098511,0.1918151080608368,0.4744318181818182,0.31001420454545453,0.4744318181818182,1.472027905962684,5.826754136518999,0.5353757061741569
motion_blur/s5,0.28205128205128205,0.7480142116546631,0.1613861322402954,0.475883152173913,0.3108016304347826,0.475883152173913,1.446779904158219,5.81393113343612,0.5293851494789124
motion_blur/s5,0.2948717948717949,0.7727632522583008,0.1863553822040558,0.4752604166666667,0.3115234375,0.4752604166666667,1.4225488950808842,5.79713761806488,0.5233601282040278
motion_blur/s5,0.3076923076923077,0.7251238822937012,0.1632666438817978,0.4746875,0.310625,0.4746875,1.4033502435684204,5.7872325134277345,0.5201493442058563
motion_blur/s5,0.32051282051282054,0.7665308713912964,0.2377575784921646,0.4756610576923077,0.3134014423076923,0.4756610576923077,1.3815217912197113,5.760431546431321,0.5143268188604941
motion_blur/s5,0.3333333333333333,0.7346234321594238,0.20705203711986542,0.4742476851851852,0.3136574074074074,0.4742476851851852,1.3649456787992407,5.74036780110112,0.5100630002993124
motion_blur/s5,0.34615384615384615,0.752937912940979,0.19717882573604584,0.47154017857142855,0.3119419642857143,0.47154017857142855,1.3484384566545486,5.725258094923837,0.5063576389636312
motion_blur/s5,0.358974358974359,0.7633301019668579,0.19379477202892303,0.4709051724137931,0.31169181034482757,0.4709051724137931,1.329512439925095,5.711095760608542,0.5022757515825075
motion_blur/s5,0.3717948717948718,0.8199375867843628,0.22004127502441406,0.47109375,0.31276041666666665,0.47109375,1.3075109203656514,5.693726301193237,0.49469256699085234
motion_blur/s5,0.38461538461538464,0.798902690410614,0.20834454894065857,0.4710181451612903,0.3155241935483871,0.4710181451612903,1.2872459119366062,5.677610658830212,0.48901750003137895
motion_blur/s5,0.3974358974358974,0.7892863154411316,0.2328093945980072,0.470703125,0.316650390625,0.470703125,1.2707003895193338,5.657489702105522,0.48443782795220613
motion_blur/s5,0.41025641025641024,0.8118528127670288,0.23847351968288422,0.47230113636363635,0.3181818181818182,0.47230113636363635,1.2510175108909607,5.637275869196111,0.4780360929893725
motion_blur/s5,0.4230769230769231,0.7597230076789856,0.18514366447925568,0.4717371323529412,0.31755514705882354,0.4717371323529412,1.2370907278621899,5.6290546725778015,0.4744449433158426
motion_blur/s5,0.4358974358974359,0.7666285634040833,0.23570740222930908,0.4705357142857143,0.31785714285714284,0.4705357142857143,1.2243678331375123,5.611474132537841,0.4705799698829651
motion_blur/s5,0.44871794871794873,0.7885981798171997,0.22617270052433014,0.470703125,0.3196614583333333,0.470703125,1.20787599351671,5.596441255675422,0.4653882210453351
motion_blur/s5,0.46153846153846156,0.7677344679832458,0.20346033573150635,0.47107263513513514,0.3207347972972973,0.47107263513513514,1.19537218196972,5.585725668314341,0.4622874976815404
motion_blur/s5,0.47435897435897434,0.7687829732894897,0.19165165722370148,0.4706003289473684,0.32134046052631576,0.4706003289473684,1.1865210689996417,5.577235686151605,0.4607503720019993
motion_blur/s5,0.48717948717948717,0.775806188583374,0.24868041276931763,0.46935096153846156,0.320713141025641,0.46935096153846156,1.1745688823553233,5.558688200437105,0.4577038838313176
motion_blur/s5,0.5,0.7612213492393494,0.2537747621536255,0.4673828125,0.32109375,0.4673828125,1.1628354907035827,5.539657723903656,0.45413452982902525
motion_blur/s5,0.5128205128205128,0.7632553577423096,0.24075374007225037,0.4647484756097561,0.3205030487804878,0.4647484756097561,1.1500343607693184,5.5252891517266995,0.4508132229490978
motion_blur/s5,0.5256410256410257,0.811145544052124,0.30464842915534973,0.4650297619047619,0.32198660714285715,0.4650297619047619,1.1355702763512021,5.500728300639561,0.4461771469740641
motion_blur/s5,0.5384615384615384,0.7616761922836304,0.2458568811416626,0.4636627906976744,0.32085755813953487,0.4636627906976744,1.1252554641213528,5.484924183335415,0.4428318357744882
motion_blur/s5,0.5512820512820513,0.7691365480422974,0.30577120184898376,0.4639559659090909,0.32173295454545453,0.4639559659090909,1.1157577376474033,5.461796272884715,0.43965778093446384
motion_blur/s5,0.5641025641025641,0.8014037013053894,0.329828143119812,0.46458333333333335,0.3236111111111111,0.46458333333333335,1.1060365027851529,5.435010846455892,0.4369497252835168
motion_blur/s5,0.5769230769230769,0.7386347651481628,0.29258009791374207,0.46212635869565216,0.3250679347826087,0.46212635869565216,1.0975825255331786,5.415598744931429,0.4347386975651202
motion_blur/s5,0.5897435897435898,0.7689201831817627,0.26122182607650757,0.4617686170212766,0.32529920212765956,0.4617686170212766,1.0872041037742128,5.401500143903367,0.431616890937724
motion_blur/s5,0.6025641025641025,0.8038097023963928,0.32942095398902893,0.4609375,0.32666015625,0.4609375,1.0740110961099465,5.376882582902908,0.4264095528051257
motion_blur/s5,0.6153846153846154,0.704892635345459,0.307231068611145,0.45950255102040816,0.3284438775510204,0.45950255102040816,1.0638674217827466,5.357640237224345,0.42318808819566456
