corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run,large_ent_run,small_ent_run,duo_ent_run
glass_blur/s5,0.0,0.373876690864563,0.061033304780721664,0.2421875,0.1953125,0.2421875,3.630469799041748,6.369293212890625,1.3769137859344482
glass_blur/s5,0.01282051282051282,0.4490296244621277,0.06142739951610565,0.25,0.1796875,0.25,3.337742805480957,6.369417190551758,1.1457312107086182
glass_blur/s5,0.02564102564102564,0.46023666858673096,0.05765537545084953,0.22916666666666666,0.15104166666666666,0.22916666666666666,3.163979450861613,6.376234690348308,1.0713040431340535
glass_blur/s5,0.038461538461538464,0.5368388295173645,0.0670723021030426,0.251953125,0.158203125,0.251953125,2.9617262482643127,6.364160060882568,0.992697685956955
glass_blur/s5,0.05128205128205128,0.6188643574714661,0.06442004442214966,0.259375,0.153125,0.259375,2.71837055683136,6.3635663986206055,0.9015708684921264
glass_blur/s5,0.0641025641025641,0.5382333993911743,0.06404377520084381,0.24609375,0.13802083333333334,0.24609375,2.5951122045516968,6.358228365580241,0.8527485132217407
glass_blur/s5,0.07692307692307693,0.6073421239852905,0.07004119455814362,0.25558035714285715,0.140625,0.25558035714285715,2.4620736837387085,6.349984645843506,0.8088951877185276
glass_blur/s5,0.08974358974358974,0.5340906977653503,0.06786000728607178,0.2607421875,0.1455078125,0.2607421875,2.3563229590654373,6.345409572124481,0.7792973890900612
glass_blur/s5,0.10256410256410256,0.44766104221343994,0.08119749277830124,0.2560763888888889,0.14756944444444445,0.2560763888888889,2.233666088845995,6.331286271413167,0.7411051988601685
glass_blur/s5,0.11538461538461539,0.3737016022205353,0.08132300525903702,0.2453125,0.1515625,0.2453125,2.0776933550834658,6.319780921936035,0.6895616054534912
glass_blur/s5,0.1282051282051282,0.2296772003173828,0.07450754940509796,0.2315340909090909,0.14985795454545456,0.2315340909090909,1.9281317591667175,6.313441710038618,0.6380927386608991
glass_blur/s5,0.14102564102564102,0.1253388226032257,0.08579225838184357,0.21484375,0.15690104166666666,0.21484375,1.7732545261581738,6.30195693174998,0.5855738673514376
glass_blur/s5,0.15384615384615385,0.09070107340812683,0.06739585846662521,0.19831730769230768,0.15384615384615385,0.19831730769230768,1.6397034118954952,6.301722489870512,0.5408396417131791
glass_blur/s5,0.16666666666666666,0.09439229220151901,0.0845237672328949,0.18470982142857142,0.15625,0.18470982142857142,1.5239314939826727,6.293865987232754,0.5024143330187404
glass_blur/s5,0.1794871794871795,0.08835680037736893,0.07614660263061523,0.17239583333333333,0.15416666666666667,0.17239583333333333,1.4229218715180953,6.290098571777344,0.4689388091520717
glass_blur/s5,0.19230769230769232,0.08835705369710922,0.08002246171236038,0.16162109375,0.1552734375,0.16162109375,1.3344423052913044,6.2844961285591125,0.439704030584835
glass_blur/s5,0.20512820512820512,0.09256918728351593,0.09241945296525955,0.15257352941176472,0.15716911764705882,0.15257352941176472,1.2571834147469525,6.271921326132381,0.41414124081048237
glass_blur/s5,0.21794871794871795,0.0883735790848732,0.08713619410991669,0.14453125,0.1558159722222222,0.14453125,1.187507855757657,6.2639306916130915,0.39160006685415283
glass_blur/s5,0.23076923076923078,0.0883759930729866,0.0845654159784317,0.13692434210526316,0.15583881578947367,0.13692434210526316,1.1251334397514399,6.2597070242229265,0.3713872475904952
glass_blur/s5,0.24358974358974358,0.0883421003818512,0.08971470594406128,0.130078125,0.1546875,0.130078125,1.0699823387432843,6.252307629585266,0.355048490507761
glass_blur/s5,0.2564102564102564,0.08837279677391052,0.09830372035503387,0.12388392857142858,0.1558779761904762,0.12388392857142858,1.0191328253242231,6.241715544746036,0.3423297158719617
glass_blur/s5,0.2692307692307692,0.08837813884019852,0.10733295977115631,0.11825284090909091,0.16015625,0.11825284090909091,0.9729071630757641,6.229610334743153,0.35470908965428616
glass_blur/s5,0.28205128205128205,0.0883733332157135,0.1010015606880188,0.11345108695652174,0.16168478260869565,0.11345108695652174,0.9307099658712421,6.220099677210269,0.37139820097439474
