corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run,large_ent_run,small_ent_run,duo_ent_run
gaussian_noise/s5,0.0,0.29223987460136414,0.04677094891667366,0.328125,0.1640625,0.328125,4.421759605407715,6.558229923248291,1.8269511461257935
gaussian_noise/s5,0.01282051282051282,0.4760349988937378,0.045086488127708435,0.3359375,0.16015625,0.3359375,3.7343790531158447,6.566830635070801,1.4397780299186707
gaussian_noise/s5,0.02564102564102564,0.5146322250366211,0.04093223810195923,0.3359375,0.140625,0.3359375,3.4057677586873374,6.571369806925456,1.285002867380778
gaussian_noise/s5,0.038461538461538464,0.5638682842254639,0.05069220811128616,0.330078125,0.146484375,0.330078125,3.161515176296234,6.558994293212891,1.1717028617858887
gaussian_noise/s5,0.05128205128205128,0.5809628963470459,0.04646315425634384,0.3296875,0.146875,0.3296875,2.972595739364624,6.559914875030517,1.0957944869995118
gaussian_noise/s5,0.0641025641025641,0.5858170986175537,0.046373412013053894,0.32421875,0.14453125,0.32421875,2.83480974038442,6.5579408804575605,1.0363000730673473
gaussian_noise/s5,0.07692307692307693,0.6189595460891724,0.04177279770374298,0.32142857142857145,0.14285714285714285,0.32142857142857145,2.677776575088501,6.563089302607945,0.9726419789450509
gaussian_noise/s5,0.08974358974358974,0.6338595151901245,0.04878038167953491,0.3203125,0.1396484375,0.3203125,2.5670612454414368,6.557868480682373,0.9308533445000648
gaussian_noise/s5,0.10256410256410256,0.6246848106384277,0.04932887852191925,0.3237847222222222,0.1440972222222222,0.3237847222222222,2.4661235411961875,6.555040571424696,0.8914008008109199
gaussian_noise/s5,0.11538461538461539,0.6411775350570679,0.05216139554977417,0.325,0.14140625,0.325,2.382760763168335,6.54905481338501,0.8646238386631012
gaussian_noise/s5,0.1282051282051282,0.6379513740539551,0.05285938084125519,0.32457386363636365,0.13849431818181818,0.32457386363636365,2.3084794824773613,6.543213194066828,0.8357536630197004
gaussian_noise/s5,0.14102564102564102,0.6404731273651123,0.04919471591711044,0.3248697916666667,0.140625,0.3248697916666667,2.235754539569219,6.541956067085266,0.8100824604431788
gaussian_noise/s5,0.15384615384615385,0.6201468706130981,0.05614615976810455,0.3215144230769231,0.13701923076923078,0.3215144230769231,2.18529697564932,6.536694233234112,0.7947709973041828
gaussian_noise/s5,0.16666666666666666,0.6341760158538818,0.06401778757572174,0.3197544642857143,0.13895089285714285,0.3197544642857143,2.136291708265032,6.529596396854946,0.7794311004025596
gaussian_noise/s5,0.1794871794871795,0.665341317653656,0.061138443648815155,0.3145833333333333,0.140625,0.3145833333333333,2.065601348876953,6.522970294952392,0.7544666568438212
gaussian_noise/s5,0.19230769230769232,0.5829837918281555,0.05058379843831062,0.3095703125,0.13916015625,0.3095703125,2.008772239089012,6.52223813533783,0.7343681659549475
gaussian_noise/s5,0.20512820512820512,0.5736069679260254,0.07835975289344788,0.30652573529411764,0.14430147058823528,0.30652573529411764,1.9503171233569874,6.508843337788301,0.7169272250988904
gaussian_noise/s5,0.21794871794871795,0.46030887961387634,0.05920315533876419,0.2990451388888889,0.14453125,0.2990451388888889,1.8875950773557026,6.504978471332127,0.6931748274299834
gaussian_noise/s5,0.23076923076923078,0.3890669643878937,0.072072833776474,0.29194078947368424,0.1484375,0.29194078947368424,1.8204991441023977,6.496456773657548,0.6693057323756971
gaussian_noise/s5,0.24358974358974358,0.20402316749095917,0.07270551472902298,0.2796875,0.151171875,0.2796875,1.7382148705422877,6.4879409074783325,0.6386871825903654
gaussian_noise/s5,0.2564102564102564,0.12192344665527344,0.06324149668216705,0.2663690476190476,0.15066964285714285,0.2663690476190476,1.6576155161573773,6.4838373093377974,0.6089130798354745
gaussian_noise/s5,0.2692307692307692,0.08978106081485748,0.08106611669063568,0.25426136363636365,0.1551846590909091,0.25426136363636365,1.582693264481019,6.4744954976168545,0.5813587231201712
gaussian_noise/s5,0.28205128205128205,0.08837106823921204,0.07807155698537827,0.24320652173913043,0.15726902173913043,0.24320652173913043,1.5140362845774253,6.465716610784116,0.5560827912606882
gaussian_noise/s5,0.2948717948717949,0.08839505165815353,0.08394879102706909,0.23307291666666666,0.1591796875,0.23307291666666666,1.4510542721836828,6.456092556317647,0.5329288933611451
gaussian_noise/s5,0.3076923076923077,0.08837568014860153,0.055754825472831726,0.22375,0.1596875,0.22375,1.393067271965556,6.456719799041748,0.5116119821795292
