corruption,n_refreshes,r,a,x,acc,n
shot_noise/s5,1,0.037879250943660736,0.060074790635285945,-1.3751050055160623,0.16796875,512
shot_noise/s5,2,0.04087898135185242,0.06491516522443337,-2.021330498008685,0.15625,512
shot_noise/s5,3,0.04573627933859825,0.07275291680462777,-2.28324078497022,0.1796875,512
shot_noise/s5,4,0.047451090067625046,0.07551994088629593,-2.394037763554709,0.17578125,512
shot_noise/s5,5,0.05233501270413399,0.08340065408657671,-2.395526034964966,0.19140625,512
shot_noise/s5,6,0.049459926784038544,0.078761406242423,-2.4274109943668747,0.177734375,512
shot_noise/s5,7,0.04984433948993683,0.0793816958152107,-2.4390943490280974,0.16796875,512
shot_noise/s5,8,0.05483972281217575,0.08744226233478411,-2.3921834950534695,0.177734375,512
shot_noise/s5,9,0.05321517586708069,0.08482088818381316,-2.3853807282017248,0.173828125,512
shot_noise/s5,10,0.05817699804902077,0.09282730033996721,-2.332486393264415,0.189453125,512
shot_noise/s5,11,0.06234636902809143,0.09955501069844179,-2.267332552112946,0.193359375,512
shot_noise/s5,12,0.06540392339229584,0.10448869020811263,-2.2078242826215213,0.193359375,512
shot_noise/s5,13,0.06652668118476868,0.10630037577612636,-2.16846259507093,0.197265625,512
shot_noise/s5,14,0.06895805150270462,0.11022364270424974,-2.1284606624896485,0.19921875,512
shot_noise/s5,15,0.06949868053197861,0.11109600343650326,-2.1040275892375444,0.205078125,512
shot_noise/s5,16,0.07919635623693466,0.1267442039974192,-2.0170425982926163,0.185546875,512
shot_noise/s5,17,0.08402764052152634,0.1345399797845447,-1.9392211883987498,0.212890625,512
shot_noise/s5,18,0.08277281373739243,0.13251518726881834,-1.9090609666869254,0.216796875,512
shot_noise/s5,19,0.0841277688741684,0.13470154721489055,-1.884536938251876,0.20703125,512
shot_noise/s5,20,0.1115814596414566,0.1790009105194752,-1.7038340230688864,0.19921875,512
shot_noise/s5,21,0.09918151795864105,0.15899232492641444,-1.6847894394880085,0.2109375,512
shot_noise/s5,22,0.10578857362270355,0.1696534910959068,-1.6364372322607457,0.181640625,512
shot_noise/s5,23,0.10574802756309509,0.1695880658443299,-1.6124933808728927,0.193359375,512
shot_noise/s5,24,0.1287309229373932,0.20667333939124458,-1.4787944858053863,0.2265625,512
shot_noise/s5,25,0.12660041451454163,0.20323554418012363,-1.4224939799337377,0.21875,512
shot_noise/s5,26,0.12754374742507935,0.20475770918428673,-1.3896567213796054,0.19140625,512
shot_noise/s5,27,0.13596861064434052,0.21835209544386316,-1.3324761169990058,0.205078125,512
shot_noise/s5,28,0.15407787263393402,0.24757325856014567,-1.2220366114605272,0.220703125,512
shot_noise/s5,29,0.16981568932533264,0.27296784995198603,-1.10082664420473,0.2265625,512
shot_noise/s5,30,0.1882452815771103,0.30270589900474365,-0.9676361074101918,0.259765625,512
shot_noise/s5,31,0.1878449022769928,0.3020598456844129,-0.9025721527165502,0.255859375,512
shot_noise/s5,32,0.17148323357105255,0.2756586046848847,-0.9343359069620008,0.216796875,512
shot_noise/s5,33,0.21531501412391663,0.34638570609566344,-0.7846502040442316,0.255859375,512
shot_noise/s5,34,0.20173007249832153,0.32446500080160956,-0.7589887489164773,0.248046875,512
shot_noise/s5,35,0.20918472111225128,0.3364938456682523,-0.7189735092660487,0.23046875,512
shot_noise/s5,36,0.24410849809646606,0.392846964005093,-0.5771671278461625,0.255859375,512
shot_noise/s5,37,0.24870605766773224,0.4002656008466162,-0.4907628440527616,0.26171875,512
shot_noise/s5,38,0.25928422808647156,0.4173345704962598,-0.4122438804425488,0.275390625,512
shot_noise/s5,39,0.2681436836719513,0.4316302163891477,-0.34372343685913587,0.240234375,512
shot_noise/s5,40,0.28255075216293335,0.45487750822491463,-0.2623528959025187,0.25390625,512
shot_noise/s5,41,0.2897236943244934,0.4664517906582382,-0.19837382726597047,0.248046875,512
shot_noise/s5,42,0.32050883769989014,0.5161267965556379,-0.06692212912612008,0.306640625,512
shot_noise/s5,43,0.30549156665802,0.4918948799304279,-0.049672724791227835,0.287109375,512
shot_noise/s5,44,0.3187011480331421,0.5132099027227462,0.0015895926875363793,0.248046875,512
shot_noise/s5,45,0.34793052077293396,0.5603745121423294,0.12213586203229604,0.287109375,512
shot_noise/s5,46,0.3247198462486267,0.5229216934298121,0.10694347349970901,0.232421875,512
shot_noise/s5,47,0.3192828297615051,0.5141485062216644,0.08177630549369,0.248046875,512
shot_noise/s5,48,0.35851573944091797,0.5774548548695164,0.19705513898952953,0.279296875,512
shot_noise/s5,49,0.3365110456943512,0.5419480106004473,0.18262126139112556,0.26650944352149963,424
