corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
elastic_transform/s5,128.0,0.475666880607605,0.19300979375839233,0.475666880607605,0.19300979375839233,0.4140625,0.5234375,2.989724636077881,5.586101531982422
elastic_transform/s5,256.0,0.4970538318157196,0.17538705468177795,0.47955541719089856,0.18980565938082605,0.39985795454545453,0.5021306818181818,2.9871004711497915,5.60373306274414
elastic_transform/s5,384.0,0.4777238368988037,0.19364877045154572,0.47922240259233584,0.1905044068482296,0.3924974173553719,0.507425103305785,2.9808258813274793,5.599969170310279
elastic_transform/s5,512.0,0.5043782591819763,0.1828824281692505,0.48379619469954316,0.18911859254296065,0.38647515965439516,0.48902962997746047,2.9458399091243384,5.6027059949134
elastic_transform/s5,640.0,0.5213067531585693,0.20544299483299255,0.49061629623754793,0.19208666568660282,0.38296831244450513,0.4768196972542858,2.908729618848424,5.580359057677947
elastic_transform/s5,768.0,0.5009775757789612,0.21202725172042847,0.49250016524507756,0.195712226783662,0.38720134654550414,0.4668297522989611,2.8889183234581033,5.544344140258564
elastic_transform/s5,896.0,0.5076847672462463,0.20288926362991333,0.49526100197256273,0.19701714257388953,0.3949261017190488,0.47001979733551363,2.8908974716399483,5.530659832602576
elastic_transform/s5,1024.0,0.5814306735992432,0.22601789236068726,0.5109282149955955,0.2022900061714891,0.4211327195883126,0.4754707432745111,2.793616153110242,5.488680794601415
elastic_transform/s5,1152.0,0.4998404383659363,0.22022438049316406,0.5089122556083847,0.20555080150270272,0.40564267966316486,0.4685669717700545,2.7899840235513795,5.466094500448033
elastic_transform/s5,1280.0,0.5438323616981506,0.2317391037940979,0.5152613658065239,0.2103123110102291,0.4128553742698622,0.4700207041754991,2.7476808883766437,5.431273942610669
elastic_transform/s5,1408.0,0.5336999893188477,0.24288144707679749,0.5186138428087645,0.21623397211324152,0.40881348803897816,0.482573757961772,2.7087783914820798,5.38718427751908
elastic_transform/s5,1536.0,0.5687453150749207,0.2769603431224823,0.5277286559480656,0.22727513047855802,0.41687012657734573,0.4871626201505407,2.6700139562121668,5.309293163373654
elastic_transform/s5,1664.0,0.574909508228302,0.2871447205543518,0.5363069927262903,0.2381605104923387,0.4163596490178283,0.47955350739589686,2.6247740647872715,5.225777235265145
elastic_transform/s5,1792.0,0.596441388130188,0.25680914521217346,0.5472405191633626,0.24155117135049045,0.4301465310145868,0.48611196059664286,2.549942260033469,5.195953136115374
elastic_transform/s5,1920.0,0.5344798564910889,0.2870848476886749,0.5449203986774946,0.24983002159379672,0.4172789799210255,0.4914779677608896,2.5561138757629127,5.12588395213195
elastic_transform/s5,2048.0,0.5843247175216675,0.33747556805610657,0.552084820285526,0.26576557549603486,0.42521689266265716,0.49728879180436414,2.5280172149075373,5.014246508764475
elastic_transform/s5,2176.0,0.5467197895050049,0.29365867376327515,0.551109360143613,0.27083704790826035,0.4203479121785377,0.49209992056720697,2.505563658996059,4.988248385045135
elastic_transform/s5,2304.0,0.5431389212608337,0.2685706913471222,0.549660189437653,0.2704249830789625,0.4078414736006217,0.4850135713731693,2.5246010930892826,4.9825028373868925
elastic_transform/s5,2432.0,0.5793130397796631,0.3069295287132263,0.555051616772564,0.27706217319428317,0.41181347840050864,0.4820565583962294,2.4864638104945693,4.937460730894451
elastic_transform/s5,2560.0,0.5539695024490356,0.3207373321056366,0.5548548687137407,0.2850031111781656,0.4207451186913252,0.4910008205060058,2.497262173477379,4.893361907458342
elastic_transform/s5,2688.0,0.593252420425415,0.35817837715148926,0.5618362417522269,0.29830770499149717,0.42521191529290236,0.5040006713230956,2.4291717032819182,4.799098595643073
elastic_transform/s5,2816.0,0.5411070585250854,0.31088554859161377,0.558067299347292,0.3005945856460638,0.42176429433055646,0.500432367446169,2.424538987893613,4.769750636813882
elastic_transform/s5,2944.0,0.5640321969985962,0.3450842499732971,0.5591518261929836,0.30868361552374257,0.4246253317250007,0.5003537551832292,2.4148826637203737,4.7037395471858785
elastic_transform/s5,3072.0,0.5683098435401917,0.2723340392112732,0.5608169202561124,0.30207460164874816,0.4212843623204551,0.5002894360590057,2.4094305936587324,4.7430527942718
elastic_transform/s5,3200.0,0.5694758892059326,0.32851457595825195,0.5623912782469888,0.30688186970502157,0.4228122055349178,0.49313453859373185,2.3941126604588847,4.709824036793893
elastic_transform/s5,3328.0,0.5842143297195435,0.3125356435775757,0.5663591057874532,0.3079098285909405,0.42122134998311456,0.48728053157668966,2.373209970082371,4.689625657068316
elastic_transform/s5,3456.0,0.5656880736351013,0.32457435131073,0.566237099941571,0.31093974181272044,0.4227606499861846,0.48533179856274605,2.3582246224058174,4.65049866909327
elastic_transform/s5,3584.0,0.5485026240348816,0.29903900623321533,0.5630126497767183,0.3087759717073558,0.4126564408977874,0.4851578351877013,2.3788974220080132,4.641599970036273
elastic_transform/s5,3712.0,0.608840823173523,0.329157292842865,0.5713450449397737,0.31248166645926656,0.4157529970981897,0.47933368333539195,2.32507100440071,4.609357051123427
elastic_transform/s5,3840.0,0.5743939280509949,0.38289737701416016,0.571899387323632,0.3252845229237926,0.4140251794439733,0.4930343772744116,2.3262344604487253,4.51280165699605
elastic_transform/s5,3968.0,0.5725870132446289,0.3767344653606415,0.5720244102183587,0.3346390579123106,0.42255469227234177,0.4900394904972458,2.3050072956427954,4.434926691278684
