corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema
motion_blur/s5,128.0,0.4352940022945404,0.10103832930326462,0.4352940022945404,0.10103832930326462,0.3125,0.3046875,3.2913565635681152,6.086383819580078
motion_blur/s5,256.0,0.4180770218372345,0.11679002642631531,0.4321636422113938,0.10390227423472836,0.3068181818181818,0.3032670454545454,3.3104256283153184,6.062021515586158
motion_blur/s5,384.0,0.41096922755241394,0.11409458518028259,0.42831011227339744,0.10575542167937459,0.309271694214876,0.30494576446280985,3.3252200449793787,6.051066177935638
motion_blur/s5,512.0,0.4297272861003876,0.11326127499341965,0.4285677802419411,0.10712012228192823,0.31269956799398946,0.3020578981968444,3.30493605396606,6.037056829049835
motion_blur/s5,640.0,0.4319866895675659,0.11378591507673264,0.4291894001193274,0.1083320846082563,0.322606464722355,0.3067973712519636,3.305116319614032,6.029179322866946
motion_blur/s5,768.0,0.437705397605896,0.13057038187980652,0.4307377632987035,0.11237541138490179,0.3250302893182904,0.303572849206152,3.2917054652821305,5.993681529555821
motion_blur/s5,896.0,0.4347461462020874,0.10428468883037567,0.43146656019022783,0.11090437092044249,0.3255929639876921,0.3023550584413971,3.2796586773328844,5.999298913419873
motion_blur/s5,1024.0,0.5015239715576172,0.16187408566474915,0.44420427134793494,0.1201715917830437,0.34451924326265715,0.3155632296338703,3.2012220205122395,5.933398915806111
motion_blur/s5,1152.0,0.43713417649269104,0.1261267066001892,0.4429187995560724,0.12125433993161559,0.3429589263058104,0.31642673333680293,3.2027004616846413,5.92334645998372
motion_blur/s5,1280.0,0.4752919673919678,0.13076838850975037,0.4488048300716897,0.12298416694582191,0.34594366697748125,0.3256559636392024,3.1767773241392403,5.909868711871668
motion_blur/s5,1408.0,0.4618237614631653,0.13639739155769348,0.45117190850650346,0.12542293505707128,0.3427039093452119,0.3261048793411656,3.153817535307594,5.892582932366103
motion_blur/s5,1536.0,0.48206624388694763,0.14848506450653076,0.4567890603938569,0.12961604950242755,0.3485759258279006,0.32931308309731727,3.1123948862877113,5.867191606694869
motion_blur/s5,1664.0,0.4949342608451843,0.1267976611852646,0.46372455138500734,0.12910361526294337,0.36190303022282777,0.3290970679887141,3.085237132207368,5.863186121475489
motion_blur/s5,1792.0,0.5029359459877014,0.14944332838058472,0.4708538958582244,0.13280174492069632,0.36286384290958634,0.3189771465362206,3.03483551201155,5.830013297220623
motion_blur/s5,1920.0,0.47443175315856934,0.1464133858680725,0.47150441536737797,0.13527658872931017,0.35796814419875245,0.31495857443872594,3.01729558915114,5.80622778877932
motion_blur/s5,2048.0,0.5020662546157837,0.18534237146377563,0.47706111341254265,0.1443794583173948,0.36390575434443384,0.3145115609044121,2.989574966188579,5.735999193072195
motion_blur/s5,2176.0,0.49983716011047363,0.1619821935892105,0.48120221281216646,0.1475799556395431,0.3588206171909004,0.31698673164906443,2.9690147345903046,5.717108709931272
motion_blur/s5,2304.0,0.5243579745292664,0.1443326771259308,0.4890487149425482,0.14698954136434086,0.36602368679255487,0.3218527804401436,2.9166011245935497,5.71674614330847
