corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run
brightness/s5,0.0,0.6515827178955078,0.4387477934360504,0.71875,0.7109375,0.7265625
brightness/s5,0.01282051282051282,0.734667181968689,0.3820459246635437,0.69140625,0.703125,0.6953125
brightness/s5,0.02564102564102564,0.7260282039642334,0.3515365719795227,0.6875,0.6979166666666666,0.6901041666666666
brightness/s5,0.038461538461538464,0.786200761795044,0.4259481728076935,0.701171875,0.70703125,0.703125
brightness/s5,0.05128205128205128,0.8010143041610718,0.44573646783828735,0.7125,0.7125,0.7140625
brightness/s5,0.0641025641025641,0.7706835269927979,0.4622206687927246,0.7057291666666666,0.7135416666666666,0.70703125
brightness/s5,0.07692307692307693,0.8249707221984863,0.4855666160583496,0.7165178571428571,0.7198660714285714,0.7176339285714286
brightness/s5,0.08974358974358974,0.8062330484390259,0.41677743196487427,0.71875,0.71875,0.7197265625
brightness/s5,0.10256410256410256,0.787655234336853,0.4409012198448181,0.7135416666666666,0.7178819444444444,0.7144097222222222
brightness/s5,0.11538461538461539,0.8041825890541077,0.4770984649658203,0.715625,0.71796875,0.71640625
brightness/s5,0.1282051282051282,0.8400068283081055,0.5687420964241028,0.7215909090909091,0.7223011363636364,0.7223011363636364
brightness/s5,0.14102564102564102,0.8082107305526733,0.5586127042770386,0.720703125,0.7259114583333334,0.7213541666666666
brightness/s5,0.15384615384615385,0.8038949966430664,0.4971398115158081,0.7145432692307693,0.7223557692307693,0.7151442307692307
brightness/s5,0.16666666666666666,0.854652464389801,0.590025007724762,0.7181919642857143,0.7248883928571429,0.71875
brightness/s5,0.1794871794871795,0.822913646697998,0.5473574995994568,0.7208333333333333,0.7260416666666667,0.7213541666666666
brightness/s5,0.19230769230769232,0.8242306113243103,0.5708264112472534,0.7197265625,0.724609375,0.72021484375
brightness/s5,0.20512820512820512,0.8366161584854126,0.6175461411476135,0.7205882352941176,0.7279411764705882,0.7210477941176471
brightness/s5,0.21794871794871795,0.8030916452407837,0.5569471120834351,0.7165798611111112,0.7243923611111112,0.7170138888888888
brightness/s5,0.23076923076923078,0.8190027475357056,0.5622847080230713,0.7146381578947368,0.7240953947368421,0.7150493421052632
brightness/s5,0.24358974358974358,0.841865062713623,0.5811785459518433,0.715625,0.725,0.716015625
brightness/s5,0.2564102564102564,0.8563202023506165,0.5976248979568481,0.7157738095238095,0.7258184523809523,0.7161458333333334
brightness/s5,0.2692307692307692,0.8728164434432983,0.5995009541511536,0.7194602272727273,0.7269176136363636,0.7198153409090909
brightness/s5,0.28205128205128205,0.8182950019836426,0.6155942678451538,0.7197690217391305,0.725203804347826,0.720108695652174
brightness/s5,0.2948717948717949,0.8547384738922119,0.6283034086227417,0.7210286458333334,0.7255859375,0.7216796875
brightness/s5,0.3076923076923077,0.8449938297271729,0.5285179615020752,0.7228125,0.7228125,0.7234375
brightness/s5,0.32051282051282054,0.8676047325134277,0.6811920404434204,0.7220552884615384,0.7223557692307693,0.72265625
brightness/s5,0.3333333333333333,0.8510577082633972,0.6145130395889282,0.7207754629629629,0.7219328703703703,0.7213541666666666
brightness/s5,0.34615384615384615,0.8447052240371704,0.645423173904419,0.7184709821428571,0.7209821428571429,0.7193080357142857
brightness/s5,0.358974358974359,0.8563498854637146,0.5837252736091614,0.7198275862068966,0.7211745689655172,0.720635775862069
brightness/s5,0.3717948717948718,0.8534402251243591,0.6571572422981262,0.7200520833333334,0.7213541666666666,0.7208333333333333
brightness/s5,0.38461538461538464,0.8650097250938416,0.6774882078170776,0.7217741935483871,0.7230342741935484,0.7227822580645161
brightness/s5,0.3974358974358974,0.8715766668319702,0.7113603949546814,0.7216796875,0.723876953125,0.72265625
brightness/s5,0.41025641025641024,0.8612427711486816,0.6493870615959167,0.7227746212121212,0.7256155303030303,0.7237215909090909
brightness/s5,0.4230769230769231,0.8337470293045044,0.6359312534332275,0.7215073529411765,0.7244944852941176,0.7224264705882353
brightness/s5,0.4358974358974359,0.8424268960952759,0.6327635645866394,0.7209821428571429,0.7256696428571429,0.721875
brightness/s5,0.44871794871794873,0.8628656268119812,0.6661785840988159,0.720703125,0.7269965277777778,0.7215711805555556
brightness/s5,0.46153846153846156,0.8479779362678528,0.6293442249298096,0.721706081081081,0.7274070945945946,0.7225506756756757
brightness/s5,0.47435897435897434,0.871756911277771,0.7070802450180054,0.7216282894736842,0.7273848684210527,0.7224506578947368
brightness/s5,0.48717948717948717,0.8478779792785645,0.6647055149078369,0.7219551282051282,0.7277644230769231,0.7227564102564102
brightness/s5,0.5,0.867956280708313,0.6786556243896484,0.721875,0.7271484375,0.72265625
brightness/s5,0.5128205128205128,0.861552357673645,0.6664140224456787,0.7181783536585366,0.7246570121951219,0.7189405487804879
brightness/s5,0.5256410256410257,0.8752611875534058,0.7413148880004883,0.71875,0.7241443452380952,0.7194940476190477
brightness/s5,0.5384615384615384,0.8386801481246948,0.6868247985839844,0.7162063953488372,0.7238372093023255,0.7169331395348837
brightness/s5,0.5512820512820513,0.8684284687042236,0.7247430086135864,0.7164417613636364,0.7240767045454546,0.7171519886363636
