corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run
fog/s5,0.0,0.22311198711395264,0.17626804113388062,0.4921875,0.6484375,0.59375
fog/s5,0.01282051282051282,0.4183192849159241,0.22340932488441467,0.44921875,0.6328125,0.5390625
fog/s5,0.02564102564102564,0.565399169921875,0.195317804813385,0.4505208333333333,0.6171875,0.5104166666666666
fog/s5,0.038461538461538464,0.5558179616928101,0.1877269744873047,0.4453125,0.6015625,0.490234375
fog/s5,0.05128205128205128,0.5957546234130859,0.20825587213039398,0.4421875,0.6015625,0.478125
fog/s5,0.0641025641025641,0.5669505596160889,0.19994312524795532,0.4348958333333333,0.6002604166666666,0.46484375
fog/s5,0.07692307692307693,0.5740354061126709,0.18407006561756134,0.43638392857142855,0.6037946428571429,0.46205357142857145
fog/s5,0.08974358974358974,0.4785735607147217,0.21069936454296112,0.4228515625,0.6064453125,0.4453125
fog/s5,0.10256410256410256,0.3768618106842041,0.22221830487251282,0.4053819444444444,0.6102430555555556,0.4270833333333333
fog/s5,0.11538461538461539,0.20529824495315552,0.20568209886550903,0.37421875,0.60546875,0.39453125
fog/s5,0.1282051282051282,0.15199318528175354,0.22761768102645874,0.34517045454545453,0.6086647727272727,0.3757102272727273
fog/s5,0.14102564102564102,0.09705831855535507,0.23240268230438232,0.3170572916666667,0.6126302083333334,0.4010416666666667
fog/s5,0.15384615384615385,0.09311769157648087,0.22892484068870544,0.2932692307692308,0.6087740384615384,0.41346153846153844
fog/s5,0.16666666666666666,0.08851923048496246,0.28348562121391296,0.27232142857142855,0.6116071428571429,0.4302455357142857
fog/s5,0.1794871794871795,0.08845778554677963,0.2763201594352722,0.25416666666666665,0.6130208333333333,0.44375
fog/s5,0.19230769230769232,0.08846264332532883,0.21044959127902985,0.23828125,0.60986328125,0.451171875
fog/s5,0.20512820512820512,0.08846565335988998,0.2974209785461426,0.22426470588235295,0.6135110294117647,0.4641544117647059
fog/s5,0.21794871794871795,0.08840953558683395,0.25813090801239014,0.21180555555555555,0.6102430555555556,0.4691840277777778
fog/s5,0.23076923076923078,0.08840920031070709,0.2665221691131592,0.20065789473684212,0.6097861842105263,0.4761513157894737
fog/s5,0.24358974358974358,0.08837782591581345,0.29286983609199524,0.190625,0.608984375,0.48203125
fog/s5,0.2564102564102564,0.0883820652961731,0.2545093297958374,0.18154761904761904,0.6078869047619048,0.4869791666666667
fog/s5,0.2692307692307692,0.08837995678186417,0.3164042830467224,0.17329545454545456,0.6107954545454546,0.4953835227272727
fog/s5,0.28205128205128205,0.08838038146495819,0.2840310037136078,0.16576086956521738,0.610733695652174,0.5003396739130435
fog/s5,0.2948717948717949,0.08838184922933578,0.27830344438552856,0.15885416666666666,0.6100260416666666,0.5042317708333334
fog/s5,0.3076923076923077,0.0883810743689537,0.26270341873168945,0.1525,0.6084375,0.506875
fog/s5,0.32051282051282054,0.08838207274675369,0.3668344020843506,0.1466346153846154,0.6090745192307693,0.5114182692307693
