corruption,t_frac,r_l,r_s,large_acc_run,small_acc_run,duo_acc_run
gaussian_noise/s5,0.0,0.29223987460136414,0.04677094891667366,0.328125,0.1640625,0.328125
gaussian_noise/s5,0.01282051282051282,0.47603484988212585,0.045086488127708435,0.3359375,0.16015625,0.3359375
gaussian_noise/s5,0.02564102564102564,0.5146323442459106,0.04093223810195923,0.3359375,0.140625,0.3359375
gaussian_noise/s5,0.038461538461538464,0.5638683438301086,0.05069220811128616,0.330078125,0.146484375,0.330078125
gaussian_noise/s5,0.05128205128205128,0.580963134765625,0.04646315425634384,0.3296875,0.146875,0.3296875
gaussian_noise/s5,0.0641025641025641,0.5858167409896851,0.046373412013053894,0.32421875,0.14453125,0.32421875
gaussian_noise/s5,0.07692307692307693,0.6189596056938171,0.04177279770374298,0.32142857142857145,0.14285714285714285,0.32142857142857145
gaussian_noise/s5,0.08974358974358974,0.6338595747947693,0.04878038167953491,0.3203125,0.1396484375,0.3203125
gaussian_noise/s5,0.10256410256410256,0.6246856451034546,0.04932887852191925,0.3237847222222222,0.1440972222222222,0.3237847222222222
gaussian_noise/s5,0.11538461538461539,0.6411769390106201,0.05216139554977417,0.325,0.14140625,0.325
gaussian_noise/s5,0.1282051282051282,0.6379510164260864,0.05285938084125519,0.32457386363636365,0.13849431818181818,0.32457386363636365
gaussian_noise/s5,0.14102564102564102,0.6404728889465332,0.04919471591711044,0.3248697916666667,0.140625,0.3248697916666667
gaussian_noise/s5,0.15384615384615385,0.6201484203338623,0.05614615976810455,0.3215144230769231,0.13701923076923078,0.3215144230769231
gaussian_noise/s5,0.16666666666666666,0.6341750621795654,0.06401778757572174,0.3197544642857143,0.13895089285714285,0.3197544642857143
gaussian_noise/s5,0.1794871794871795,0.6653239727020264,0.061138443648815155,0.3145833333333333,0.140625,0.3145833333333333
gaussian_noise/s5,0.19230769230769232,0.5829784870147705,0.05058379843831062,0.3095703125,0.13916015625,0.3095703125
gaussian_noise/s5,0.20512820512820512,0.5735992193222046,0.07835975289344788,0.30652573529411764,0.14430147058823528,0.30652573529411764
gaussian_noise/s5,0.21794871794871795,0.46031269431114197,0.05920315533876419,0.2990451388888889,0.14453125,0.2990451388888889
gaussian_noise/s5,0.23076923076923078,0.38907235860824585,0.072072833776474,0.29194078947368424,0.1484375,0.29194078947368424
