corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
frost/s5,2004,0.6190179586410522,0.29190340638160706,0.6190179586410522,0.29190340638160706,0.5267498457642016,-0.9092048316454072,0.8078274726867676,0.19217252731323242,0.453125,0.4296875,0.453125,128
frost/s5,2005,0.617729902267456,0.3194858431816101,0.617729902267456,0.3194858431816101,0.5033368677284814,-0.8326702467646054,0.7918325066566467,0.20816749334335327,0.515625,0.4375,0.53125,128
frost/s5,2006,0.5893474817276001,0.24248036742210388,0.5893474817276001,0.24248036742210388,0.4323027134265125,-0.9858994766953951,0.8050563931465149,0.1949436068534851,0.4296875,0.40625,0.4765625,128
frost/s5,2007,0.6208184957504272,0.2712835967540741,0.6208184957504272,0.2712835967540741,0.4626632408929904,-0.987009677609509,0.8099480867385864,0.19005191326141357,0.5,0.453125,0.53125,128
frost/s5,2008,0.6158565878868103,0.26767587661743164,0.6158565878868103,0.26767587661743164,0.4673307067696356,-0.9967280260514141,0.8121526837348938,0.1878473162651062,0.5078125,0.5078125,0.5234375,128
frost/s5,2009,0.5920779705047607,0.2720361053943634,0.5920779705047607,0.2720361053943634,0.41994649397583295,-0.9905223398945313,0.803839921951294,0.19616007804870605,0.5703125,0.40625,0.5625,128
frost/s5,2010,0.5867591500282288,0.2770148515701294,0.5867591500282288,0.2770148515701294,0.3852651640911935,-0.9749199498624181,0.7957897782325745,0.20421022176742554,0.40625,0.4453125,0.4375,128
frost/s5,2011,0.6331102848052979,0.2520691752433777,0.6331102848052979,0.2520691752433777,0.46542424866148985,-1.0312634442562802,0.8170799016952515,0.18292009830474854,0.5234375,0.4453125,0.5234375,128
frost/s5,2012,0.6243142485618591,0.31303882598876953,0.6243142485618591,0.31303882598876953,0.48666253361998113,-0.9086069960371426,0.8014321327209473,0.19856786727905273,0.5234375,0.5,0.5390625,128
frost/s5,2013,0.6365295648574829,0.3623810410499573,0.6365295648574829,0.3623810410499573,0.5234977199197863,-0.7368258000597379,0.7790817618370056,0.22091823816299438,0.4609375,0.546875,0.5234375,128
frost/s5,2014,0.6422500610351562,0.3019998371601105,0.6422500610351562,0.3019998371601105,0.5543206015574811,-0.7873093289736308,0.7927578687667847,0.20724213123321533,0.5546875,0.4921875,0.5546875,128
frost/s5,2015,0.6610438823699951,0.293306440114975,0.6610438823699951,0.293306440114975,0.6111350872874786,-0.8333442652568013,0.8091473579406738,0.19085264205932617,0.4921875,0.515625,0.5234375,128
frost/s5,2016,0.6079511642456055,0.2707897126674652,0.6079511642456055,0.2707897126674652,0.5249216155130987,-0.9119819320073419,0.8079746961593628,0.1920253038406372,0.515625,0.4453125,0.53125,128
frost/s5,2017,0.6747483015060425,0.3334018886089325,0.6747483015060425,0.3334018886089325,0.6273310053455886,-0.8024103148428707,0.8068610429763794,0.1931389570236206,0.5625,0.515625,0.5859375,128
frost/s5,2018,0.6019636392593384,0.2816069722175598,0.6019636392593384,0.2816069722175598,0.5204923445862308,-0.8694573716542277,0.8005842566490173,0.19941574335098267,0.4921875,0.3828125,0.5078125,128
frost/s5,2019,0.6160749197006226,0.2996971011161804,0.6160749197006226,0.2996971011161804,0.4967067467246802,-0.8590990120692557,0.7950771450996399,0.2049228549003601,0.4609375,0.4375,0.4921875,128
frost/s5,2020,0.6411512494087219,0.2885492146015167,0.6411512494087219,0.2885492146015167,0.5385355710796657,-0.8807697988638141,0.8052294850349426,0.19477051496505737,0.5234375,0.484375,0.53125,128
frost/s5,2021,0.6745326519012451,0.2969650626182556,0.6745326519012451,0.2969650626182556,0.6336467555225533,-0.8712809446970717,0.8183082342147827,0.18169176578521729,0.5234375,0.453125,0.53125,128
frost/s5,2022,0.676639974117279,0.31175434589385986,0.676639974117279,0.31175434589385986,0.6860098786482692,-0.8316056247540243,0.8201870918273926,0.17981290817260742,0.5546875,0.5078125,0.59375,128
frost/s5,2023,0.6360528469085693,0.32135552167892456,0.6360528469085693,0.32135552167892456,0.6221414289390639,-0.7895774823846947,0.8040369153022766,0.1959630846977234,0.4921875,0.4453125,0.5,128
frost/s5,2024,0.6602143049240112,0.31198760867118835,0.6602143049240112,0.31198760867118835,0.6431954027012915,-0.7902104297924375,0.8074314594268799,0.19256854057312012,0.5078125,0.421875,0.515625,128
frost/s5,2025,0.6838685274124146,0.360127329826355,0.6838685274124146,0.360127329826355,0.7074014554550379,-0.6825109853107212,0.8005782961845398,0.1994217038154602,0.5625,0.46875,0.5546875,128
frost/s5,2026,0.6380078792572021,0.33904045820236206,0.6380078792572021,0.33904045820236206,0.6370648214857348,-0.6750420848661405,0.7878655195236206,0.2121344804763794,0.484375,0.46875,0.515625,128
frost/s5,2027,0.6633424162864685,0.3204163908958435,0.6633424162864685,0.3204163908958435,0.6576449008010272,-0.713450492219471,0.7975570559501648,0.2024429440498352,0.578125,0.46875,0.5859375,128
frost/s5,2028,0.648262619972229,0.3969913423061371,0.648262619972229,0.3969913423061371,0.6345279875548204,-0.5657337869442797,0.7685713171958923,0.23142868280410767,0.5,0.5078125,0.5390625,128
frost/s5,2029,0.6127644777297974,0.3343890309333801,0.6127644777297974,0.3343890309333801,0.546737772277587,-0.6270670389217685,0.7638320326805115,0.23616796731948853,0.5234375,0.4765625,0.5390625,128
frost/s5,2030,0.6915802955627441,0.3171071708202362,0.6915802955627441,0.3171071708202362,0.6771277512375762,-0.6970825896262813,0.7980595231056213,0.20194047689437866,0.625,0.4609375,0.640625,128
frost/s5,2031,0.6696932911872864,0.357298344373703,0.6696932911872864,0.357298344373703,0.6919629705017063,-0.6420960433723787,0.7915112376213074,0.20848876237869263,0.5625,0.4609375,0.5703125,128
frost/s5,2032,0.6813907027244568,0.39336028695106506,0.6813907027244568,0.39336028695106506,0.7260666262784099,-0.5376525760786632,0.7796657085418701,0.22033429145812988,0.6328125,0.515625,0.6328125,128
frost/s5,2033,0.7064455151557922,0.37201184034347534,0.7064455151557922,0.37201184034347534,0.8021247228478605,-0.5306241028360368,0.7912949323654175,0.20870506763458252,0.578125,0.5234375,0.578125,128
frost/s5,2034,0.6083871126174927,0.36002469062805176,0.6083871126174927,0.36002469062805176,0.621331140459914,-0.5529405425815012,0.7639162540435791,0.2360837459564209,0.4921875,0.4453125,0.515625,128
