global_idx,corruption,n,model_acc,model_nll,model_ent,model_acc_run,model_nll_run,model_ent_run,frozen_acc,frozen_nll,frozen_ent,frozen_acc_run,frozen_nll_run,frozen_ent_run
0,brightness/s5,64,0.75,1.5540491342544556,3.8087127208709717,0.75,1.5540491342544556,3.8087127208709717,0.75,1.5540491342544556,3.8087127208709717,0.75,1.5540491342544556,3.8087127208709717
1,brightness/s5,64,0.765625,1.6265407800674438,3.7507786750793457,0.7578125,1.5902949571609497,3.7797456979751587,0.765625,1.6303070783615112,3.766265630722046,0.7578125,1.5921781063079834,3.787489175796509
2,brightness/s5,64,0.671875,1.8172606229782104,3.5717616081237793,0.7291666666666666,1.6659501791000366,3.7104176680246987,0.671875,1.8251129388809204,3.6059889793395996,0.7291666666666666,1.6698230504989624,3.7269891103108725
3,brightness/s5,64,0.75,1.4472055435180664,3.8413596153259277,0.734375,1.611264020204544,3.743153154850006,0.75,1.4603049755096436,3.8852672576904297,0.734375,1.6174435317516327,3.7665586471557617
4,brightness/s5,64,0.65625,1.815534234046936,3.8206756114959717,0.71875,1.6521180629730225,3.7586576461791994,0.65625,1.831649899482727,3.882781982421875,0.71875,1.6602848052978516,3.789803314208984
5,brightness/s5,64,0.75,1.521904468536377,3.840075969696045,0.7239583333333334,1.6304157972335815,3.7722273667653403,0.75,1.5438997745513916,3.9129629135131836,0.7239583333333334,1.6408873001734416,3.8103299140930176
6,brightness/s5,64,0.765625,1.4697132110595703,3.4514734745025635,0.7299107142857143,1.6074582849230086,3.726405382156372,0.765625,1.4974671602249146,3.560619354248047,0.7299107142857143,1.6203987087522234,3.7746569769723073
7,brightness/s5,64,0.75,1.327296257019043,3.58131742477417,0.732421875,1.5724380314350128,3.708269387483597,0.75,1.3545187711715698,3.688610553741455,0.732421875,1.5871637165546417,3.763901174068451
8,brightness/s5,64,0.71875,1.5521209239959717,3.8059988021850586,0.7309027777777778,1.5701805750528972,3.719128211339315,0.734375,1.5900684595108032,3.9422779083251953,0.7326388888888888,1.587486465771993,3.7837208112080893
9,brightness/s5,64,0.71875,1.820817470550537,3.7997913360595703,0.7296875,1.5952442646026612,3.7271945238113404,0.71875,1.8557024002075195,3.928074836730957,0.73125,1.6143080592155457,3.798156213760376
10,brightness/s5,64,0.734375,1.3976893424987793,3.353541135787964,0.7301136363636364,1.577284726229581,3.693226033991033,0.75,1.442906379699707,3.5356831550598145,0.7329545454545454,1.5987260883504695,3.7742950266057793
11,brightness/s5,64,0.734375,1.486546516418457,3.678405523300171,0.73046875,1.5697232087453206,3.6919909914334617,0.71875,1.5402089357376099,3.847548484802246,0.7317708333333334,1.5938496589660645,3.780399481455485
12,brightness/s5,64,0.65625,1.983819842338562,4.350366592407227,0.7247596153846154,1.6015767959448008,3.7426352684314432,0.671875,2.04362416267395,4.532989501953125,0.7271634615384616,1.6284476977128248,3.838291021493765
13,brightness/s5,64,0.703125,1.6262528896331787,3.986020088195801,0.7232142857142857,1.6033393740653992,3.760019898414612,0.703125,1.681538701057434,4.162418365478516,0.7254464285714286,1.6322399122374398,3.861442974635533
