corruption,n_refreshes,r,a,x,acc,n
brightness/s5,1,0.4501270353794098,0.7252791352543843,0.48540052501051867,0.7578125,128
brightness/s5,2,0.453977108001709,0.7314916247622608,0.7438020949243542,0.7109375,128
brightness/s5,3,0.439501017332077,0.7081329585180763,0.815067802161944,0.703125,128
brightness/s5,4,0.4738575220108032,0.7635707244468753,0.9937122187486694,0.7578125,128
brightness/s5,5,0.45591676235198975,0.7346214572309353,1.0059551455664024,0.71875,128
brightness/s5,6,0.4742710590362549,0.7642380091149248,1.091005816768712,0.734375,128
brightness/s5,7,0.3918360471725464,0.6312206100874903,0.8142313160307388,0.6796875,128
brightness/s5,8,0.46291303634643555,0.7459106673442677,0.9455756258206642,0.734375,128
brightness/s5,9,0.5317765474319458,0.8570290492720336,1.3682029862247016,0.71875,128
brightness/s5,10,0.4496907889842987,0.724575206674757,1.1677369693456099,0.703125,128
brightness/s5,11,0.4768770635128021,0.7684430662804078,1.1836388340405073,0.734375,128
brightness/s5,12,0.5324305891990662,0.8580844131611235,1.491554445183708,0.6953125,128
brightness/s5,13,0.4903056025505066,0.7901113998579783,1.408575739365266,0.7578125,128
brightness/s5,14,0.48222634196281433,0.777074679111016,1.328637682879175,0.6953125,128
brightness/s5,15,0.4680679440498352,0.7542286429159384,1.2249657919379222,0.7109375,128
brightness/s5,16,0.5388433933258057,0.8684321344281696,1.5560662134732473,0.7109375,128
brightness/s5,17,0.49594825506210327,0.7992164020134841,1.4687351312448333,0.6796875,128
brightness/s5,18,0.44931450486183167,0.7239680334102145,1.216482844959782,0.7421875,128
brightness/s5,19,0.5563334226608276,0.896654101750799,1.6885357092465738,0.6796875,128
brightness/s5,20,0.499311625957489,0.8046435480568237,1.552054621296509,0.6875,128
brightness/s5,21,0.5854204893112183,0.9435890856089857,2.1845413723269993,0.671875,128
brightness/s5,22,0.4891592860221863,0.7882616998383868,1.749510217255919,0.6875,128
brightness/s5,23,0.548498272895813,0.8840112790087368,1.8902435426634074,0.71875,128
brightness/s5,24,0.5081678628921509,0.8189340003244486,1.6996927168461247,0.6953125,128
brightness/s5,25,0.53704434633255,0.8655291864408916,1.7808433185089538,0.6640625,128
brightness/s5,26,0.5630130171775818,0.9074323168452,2.0317611065734558,0.7421875,128
brightness/s5,27,0.538976788520813,0.868647381341847,1.9604064609273846,0.7265625,128
brightness/s5,28,0.5471576452255249,0.8818480379084533,1.985227299595063,0.734375,128
brightness/s5,29,0.5766003131866455,0.9293568211799554,2.281039250393767,0.6953125,128
brightness/s5,30,0.520717978477478,0.8391849070073264,1.966607554051151,0.71875,128
brightness/s5,31,0.5516074299812317,0.8890282248345454,2.0237303234208754,0.6328125,128
brightness/s5,32,0.569632887840271,0.9181141613374988,2.2203629996301624,0.7578125,128
brightness/s5,33,0.6378568410873413,0.999,4.563558889139358,0.796875,128
brightness/s5,34,0.5670905113220215,0.9140117744492056,3.463595984079983,0.7421875,128
brightness/s5,35,0.5431883931159973,0.8754432399984774,2.7067823932693433,0.6640625,128
brightness/s5,36,0.5938264727592468,0.9571530074092649,2.906555098146174,0.765625,128
brightness/s5,37,0.5976015329360962,0.96324445659504,3.086286635751827,0.7109375,128
brightness/s5,38,0.5984800457954407,0.9646620277571011,3.1965531793613877,0.734375,128
brightness/s5,39,0.5940183401107788,0.9574626051818868,3.1552281389376917,0.765625,128
brightness/s5,40,0.5835943222045898,0.9406423765199547,2.9591052988684234,0.734375,128
brightness/s5,41,0.590585470199585,0.9519233153041646,2.972396222664168,0.6796875,128
brightness/s5,42,0.6114149689674377,0.9855338611936437,3.5968845221695163,0.703125,128
brightness/s5,43,0.6446149349212646,0.999,5.251819650409034,0.7421875,128
brightness/s5,44,0.5532046556472778,0.8916055132821844,3.679533104154406,0.703125,128
brightness/s5,45,0.6296997666358948,0.999,5.29314394140148,0.734375,128
brightness/s5,46,0.6132614612579346,0.988513367064428,4.874081050305374,0.6953125,128
brightness/s5,47,0.6152713298797607,0.9917564975064322,4.832066673863558,0.5859375,128
brightness/s5,48,0.6290977597236633,0.999,5.8694107262560555,0.71875,128
brightness/s5,49,0.5513995885848999,0.8886928512920996,3.973434458781002,0.6796875,128
brightness/s5,50,0.5426063537597656,0.8745040594300856,2.9574089916189457,0.671875,128
brightness/s5,51,0.6082125902175903,0.9803664925916995,3.4340488985792668,0.6953125,128
brightness/s5,52,0.6001143455505371,0.9672991390735102,3.410577644076521,0.671875,128
brightness/s5,53,0.6023141145706177,0.9708486934060311,3.4581242698893124,0.6796875,128
brightness/s5,54,0.5397974252700806,0.8699715634274199,2.6794158129436463,0.6484375,128
brightness/s5,55,0.6371093988418579,0.999,4.7930852957961,0.703125,128
brightness/s5,56,0.575793445110321,0.9280548562691189,3.6751361015962436,0.6640625,128
brightness/s5,57,0.6517949104309082,0.999,5.290945440122398,0.75,128
brightness/s5,58,0.6561182141304016,0.999,6.0988501093854754,0.7265625,128
brightness/s5,59,0.6210933923721313,0.999,6.502802444017014,0.6328125,128
brightness/s5,60,0.6272516250610352,0.999,6.704778611332784,0.75,128
brightness/s5,61,0.6056264638900757,0.9761935108711277,5.209240625720079,0.6796875,128
brightness/s5,62,0.6257059574127197,0.999,6.057997702184316,0.6796875,128
brightness/s5,63,0.6007987260818481,0.9684034576896161,4.74029940185565,0.6640625,128
brightness/s5,64,0.6306367516517639,0.999,5.823527090252101,0.6953125,128
brightness/s5,65,0.6510633230209351,0.999,6.365140934450327,0.6953125,128
brightness/s5,66,0.6436591148376465,0.999,6.63594785654944,0.7734375,128
brightness/s5,67,0.6338425874710083,0.999,6.771351317598997,0.7265625,128
brightness/s5,68,0.6473113894462585,0.999,6.839053048123775,0.671875,128
brightness/s5,69,0.6698624491691589,0.999,6.872903913386164,0.765625,128
brightness/s5,70,0.6831761598587036,0.999,6.8898293460173585,0.7109375,128
brightness/s5,71,0.6613736152648926,0.999,6.898292062332956,0.6875,128
brightness/s5,72,0.6146044731140137,0.990680455294536,5.782285160890325,0.6875,128
brightness/s5,73,0.6514126658439636,0.999,6.344519969769439,0.734375,128
brightness/s5,74,0.7128527164459229,0.999,6.625637374208996,0.734375,128
brightness/s5,75,0.6666041612625122,0.999,6.766196076428774,0.65625,128
brightness/s5,76,0.6713758111000061,0.999,6.836475427538664,0.7421875,128
brightness/s5,77,0.6498040556907654,0.999,6.871615103093609,0.7265625,128
brightness/s5,78,0.6834877729415894,0.999,6.889184940871081,0.6953125,128
brightness/s5,79,0.6762542724609375,0.999,6.897969859759817,0.6953125,128
brightness/s5,80,0.693331241607666,0.999,6.902362319204185,0.7265625,128
brightness/s5,81,0.7050613164901733,0.999,6.904558548926369,0.71875,128
brightness/s5,82,0.7417107820510864,0.999,6.905656663787461,0.7734375,128
brightness/s5,83,0.6096983551979065,0.9827639277200458,5.474510593444404,0.6953125,128
brightness/s5,84,0.7300877571105957,0.999,6.190632686046479,0.7578125,128
brightness/s5,85,0.7149457931518555,0.999,6.548693732347516,0.671875,128
brightness/s5,86,0.6645474433898926,0.999,6.7277242554980345,0.6640625,128
brightness/s5,87,0.683533787727356,0.999,6.817239517073293,0.7265625,128
brightness/s5,88,0.6478592157363892,0.999,6.861997147860923,0.625,128
brightness/s5,89,0.6386221647262573,0.999,6.8843759632547386,0.7734375,128
brightness/s5,90,0.6751368641853333,0.999,6.895565370951646,0.6875,128
brightness/s5,91,0.700369119644165,0.999,6.901160074800099,0.765625,128
brightness/s5,92,0.6847595572471619,0.999,6.903957426724326,0.7109375,128
brightness/s5,93,0.6699543595314026,0.999,6.90535610268644,0.671875,128
brightness/s5,94,0.7027599811553955,0.999,6.9060554406674965,0.734375,128
brightness/s5,95,0.7145088315010071,0.999,6.906405109658024,0.671875,128
brightness/s5,96,0.6794841885566711,0.999,6.906579944153289,0.65625,128
brightness/s5,97,0.7318117022514343,0.999,6.90666736140092,0.6875,128
brightness/s5,98,0.6765822172164917,0.999,6.906711070024737,0.7578125,128
brightness/s5,99,0.7034813761711121,0.999,6.906732924336644,0.7421875,128
brightness/s5,100,0.6922658085823059,0.999,6.906743851492599,0.6875,128
brightness/s5,101,0.68819659948349,0.999,6.906749315070575,0.7265625,128
brightness/s5,102,0.7075906991958618,0.999,6.906752046859564,0.7421875,128
brightness/s5,103,0.6901689171791077,0.999,6.906753412754059,0.734375,128
brightness/s5,104,0.6829618215560913,0.999,6.906754095701306,0.6875,128
brightness/s5,105,0.6864266991615295,0.999,6.906754437174929,0.6484375,128
brightness/s5,106,0.676649272441864,0.999,6.906754607911742,0.7421875,128
brightness/s5,107,0.6997434496879578,0.999,6.906754693280147,0.703125,128
brightness/s5,108,0.7134422659873962,0.999,6.90675473596435,0.7109375,128
brightness/s5,109,0.7101959586143494,0.999,6.906754757306452,0.75,128
brightness/s5,110,0.7244796752929688,0.999,6.906754767977502,0.6796875,128
brightness/s5,111,0.7105211019515991,0.999,6.906754773313027,0.6953125,128
brightness/s5,112,0.732023298740387,0.999,6.90675477598079,0.75,128
brightness/s5,113,0.6802659034729004,0.999,6.906754777314672,0.75,128
brightness/s5,114,0.6793307065963745,0.999,6.906754777981613,0.7265625,128
brightness/s5,115,0.6880754232406616,0.999,6.906754778315083,0.6328125,128
brightness/s5,116,0.7329174280166626,0.999,6.906754778481818,0.71875,128
brightness/s5,117,0.7185574769973755,0.999,6.906754778565185,0.75,128
brightness/s5,118,0.7074661254882812,0.999,6.906754778606869,0.7421875,128
brightness/s5,119,0.7374414205551147,0.999,6.906754778627711,0.6953125,128
brightness/s5,120,0.7434164881706238,0.999,6.906754778638132,0.7734375,128
brightness/s5,121,0.7369809150695801,0.999,6.906754778643343,0.7578125,128
brightness/s5,122,0.728725790977478,0.999,6.906754778645948,0.7578125,128
brightness/s5,123,0.7780951857566833,0.999,6.906754778647251,0.765625,128
brightness/s5,124,0.724989652633667,0.999,6.906754778647902,0.765625,128
brightness/s5,125,0.7274173498153687,0.999,6.906754778648228,0.7421875,128
brightness/s5,126,0.7165285348892212,0.999,6.9067547786483905,0.6953125,128
brightness/s5,127,0.7599431276321411,0.999,6.906754778648471,0.6953125,128
brightness/s5,128,0.7104460000991821,0.999,6.906754778648512,0.7265625,128
brightness/s5,129,0.7180235385894775,0.999,6.906754778648533,0.7421875,128
brightness/s5,130,0.7563501596450806,0.999,6.906754778648542,0.71875,128
brightness/s5,131,0.7290043830871582,0.999,6.906754778648548,0.7265625,128
brightness/s5,132,0.7207967042922974,0.999,6.90675477864855,0.75,128
brightness/s5,133,0.7367993593215942,0.999,6.906754778648551,0.734375,128
brightness/s5,134,0.6930233836174011,0.999,6.906754778648552,0.734375,128
brightness/s5,135,0.736467719078064,0.999,6.906754778648553,0.734375,128
brightness/s5,136,0.7327761054039001,0.999,6.906754778648553,0.734375,128
brightness/s5,137,0.7235848903656006,0.999,6.906754778648553,0.7578125,128
brightness/s5,138,0.7280224561691284,0.999,6.906754778648553,0.703125,128
brightness/s5,139,0.7358453273773193,0.999,6.906754778648553,0.6796875,128
brightness/s5,140,0.6923244595527649,0.999,6.906754778648553,0.703125,128
brightness/s5,141,0.7449674606323242,0.999,6.906754778648553,0.7265625,128
brightness/s5,142,0.7081068754196167,0.999,6.906754778648553,0.671875,128
brightness/s5,143,0.7280875444412231,0.999,6.906754778648553,0.6953125,128
brightness/s5,144,0.7502759099006653,0.999,6.906754778648553,0.6796875,128
brightness/s5,145,0.7186493873596191,0.999,6.906754778648553,0.7109375,128
brightness/s5,146,0.7453970909118652,0.999,6.906754778648553,0.75,128
brightness/s5,147,0.7581249475479126,0.999,6.906754778648553,0.7890625,128
brightness/s5,148,0.7193870544433594,0.999,6.906754778648553,0.640625,128
brightness/s5,149,0.7487107515335083,0.999,6.906754778648553,0.78125,128
brightness/s5,150,0.7258313894271851,0.999,6.906754778648553,0.75,128
brightness/s5,151,0.7447676658630371,0.999,6.906754778648553,0.7109375,128
brightness/s5,152,0.7717856168746948,0.999,6.906754778648553,0.71875,128
brightness/s5,153,0.7653781175613403,0.999,6.906754778648553,0.7265625,128
brightness/s5,154,0.7563738226890564,0.999,6.906754778648553,0.7265625,128
brightness/s5,155,0.7398990988731384,0.999,6.906754778648553,0.7109375,128
brightness/s5,156,0.7755550146102905,0.999,6.906754778648553,0.6953125,128
brightness/s5,157,0.7584400177001953,0.999,6.906754778648553,0.6796875,128
brightness/s5,158,0.7300039529800415,0.999,6.906754778648553,0.6328125,128
brightness/s5,159,0.8092947006225586,0.999,6.906754778648553,0.8125,128
brightness/s5,160,0.7482130527496338,0.999,6.906754778648553,0.6796875,128
brightness/s5,161,0.7460647225379944,0.999,6.906754778648553,0.75,128
brightness/s5,162,0.7008786797523499,0.999,6.906754778648553,0.7109375,128
brightness/s5,163,0.7000181674957275,0.999,6.906754778648553,0.6953125,128
brightness/s5,164,0.7713310718536377,0.999,6.906754778648553,0.7265625,128
brightness/s5,165,0.783837080001831,0.999,6.906754778648553,0.8046875,128
brightness/s5,166,0.7676523923873901,0.999,6.906754778648553,0.7109375,128
brightness/s5,167,0.7473556995391846,0.999,6.906754778648553,0.6796875,128
brightness/s5,168,0.7826780080795288,0.999,6.906754778648553,0.7578125,128
brightness/s5,169,0.7442114353179932,0.999,6.906754778648553,0.671875,128
brightness/s5,170,0.7651501893997192,0.999,6.906754778648553,0.703125,128
brightness/s5,171,0.7605838179588318,0.999,6.906754778648553,0.7421875,128
brightness/s5,172,0.7433863878250122,0.999,6.906754778648553,0.75,128
brightness/s5,173,0.7781186699867249,0.999,6.906754778648553,0.7734375,128
brightness/s5,174,0.7426917552947998,0.999,6.906754778648553,0.625,128
brightness/s5,175,0.7553184628486633,0.999,6.906754778648553,0.671875,128
brightness/s5,176,0.7089352607727051,0.999,6.906754778648553,0.6484375,128
brightness/s5,177,0.77680903673172,0.999,6.906754778648553,0.7734375,128
brightness/s5,178,0.7528501749038696,0.999,6.906754778648553,0.71875,128
brightness/s5,179,0.7728329300880432,0.999,6.906754778648553,0.6953125,128
brightness/s5,180,0.7070016860961914,0.999,6.906754778648553,0.65625,128
brightness/s5,181,0.7429124712944031,0.999,6.906754778648553,0.625,128
brightness/s5,182,0.7504808902740479,0.999,6.906754778648553,0.6796875,128
brightness/s5,183,0.7398362159729004,0.999,6.906754778648553,0.6953125,128
brightness/s5,184,0.7538250684738159,0.999,6.906754778648553,0.71875,128
brightness/s5,185,0.7886879444122314,0.999,6.906754778648553,0.71875,128
brightness/s5,186,0.7446880340576172,0.999,6.906754778648553,0.734375,128
brightness/s5,187,0.7661635279655457,0.999,6.906754778648553,0.7421875,128
brightness/s5,188,0.7553194165229797,0.999,6.906754778648553,0.7421875,128
brightness/s5,189,0.7836357355117798,0.999,6.906754778648553,0.796875,128
brightness/s5,190,0.7708057165145874,0.999,6.906754778648553,0.734375,128
brightness/s5,191,0.7375433444976807,0.999,6.906754778648553,0.703125,128
brightness/s5,192,0.7805142402648926,0.999,6.906754778648553,0.7421875,128
brightness/s5,193,0.7525299787521362,0.999,6.906754778648553,0.7109375,128
brightness/s5,194,0.7812746167182922,0.999,6.906754778648553,0.7578125,128
brightness/s5,195,0.7414827942848206,0.999,6.906754778648553,0.7421875,128
brightness/s5,196,0.6420908570289612,0.999,6.906754778648553,0.574999988079071,40
contrast/s5,197,0.08961738646030426,0.14355961172479,-0.8930171772371825,0.265625,128
contrast/s5,198,0.07678946852684021,0.12286044228368057,-1.429317096062877,0.1875,128
contrast/s5,199,0.07620233297348022,0.12191303847528903,-1.701877369311,0.1875,128
contrast/s5,200,0.07718059420585632,0.1234915639313802,-1.8308254264303725,0.2109375,128
contrast/s5,201,0.07712563872337341,0.12340288758892681,-1.8957092044497807,0.2578125,128
contrast/s5,202,0.07287946343421936,0.11655124554984206,-1.960605719694118,0.15625,128
contrast/s5,203,0.08823847025632858,0.14133458812398214,-1.882427506082256,0.1875,128
contrast/s5,204,0.08584176003932953,0.1374672488456816,-1.8594574640490324,0.21875,128
contrast/s5,205,0.07485970854759216,0.11974657540377759,-1.9271448372783335,0.1875,128
contrast/s5,206,0.08160040527582169,0.13062338522221062,-1.911301498323822,0.234375,128
contrast/s5,207,0.08405452221632004,0.1345833561733153,-1.8861644014382786,0.25,128
contrast/s5,208,0.09601400792598724,0.15388122059815262,-1.7953215711889197,0.25,128
contrast/s5,209,0.08380737900733948,0.13418456510016982,-1.8298885647993939,0.265625,128
contrast/s5,210,0.08917254209518433,0.14284180943323344,-1.8108866312950362,0.234375,128
contrast/s5,211,0.09481785446405411,0.1519511035429496,-1.7651330722322691,0.2265625,128
contrast/s5,212,0.0968092679977417,0.1551644547956565,-1.7298947532243731,0.1953125,128
contrast/s5,213,0.10159675031900406,0.1628895515945386,-1.6833891994638241,0.21875,128
contrast/s5,214,0.08411180973052979,0.13467579548962821,-1.7718115318959842,0.234375,128
contrast/s5,215,0.09090416133403778,0.14563595578016392,-1.7705294309125423,0.1953125,128
contrast/s5,216,0.08887695521116257,0.1423648494909676,-1.7831575412059304,0.21875,128
contrast/s5,217,0.10406209528446198,0.16686764012266028,-1.6955745710565897,0.25,128
contrast/s5,218,0.0860176533460617,0.13775107084847976,-1.764835179545933,0.1953125,128
contrast/s5,219,0.10064765810966492,0.16135809336739335,-1.706496453805379,0.21875,128
contrast/s5,220,0.09261120855808258,0.14839045264534123,-1.7268888022254538,0.1953125,128
contrast/s5,221,0.10247395932674408,0.16430501885747695,-1.6767139610769966,0.2109375,128
contrast/s5,222,0.0773114264011383,0.12370267518049642,-1.8172692503989603,0.125,128
contrast/s5,223,0.09511831402778625,0.15243592605679415,-1.766445669758212,0.203125,128
contrast/s5,224,0.09760598838329315,0.15645004536017784,-1.725664016494183,0.1796875,128
contrast/s5,225,0.1046561449766159,0.1678262006075427,-1.663388202638016,0.171875,128
contrast/s5,226,0.11088342219591141,0.17787455506284364,-1.5971013202299122,0.21875,128
contrast/s5,227,0.11558140069246292,0.18545522820366006,-1.5384586098401352,0.21875,128
contrast/s5,228,0.08890903741121292,0.14241661743166772,-1.666910167841479,0.203125,128
contrast/s5,229,0.11150646954774857,0.17887990626421582,-1.595432439016499,0.234375,128
contrast/s5,230,0.1058698445558548,0.16978463013379747,-1.5912934178012943,0.2265625,128
contrast/s5,231,0.11652427911758423,0.18697665984870038,-1.5305347200944008,0.2265625,128
contrast/s5,232,0.09429237246513367,0.15110318410736198,-1.628254710531856,0.1640625,128
contrast/s5,233,0.10597723722457886,0.16995791928782714,-1.6070901184413948,0.2265625,128
contrast/s5,234,0.118504598736763,0.19017210992544292,-1.5279911791473706,0.3046875,128
contrast/s5,235,0.11932054162025452,0.19148871797417383,-1.484178459711567,0.15625,128
contrast/s5,236,0.11869773268699646,0.1904837514857841,-1.4655242040105352,0.203125,128
contrast/s5,237,0.14981034398078918,0.24068716066457074,-1.307220033904239,0.234375,128
contrast/s5,238,0.11799182742834091,0.18934470050073188,-1.3807469000588999,0.2578125,128
contrast/s5,239,0.13440486788749695,0.21582883512569614,-1.335444277776113,0.296875,128
contrast/s5,240,0.11016368120908737,0.17671317870252895,-1.437110482940616,0.1875,128
contrast/s5,241,0.11914172023534775,0.19120017121506003,-1.4396705214317338,0.1796875,128
contrast/s5,242,0.125727117061615,0.2018263886145535,-1.4072943938994005,0.21875,128
contrast/s5,243,0.12592613697052002,0.20214752777664874,-1.3901101679968868,0.2109375,128
contrast/s5,244,0.11567772924900055,0.1856106642708482,-1.4344487210074932,0.1953125,128
contrast/s5,245,0.11931873857975006,0.1914858085822441,-1.437416626695022,0.1953125,128
contrast/s5,246,0.12555645406246185,0.2015510062528077,-1.4070226163005122,0.1953125,128
contrast/s5,247,0.1373821347951889,0.22063296253852893,-1.334502099125522,0.2421875,128
contrast/s5,248,0.14111769199371338,0.22666066959202533,-1.2808829892279034,0.2421875,128
contrast/s5,249,0.13076213002204895,0.20995090164517755,-1.3030521904410097,0.1953125,128
contrast/s5,250,0.12113507837057114,0.19441666028302998,-1.3623076308216246,0.1875,128
contrast/s5,251,0.1287100911140442,0.2066397250944035,-1.3538041248903878,0.2421875,128
contrast/s5,252,0.12625567615032196,0.20267927325207077,-1.3617181726615182,0.1953125,128
contrast/s5,253,0.1504792422056198,0.24176649698137923,-1.252368595248056,0.2734375,128
contrast/s5,254,0.14183586835861206,0.22781952127339272,-1.2365165782759082,0.2421875,128
contrast/s5,255,0.13939103484153748,0.22387453008404196,-1.239872506028401,0.2265625,128
