corruption,batch_idx,n,T_l_opt,T_s_opt,log_T_ratio_opt,opt_nll,T_l_base,T_s_base,base_nll,r_l,r_s,gap_r,acc_l,acc_s
brightness/s5,0,128,0.8752641081809998,0.5852071642875671,0.40255976720386755,1.0237491130828857,0.5936581492424011,0.6630322933197021,1.072776436805725,0.6515827178955078,0.4387477934360504,0.2128349244594574,0.71875,0.7109375
brightness/s5,1,128,0.7865866422653198,0.5995973348617554,0.27144455688494723,1.0125325918197632,0.5936581492424011,0.6630322933197021,1.0472397804260254,0.6665857434272766,0.37661612033843994,0.28996962308883667,0.6640625,0.6953125
brightness/s5,2,128,0.8613285422325134,0.4697340130805969,0.6063094089056155,1.0634015798568726,0.5936581492424011,0.6630322933197021,1.117087960243225,0.6159745454788208,0.33743730187416077,0.27853724360466003,0.6640625,0.6640625
brightness/s5,3,128,1.050748348236084,0.5101153254508972,0.7226210734080402,0.9856863617897034,0.5936581492424011,0.6630322933197021,1.067394495010376,0.6611579656600952,0.3976678252220154,0.26349014043807983,0.71875,0.734375
brightness/s5,4,128,0.8495934009552002,0.5408408045768738,0.45163290908770837,0.8921624422073364,0.5936581492424011,0.6630322933197021,0.9310206174850464,0.6548242568969727,0.4153064489364624,0.23951780796051025,0.71875,0.734375
brightness/s5,5,128,1.2220382690429688,0.4598662257194519,0.9773398224350044,1.091949224472046,0.5936581492424011,0.6630322933197021,1.2177386283874512,0.6329060196876526,0.41965043544769287,0.21325558423995972,0.640625,0.71875
brightness/s5,6,128,0.8523595333099365,0.6085061430931091,0.33700141742463907,0.9356098175048828,0.5936581492424011,0.6630322933197021,0.9830914735794067,0.6765363216400146,0.43085867166519165,0.245677649974823,0.7578125,0.7578125
brightness/s5,7,128,0.8807798624038696,0.5123242735862732,0.541849950891325,0.9889810085296631,0.5936581492424011,0.6630322933197021,1.034040927886963,0.638786256313324,0.366127073764801,0.27265918254852295,0.640625,0.703125
brightness/s5,8,128,0.8834266662597656,0.5134142637252808,0.5427252337265001,1.030377984046936,0.5936581492424011,0.6630322933197021,1.0766515731811523,0.6306314468383789,0.3668195605278015,0.2638118863105774,0.6640625,0.71875
brightness/s5,9,128,0.7967789769172668,0.5722335577011108,0.3310300958312217,0.9805989861488342,0.5936581492424011,0.6630322933197021,1.0080715417861938,0.6401810646057129,0.39368611574172974,0.24649494886398315,0.671875,0.71875
