proxy_kind,calib_method,proxy_batch_size,corruption,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,beta,128,brightness_s5,157,0.4533333333333333,68,150,0.49574885546108566,0.4460431654676259,0.5454545454545454,139,11,-0.0059030466130630885,0.05589321958229443,0.1405638159689943,0.14297624095324277,0.2209320489409156,0.47003409338144353,0.42402821265919116,0.3466679318423965,0.5887851321512768,0.5535051167793918
ac_mc,beta,128,clean,157,0.16,24,150,0.5263157894736842,0.05263157894736842,1.0,133,17,-0.019651105334832646,0.04351264327257677,0.12295316986992515,0.1113786459373103,0.13144333728068755,0.3625511512610152,0.31002704678754434,0.35332471044676367,0.5944112300812996,0.562764850327442
ac_mc,beta,128,contrast_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.17502934807934176,0.23594563207673888,0.37560833016431816,0.3341098095267429,0.19458613036562106,0.44111917932189376,0.3976586617584011,0.13542605868112387,0.368002797110462,0.3434785040575681
ac_mc,beta,128,defocus_blur_s5,157,0.918918918918919,136,148,0.5,1.0,0.0,136,12,0.07237471691454621,0.061903531838414294,0.11829162043992807,0.12689884815022212,0.2856423873756636,0.5344552248557999,0.539786249709979,0.15582993912860948,0.39475301028441756,0.37941593866337403
ac_mc,beta,128,elastic_transform_s5,157,0.38461538461538464,55,143,0.5217391304347826,1.0,0.043478260869565216,51,92,0.04388932413625121,0.12241037451052371,0.17627289958932701,0.145712695398063,0.15899903998052203,0.39874683695362656,0.3774997312592627,0.15411684926625302,0.39257718892754456,0.4153561973559363
ac_mc,beta,128,fog_s5,157,1.0,157,157,nan,1.0,nan,157,0,0.07031846166410852,0.16459041492304935,0.2991785691278334,0.30456681374850664,0.25390673839843153,0.503891593895385,0.48514339468991036,0.18851417203132836,0.4341821876025413,0.40016297375995585
ac_mc,beta,128,frost_s5,157,0.9936305732484076,156,157,nan,0.9936305732484076,nan,157,0,0.04790421150782915,0.059741087641075205,0.09449941196987549,0.10309076077072493,0.18032245264000882,0.42464391275515634,0.39254902520836543,0.28961451033712177,0.5381584435248803,0.5147386899091035
ac_mc,beta,128,gaussian_noise_s5,157,0.8819444444444444,127,144,0.49609375,0.9921875,0.0,128,16,0.04231180888762444,0.1247157366572133,0.1931077295318489,0.18434604824118184,0.19437864273322442,0.44088393340336685,0.45084556777117124,0.13897219407810968,0.37278974513539087,0.39762820103426794
ac_mc,beta,128,glass_blur_s5,157,0.8028169014084507,114,142,0.5,1.0,0.0,114,28,0.08822318787755275,0.20861487399103945,0.24226658915919735,0.2400014391681323,0.08520935800506269,0.2919064199449246,0.2780674689351414,0.024075935448497815,0.15516422090320248,0.10731836513610661
ac_mc,beta,128,impulse_noise_s5,157,0.7058823529411765,96,136,0.5260590500641849,0.9789473684210527,0.07317073170731707,95,41,0.028769893460393946,0.07097964342167713,0.10211149963230416,0.10463454037917362,0.17793206024961744,0.4218199381840757,0.36180569899498377,0.15517695052116764,0.3939250569856754,0.3734651816617014
ac_mc,beta,128,jpeg_compression_s5,157,0.9096774193548387,141,155,0.5314192849404117,0.9859154929577465,0.07692307692307693,142,13,0.03043440146934488,0.06673598681190124,0.13424789515600502,0.07085597690893819,0.21692294546680552,0.4657498743604828,0.4558141758480226,0.3646186009817607,0.6038365681057754,0.5760572167531469
ac_mc,beta,128,motion_blur_s5,157,0.7986111111111112,115,144,0.5,1.0,0.0,115,29,0.11438478365601167,0.10049319795010095,0.13405520993192904,0.1318627803867905,0.1620581230823317,0.4025644334542381,0.3855613216065399,0.09430210458748431,0.307086477376462,0.28822346376404206
ac_mc,beta,128,pixelate_s5,157,0.410958904109589,60,146,0.5226648351648352,0.7857142857142857,0.25961538461538464,42,104,0.022634709528115946,0.1714253275772933,0.3352341164572676,0.34013376376703275,0.2774462231185306,0.5267316424124628,0.5297977693983048,0.31684512789171354,0.5628899784964319,0.5878798966216127
ac_mc,beta,128,shot_noise_s5,157,0.773972602739726,113,146,0.49130434782608695,0.9826086956521739,0.0,115,31,0.03941564041941324,0.11377660825711663,0.16689741215046994,0.15424514459016564,0.1439755745501703,0.3794411344993717,0.33086252686370526,0.24015873585997616,0.49005993088598476,0.4346674549342789
ac_mc,beta,128,snow_s5,157,0.8741721854304636,132,151,0.4583333333333333,0.9166666666666666,0.0,144,7,0.03264275161752952,-0.02017426503924135,-0.03328391908794277,-0.05014693490626388,0.11312461259204012,0.3363400252602121,0.3005795742983098,0.16606907640427063,0.4075157376154578,0.41334148276046695
ac_mc,beta,128,zoom_blur_s5,157,0.9806451612903225,152,155,0.5,1.0,0.0,152,3,0.05490297660816863,0.10897018100757952,0.2058904204594389,0.19235555263730464,0.13388050666272897,0.3658968524908748,0.36085465667208727,0.28312915608703254,0.5320988217305433,0.4900525218372804
ac_mc,beta,512,brightness_s5,40,0.3333333333333333,13,39,nan,0.3333333333333333,nan,39,0,-0.0037270523515185662,0.008667054719771049,0.027643480786464752,0.0358719319934933,0.3255411397857576,0.5705621261403158,0.37387326522064834,0.5077798731393477,0.7125867477994154,0.641472486535758
ac_mc,beta,512,clean,40,0.02564102564102564,1,39,0.5,0.0,1.0,38,1,-0.019321055703507097,0.033553043273009966,0.12894057526374156,0.0949787281555482,0.10662447662651693,0.3265340359388542,0.3241690457421743,0.3342144050386278,0.5781127961208157,0.6048028685606007
ac_mc,beta,512,contrast_s5,40,1.0,40,40,nan,1.0,nan,40,0,0.2031579370188378,0.1381023384869646,0.24773158264188316,0.178726059076825,0.22250973302031987,0.4717093734709115,0.38369448026114444,0.5336601506438752,0.7305204655886618,0.5844172084531807
ac_mc,beta,512,defocus_blur_s5,40,0.975,39,40,0.5,1.0,0.0,39,1,0.07537398676918595,0.008067618026237006,0.02275476597001807,0.1351760739870954,0.4774100875827755,0.6909486866495771,0.6000284619867315,0.18181845030177074,0.42640174753601884,0.4092883352849885
