beta,pool,filter_kind,proxy_batch_size,duo_acc,duo_nll,duo_ece,duo_entropy,mean_w_l,large_acc,small_acc
0.5,log,none,128,0.4206366666666667,3.0172966390482587,0.08744308808346588,2.7897425003687535,0.54055768216451,0.343243333697319,0.3001333276430766
0.5,log,ema,128,0.42014000000000007,3.015602281239827,0.08749901139040789,2.7913056307220456,0.5404635982227325,0.343243333697319,0.3001333276430766
0.5,log,running_mean,512,0.41992,3.0145365751266477,0.0867105886122398,2.7987094020207723,0.5394429337596893,0.343243333697319,0.3001333276430766
0.5,log,kalman,1024,0.41991,3.0130632937367756,0.08521082753938933,2.810861619256337,0.5373896199003856,0.343243333697319,0.3001333276430766
0.5,log,running_mean,2048,0.41990000000000005,3.0135025101089483,0.08391076169953991,2.8205687041282648,0.535847642542521,0.343243333697319,0.3001333276430766
0.5,log,running_mean,1024,0.41989,3.0138330445480346,0.08570843558130166,2.807019050045014,0.5380532049910227,0.343243333697319,0.3001333276430766
0.5,log,kalman,512,0.4198699999999999,3.0140853092829385,0.08642865085074676,2.8014259810002646,0.5389422887102762,0.343243333697319,0.3001333276430766
0.5,log,none,512,0.41985999999999996,3.015322758890788,0.08657194752053046,2.8010534136835736,0.5389793178272247,0.343243333697319,0.3001333276430766
0.5,log,kalman,2048,0.41985999999999996,3.012162689590454,0.0831849363363534,2.8266866753832494,0.534820932524999,0.343243333697319,0.3001333276430766
0.5,log,running_mean,128,0.41984666666666665,3.0163388894653322,0.08811945693350708,2.787618071047466,0.5413214795494079,0.343243333697319,0.3001333276430766
0.5,log,ema,512,0.4198066666666666,3.0135730861790972,0.08577085360791535,2.8071904203478497,0.5379373421986898,0.343243333697319,0.3001333276430766
0.5,log,none,1024,0.41978666666666664,3.0146113867060342,0.0856054619582432,2.808267782694499,0.5377909332116445,0.343243333697319,0.3001333276430766
0.5,log,ema,2048,0.41975666666666667,3.009381397984823,0.08096782605497786,2.846205730609894,0.5315661512343088,0.343243333697319,0.3001333276430766
0.5,log,none,2048,0.41971,3.0137901725769045,0.08396913703907281,2.8219197798283897,0.5355209710502625,0.343243333697319,0.3001333276430766
0.5,log,ema,1024,0.4197066666666667,3.0121315067799883,0.084182244493446,2.8205809705924993,0.5357237596797942,0.343243333697319,0.3001333276430766
0.5,log,kalman,128,0.41970333333333343,3.016131567560832,0.08797192750186349,2.789777585735321,0.5408569846216837,0.343243333697319,0.3001333276430766
1.0,log,none,128,0.4189433333333333,3.09379510307312,0.1102435502039517,2.609526094754537,0.5733278292973836,0.343243333697319,0.3001333276430766
1.0,log,ema,128,0.4184166666666667,3.0888792298380525,0.11102423246965433,2.608394686559041,0.5738398274199168,0.343243333697319,0.3001333276430766
0.0,log,none,128,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,running_mean,128,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,ema,128,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,kalman,128,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,none,512,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,running_mean,512,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,ema,512,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,kalman,512,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,none,1024,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,running_mean,1024,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,ema,1024,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,kalman,1024,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,none,2048,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,running_mean,2048,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,ema,2048,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
0.0,log,kalman,2048,0.41831,3.0059216718292237,0.0637723592683052,3.044747908643087,0.5,0.343243333697319,0.3001333276430766
nan,-,fixed_ts,-1,0.4183099905649821,3.0059219121932985,0.06377235886684308,3.044747809569041,nan,0.343243333697319,0.3001333276430766
1.0,log,ema,2048,0.41830666666666666,3.0613520505905147,0.10033905791648351,2.692402163772583,0.5588032406012218,0.343243333697319,0.3001333276430766
1.0,log,ema,1024,0.4181566666666667,3.0739547752507526,0.10576319645491118,2.651670527992249,0.5660660828208923,0.343243333697319,0.3001333276430766
1.0,log,kalman,2048,0.41812666666666665,3.0735438355127966,0.10392473317328219,2.6640757040596004,0.5642334965610503,0.343243333697319,0.3001333276430766
1.0,log,ema,512,0.41806666666666664,3.0805971512730914,0.10862539508124813,2.6306285363260904,0.5698940228811901,0.343243333697319,0.3001333276430766
1.0,log,none,1024,0.41802000000000006,3.0827640970993047,0.10804484719392532,2.634655557155609,0.5693795589192708,0.343243333697319,0.3001333276430766
1.0,log,kalman,1024,0.4180166666666667,3.079380979220072,0.10733041232805075,2.6380391621843975,0.5688031985346476,0.343243333697319,0.3001333276430766
