proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
prototype,identity,128,628,0.6211382113821138,382,615,0.7857905982905983,0.5972222222222222,0.9743589743589743,576,39,-0.01680903271880196,0.16117476959924149,0.5288370710279237,0.9078807033606441,0.9528277406544396,0.9254893676065965,0.8710421060594193,0.9332963656092417,0.9369939581426192
prototype,identity,1024,80,0.5375,43,80,0.7628205128205128,0.5256410256410257,1.0,78,2,-0.021827003475109776,0.19903060111633558,0.6371528373884269,0.9802225608201824,0.9900618974691342,0.963430072792207,0.9085037246266371,0.9531546173767597,0.9564198162293472
atc,identity,1024,80,0.425,34,80,0.7051282051282051,0.41025641025641024,1.0,78,2,-0.03182362293158421,0.07349617667534268,0.13641553343011062,0.7709663861149804,0.8780469156685082,0.9555671482748852,0.9379074410965825,0.9684562153740264,0.952676525382751
prototype,identity,512,160,0.5641025641025641,88,156,0.6781456953642384,0.5562913907284768,0.8,151,5,-0.019815386102636237,0.18501794061173718,0.607854644645289,0.9650138312125418,0.9823511750960253,0.9537225986425683,0.8968792646404162,0.9470370978163507,0.9430572277050198
atc,identity,512,160,0.4166666666666667,65,156,0.6019867549668875,0.40397350993377484,0.8,151,5,-0.026791074725451204,0.026220587159827148,0.04475630499980077,0.7485594345005135,0.8651932931435111,0.9347859850384239,0.9145056418496391,0.9562978834284007,0.9407156871777099
atc,identity,128,628,0.3886178861788618,239,615,0.6018963675213675,0.3576388888888889,0.8461538461538461,576,39,-0.03198267450431172,0.07530098634972189,0.10363355979634456,0.7084765675443921,0.8417105010301298,0.8823255197358058,0.8773954437748932,0.9366938901129297,0.9313325167583968
cot,identity,128,628,0.9333333333333333,574,615,0.5102163461538461,0.9947916666666666,0.02564102564102564,576,39,0.03941184662251235,0.0012317919556672236,0.0061267548740536895,0.3580440285412342,0.5983678037304766,0.5982293247119969,0.5565338629099024,0.7460119723636494,0.7317391155251949
nuclear_norm,identity,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.29705091489872015,0.02533136249511964,0.048846939608336894,0.8662741006472489,0.930738470595929,0.9253953252476129,0.9368826034805643,0.9679269618522692,0.9444302881239985
nuclear_norm,linear,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.1078739137958292,0.19670857740846776,0.3999251767779324,0.8662741006472489,0.930738470595929,0.9253953252476129,0.9368826034805641,0.9679269618522691,0.9444302881239985
nuclear_norm,platt,128,628,0.9365853658536586,576,615,0.5,1.0,0.0,576,39,0.09723752705164845,0.2404780637309852,0.4651499941898313,0.8597965462263915,0.9272521481379223,0.9253953252476129,0.9437477093102081,0.9714667824018525,0.9444302881239985
