proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,beta,512,160,0.7290322580645161,113,155,0.7504201680672269,0.9714285714285714,0.5294117647058824,70,85,-0.010823010209548695,1.1373128488315722,0.7393751371511967,0.9322703410855536,0.965541475590538,0.9107717571923027,0.9816090298013432,0.9907618431294896,0.9678611768375657
ac_mc,isotonic,1024,80,0.7215189873417721,57,79,0.7441860465116279,1.0,0.4883720930232558,36,43,-0.0068890271663483585,1.0117063168724172,0.8549426431924865,0.9213723328834991,0.9598814160527847,0.9122470537358964,0.9481139122751232,0.9737114111866633,0.9179625284797375
nuclear_norm,linear,512,160,0.7161290322580646,111,155,0.7411764705882353,1.0,0.4823529411764706,70,85,0.0011800550839963634,1.333582382480378,0.7834862888719006,0.9074349011965428,0.9525937755394703,0.8547663008504569,0.9839921148752021,0.991963766916515,0.961539480861049
nuclear_norm,platt,512,160,0.7161290322580646,111,155,0.7411764705882353,1.0,0.4823529411764706,70,85,-0.002673337659978528,1.233643176152276,0.7572092538884438,0.8942893640602213,0.9456687390731605,0.8547663008504569,0.9821884897674518,0.9910542314966683,0.961539480861049
ac_mc,linear,512,160,0.7161290322580646,111,155,0.738655462184874,0.9714285714285714,0.5058823529411764,70,85,0.0028021766915989075,1.3433065173203766,0.7714369399772564,0.9080541511945,0.9529187537216905,0.9107717571923027,0.983133409128472,0.991530841239178,0.9678611768375657
ac_mc,platt,512,160,0.7161290322580646,111,155,0.738655462184874,0.9714285714285714,0.5058823529411764,70,85,-0.0005463850834848067,1.2682821857889461,0.7596001424983825,0.9058058687730315,0.9517383404975506,0.9107717571923027,0.980979123846874,0.9904439024229863,0.9678611768375657
atc,beta,128,628,0.7298657718120806,435,596,0.7360241439611892,0.8771929824561403,0.594855305466238,285,311,-0.006287814571859487,0.8909178693919247,0.619908702174357,0.649419212238516,0.8058655050555992,0.8015816170504396,0.9220390178831689,0.9602286279231467,0.931038269545194
atc,linear,128,628,0.7265100671140939,433,596,0.733102047723811,0.8842105263157894,0.5819935691318328,285,311,0.00024203094697129734,0.947483237252126,0.65955772484253,0.6755594372537712,0.8219242284138917,0.8015816170504396,0.9447665430881437,0.9719910200655887,0.931038269545194
atc,platt,128,628,0.7265100671140939,433,596,0.733102047723811,0.8842105263157894,0.5819935691318328,285,311,-0.00107062659016976,0.9222388190588068,0.6562295287083697,0.6745208870245843,0.8212922056275612,0.8015816170504396,0.9435646410135184,0.9713725552091321,0.931038269545194
ac_mc,isotonic,512,160,0.7096774193548387,110,155,0.7327731092436975,0.9714285714285714,0.49411764705882355,70,85,-0.007218727045536196,0.8831791366858476,0.7896419919113051,0.9104262162676622,0.9541625732901402,0.9136935918016417,0.9320165296275746,0.9654100318660329,0.9219773464767915
