corruption,t_frac,r,r_ema,model_acc_ema,model_ent_ema
fog/s5,0.0,0.19796526432037354,0.19796526432037354,0.6875,5.520472049713135
fog/s5,0.05263157894736842,0.20242939889431,0.19877692515199835,0.6606615030250306,5.530329829428731
fog/s5,0.10526315789473684,0.19469913840293884,0.1980355093794421,0.65422268166769,5.515243931947208
fog/s5,0.15789473684210525,0.17777864634990692,0.19435244337407204,0.6376291787279191,5.5663788679240325
fog/s5,0.21052631578947367,0.18636585772037506,0.19290033689158168,0.6065253741046456,5.628079696167419
fog/s5,0.2631578947368421,0.18043473362922668,0.19063386357115347,0.5775102550506771,5.621998867380123
fog/s5,0.3157894736842105,0.19603890180587769,0.19161659779564877,0.5783456165276785,5.622957093615632
fog/s5,0.3684210526315789,0.23264080286026,0.19907554417103263,0.6024503425635045,5.526235050021644
fog/s5,0.42105263157894735,0.20178063213825226,0.19956737834689076,0.6071754004541774,5.497579662822776
fog/s5,0.47368421052631576,0.18403936922550201,0.1967441039611837,0.5814681941869408,5.537091905385772
fog/s5,0.5263157894736842,0.20866848528385162,0.19891217329257785,0.6005354396319584,5.538784082371952
fog/s5,0.5789473684210527,0.20726896822452545,0.20043159055293194,0.5953392624766695,5.521873970292859
fog/s5,0.631578947368421,0.18859800696372986,0.19828002990034974,0.6235378276908233,5.533896989982873
fog/s5,0.6842105263157895,0.20840434730052948,0.20012081488220057,0.6256629161382984,5.530141497485129
fog/s5,0.7368421052631579,0.16038954257965088,0.1928969471908279,0.605780515777989,5.595784478487152
fog/s5,0.7894736842105263,0.19137640297412872,0.19262048460597347,0.5938576699622852,5.592256234075404
fog/s5,0.8421052631578947,0.22226175665855408,0.19800980679735175,0.6025043032329732,5.522577960533765
fog/s5,0.8947368421052632,0.18477550148963928,0.19560356946867674,0.5750674948779511,5.545778450088683
fog/s5,0.9473684210526315,0.21487386524677277,0.19910725961014875,0.5731683690020999,5.502895240266464
fog/s5,1.0,0.1961638480424881,0.19857209387057406,0.6036499822790848,5.648412458469089
