corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
snow/s5,1,0.4949098825454712,0.21962369978427887,0.4949098825454712,0.21962369978427887,-0.010180586614549817,-0.6339303065978158,0.9237905144691467,0.07620948553085327,0.421875,0.4765625,0.421875,128
snow/s5,2,0.4386480152606964,0.18616579473018646,0.4386480152606964,0.18616579473018646,-0.12841570762820614,-1.0545246633144045,0.9759771823883057,0.024022817611694336,0.34375,0.3828125,0.34375,128
snow/s5,3,0.48043638467788696,0.24598143994808197,0.48043638467788696,0.24598143994808197,-0.10335506996933091,-1.0873427803761655,0.9808469414710999,0.019153058528900146,0.3984375,0.5234375,0.40625,128
snow/s5,4,0.5224040150642395,0.21724291145801544,0.5224040150642395,0.21724291145801544,-0.006839480762170211,-1.184574530688237,0.9910838603973389,0.008916139602661133,0.4921875,0.5,0.4921875,128
snow/s5,5,0.46443188190460205,0.24110732972621918,0.46443188190460205,0.24110732972621918,-0.07467633396704187,-1.1655963513917507,0.987428605556488,0.012571394443511963,0.390625,0.5,0.3984375,128
snow/s5,6,0.45380499958992004,0.2527729570865631,0.45380499958992004,0.2527729570865631,-0.12999240005426255,-1.1247368734933954,0.9816386699676514,0.018361330032348633,0.4375,0.4921875,0.4375,128
snow/s5,7,0.5206337571144104,0.2451764941215515,0.5206337571144104,0.2451764941215515,-0.02370523553346822,-1.1246212465020173,0.9879153966903687,0.012084603309631348,0.4375,0.5078125,0.4375,128
snow/s5,8,0.4549374580383301,0.21925850212574005,0.4549374580383301,0.21925850212574005,-0.10222291243168932,-1.1973069720952711,0.9876337051391602,0.012366294860839844,0.3671875,0.4375,0.3828125,128
snow/s5,9,0.47928091883659363,0.22638925909996033,0.47928091883659363,0.22638925909996033,-0.09257336112581269,-1.2130599486897635,0.9888151288032532,0.011184871196746826,0.375,0.4296875,0.375,128
snow/s5,10,0.515255331993103,0.2543807625770569,0.515255331993103,0.2543807625770569,-0.015766543819911372,-1.1442214015935654,0.9891622066497803,0.010837793350219727,0.4375,0.4765625,0.4375,128
snow/s5,11,0.5293950438499451,0.2851865887641907,0.5293950438499451,0.2851865887641907,0.05097468815553642,-1.0315496417290801,0.987004816532135,0.01299518346786499,0.46875,0.5390625,0.46875,128
