corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
defocus_blur/s5,128.0,0.41740816831588745,0.06773623079061508,0.41740816831588745,0.06773623079061508,0.3515625,0.1328125,3.51395845413208,6.297882080078125,0.3515625
defocus_blur/s5,256.0,0.3741150498390198,0.058917537331581116,0.4095366922291842,0.06613283197988162,0.3245738636363636,0.12855113636363635,3.5587054165926846,6.313988078724254,0.3245738636363636
defocus_blur/s5,384.0,0.4366712272167206,0.0676489770412445,0.41447024404509986,0.06640849471831124,0.33090134297520657,0.1350077479338843,3.5323829926735106,6.313940938839242,0.33090134297520657
defocus_blur/s5,512.0,0.42346855998039246,0.07342804223299026,0.4161063014878803,0.06768477608461651,0.33607837152516895,0.1374495210368144,3.512090618855786,6.302812177914591,0.33607837152516895
defocus_blur/s5,640.0,0.3981034755706787,0.06319455802440643,0.41283306041202544,0.06686837280094195,0.33179139488422915,0.12808369903012087,3.520815536743157,6.304424133337257,0.33179139488422915
defocus_blur/s5,768.0,0.44107353687286377,0.08777721226215363,0.4179676924958142,0.0706699799757077,0.3268634139961875,0.13888666284282616,3.493054914500837,6.275974148866847,0.3268634139961875
defocus_blur/s5,896.0,0.4026002883911133,0.06786801666021347,0.4151736190222322,0.07016053210016329,0.32283142963324435,0.13920272414413049,3.5012568950868665,6.279803173940817,0.32283142963324435
defocus_blur/s5,1024.0,0.4302762746810913,0.0747188925743103,0.41791955641475204,0.07098932491364456,0.31811207879083625,0.1366204106633795,3.475293727372209,6.2758312256781394,0.31811207879083625
defocus_blur/s5,1152.0,0.4273158311843872,0.06996550410985947,0.41962797000923113,0.07080317567659271,0.32703488264704783,0.12598488145185593,3.4640856967628975,6.277635143424825,0.32703488264704783
defocus_blur/s5,1280.0,0.4439455568790436,0.07283539324998856,0.4240493494401061,0.07117266978084649,0.3144489948930391,0.1215444484606094,3.4395298621541515,6.270764518509472,0.3144489948930391
defocus_blur/s5,1408.0,0.4273257255554199,0.07086481899023056,0.424645054188345,0.07111669690982542,0.3112537230943047,0.12217273055868041,3.4255117661427033,6.270836620490792,0.3112537230943047
defocus_blur/s5,1536.0,0.4452023506164551,0.07772668451070786,0.4283827444480013,0.07231851283725858,0.30579850071352205,0.12552768863892033,3.4091700927780897,6.25435569256087,0.30579850071352205
defocus_blur/s5,1664.0,0.4715675115585327,0.08393135666847229,0.4362345202862797,0.07442993898838834,0.3126987733110635,0.12401129070457118,3.3553750690845057,6.236249704546873,0.3126987733110635
defocus_blur/s5,1792.0,0.4928998649120331,0.09306616336107254,0.4465373102182348,0.07781834341978547,0.3183444508908701,0.12845241966737642,3.2769136355975053,6.21097988924152,0.3183444508908701
defocus_blur/s5,1920.0,0.48681455850601196,0.09439625591039658,0.4538604462705579,0.08083250932716929,0.3286454598198028,0.12782470700058068,3.217416583949228,6.187817836681004,0.3286454598198028
defocus_blur/s5,2048.0,0.471849262714386,0.08943647891283035,0.4571311401694357,0.08239686743365311,0.3399144671252932,0.13867476027320236,3.178558809746856,6.175168079310382,0.3399144671252932
