corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
fog/s5,128.0,0.2280769944190979,0.16733422875404358,0.2280769944190979,0.16733422875404358,0.484375,0.5546875,4.822019577026367,5.755375862121582,0.5625
fog/s5,256.0,0.22624260187149048,0.14671680331230164,0.22774346850135108,0.16358560594645413,0.47301136363636365,0.5333806818181818,4.800569187511098,5.772395133972168,0.5511363636363636
fog/s5,384.0,0.26207754015922546,0.1772860735654831,0.23398602698460094,0.16607660005900485,0.4836002066115702,0.5415160123966941,4.744900679785358,5.756194634871049,0.5560433884297521
fog/s5,512.0,0.27875447273254395,0.18235740065574646,0.24212574439331783,0.16903674562204876,0.48658198722764834,0.5510131010518406,4.6621541783471105,5.736930925984027,0.5515354996243426
fog/s5,640.0,0.28476303815841675,0.19523873925209045,0.2498779796233358,0.17380074446387453,0.493282989549894,0.565885719042415,4.596109807918765,5.709436307716512,0.5549494996926438
fog/s5,768.0,0.28687524795532227,0.23875339329242706,0.25660475568369695,0.1856103169781568,0.5044474459953678,0.5780542246710668,4.524331434556271,5.6307764896220585,0.5662654997485267
fog/s5,896.0,0.2805716395378113,0.18629564344882965,0.26096237092989955,0.18573492179100642,0.5022183649053009,0.5851693656399637,4.464645578635084,5.626716422639105,0.5670013179760673
fog/s5,1024.0,0.2706764340400696,0.21672558784484863,0.2627285642226577,0.19136958834625045,0.4947127531043371,0.5824681173417885,4.39923076806205,5.583295318973454,0.5718647147076914
fog/s5,1152.0,0.2791326642036438,0.2006792426109314,0.2657111278555643,0.19306225275801062,0.4729467979944576,0.5944625505523724,4.3116192138553,5.571901950098487,0.5644802211244747
fog/s5,1280.0,0.3230956196784973,0.19144085049629211,0.27614467182337027,0.19276745234678905,0.4750246529045562,0.6014352686337592,4.202427505067289,5.569805312853574,0.5641201809200247
fog/s5,1408.0,0.32191693782806396,0.27672499418258667,0.2844669020060418,0.20803245995329772,0.46536107964918233,0.6128220379730757,4.0944235205200314,5.46724385188508,0.5638256025709293
fog/s5,1536.0,0.32425978779792786,0.19700568914413452,0.291701972150021,0.20602759253344988,0.44893179244024006,0.5951498492506982,3.990999753871858,5.4718541408112475,0.5380164021034876
fog/s5,1664.0,0.32312700152397156,0.24921245872974396,0.29741561385437565,0.2138793863873215,0.43406919381474185,0.6076794221142077,3.8992272308734055,5.408753511948815,0.5339452380846716
fog/s5,1792.0,0.35568559169769287,0.24206697940826416,0.3080101552804333,0.21900440330022017,0.42332934039387965,0.6094081635479881,3.7862097424214802,5.3712829332271195,0.519250649342004
fog/s5,1920.0,0.3904796540737152,0.2557254433631897,0.3230046096064845,0.2256809560389419,0.4244853694131742,0.6094021338119903,3.6598621716780326,5.323134279851397,0.5129096221889125
fog/s5,2048.0,0.35383397340774536,0.2606075406074524,0.328609948479441,0.2320312441423074,0.4240107567925971,0.6051358367552647,3.5275102293504528,5.2707938849418925,0.5134033272454738
