corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
motion_blur/s5,128.0,0.44196924567222595,0.13319075107574463,0.44196924567222595,0.13319075107574463,0.3828125,0.359375,3.189979076385498,5.8758392333984375,0.390625
motion_blur/s5,256.0,0.38511979579925537,0.09602300822734833,0.4316329820589585,0.1264329796487635,0.3572443181818181,0.33948863636363635,3.258295622738925,5.915890086780895,0.36363636363636365
motion_blur/s5,384.0,0.44062933325767517,0.09800685942173004,0.43326868227690696,0.12126459415293922,0.3647339876033057,0.3345816115702479,3.25289217499662,5.948764391181882,0.3699638429752066
motion_blur/s5,512.0,0.4287588596343994,0.12577775120735168,0.43244871452372374,0.12208516816283238,0.36091871712997736,0.3319872276483846,3.2570346474737084,5.938031641546718,0.36519768970698724
motion_blur/s5,640.0,0.4212600588798523,0.10996398329734802,0.43041441349756526,0.11988131636910794,0.3577971321972542,0.3256031862577692,3.281221065745312,5.949664393260125,0.3612981097602623
motion_blur/s5,768.0,0.4222037196159363,0.11708924174308777,0.42892156006454174,0.11937366643710426,0.3580840172522989,0.3104366978472657,3.2848156532040163,5.947166583099726,0.36094845344021453
motion_blur/s5,896.0,0.43837758898735046,0.1208331286907196,0.4306408380505069,0.11963902321048886,0.3640005595700627,0.3093913891477628,3.2762987592321298,5.9439926427809455,0.36634418917835737
motion_blur/s5,1024.0,0.4321180582046509,0.13135385513305664,0.4309094235330785,0.12176899265095573,0.35179591237550584,0.31279750021180597,3.277088011814924,5.926644781682279,0.3537134275095651
motion_blur/s5,1152.0,0.43821194767951965,0.1354278028011322,0.43223715519606776,0.12425241267826054,0.35317392830723204,0.3170047729005685,3.2701199749765926,5.910756918072743,0.3547428043260078
motion_blur/s5,1280.0,0.4375097155570984,0.12851163744926453,0.43319580253443696,0.12502681718207945,0.34719912316046253,0.29771981419137417,3.2606933252100077,5.907662444992534,0.34848274899400633
motion_blur/s5,1408.0,0.45608100295066833,0.11940449476242065,0.43735674806466085,0.12400457674214148,0.34657200985856024,0.29614575706566976,3.236443942466968,5.902509819662304,0.34762224917691426
motion_blur/s5,1536.0,0.4660417437553406,0.12074709683656693,0.44257220182660256,0.12341230766840064,0.3417975535206402,0.29343743759918434,3.182449123273866,5.89936093676827,0.34265684023565707
motion_blur/s5,1664.0,0.5039170980453491,0.14070183038711548,0.4537258193209201,0.1265558572536215,0.35351618015325104,0.29974426712660535,3.1252613455143106,5.873201599354703,0.354219232920083
motion_blur/s5,1792.0,0.5151250958442688,0.16539326310157776,0.4648893241433471,0.13361720377143174,0.36168369285265994,0.29638167310358615,3.064918549772273,5.82714827816743,0.3622589178437043
motion_blur/s5,1920.0,0.5036684274673462,0.16207166016101837,0.47194007020225603,0.13879074129681113,0.3626843850612672,0.30357364163020684,3.017723586274416,5.790550968547233,0.3631550236903035
