corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
elastic_transform/s5,128.0,0.531018853187561,0.1925269365310669,0.531018853187561,0.1925269365310669,0.4453125,0.4609375,2.758437395095825,5.581207275390625,0.4453125
elastic_transform/s5,256.0,0.4951302409172058,0.17341521382331848,0.5244936509565873,0.1890520778569308,0.43252840909090906,0.45383522727272724,2.7701292688196353,5.598456642844459,0.43252840909090906
elastic_transform/s5,384.0,0.5193391442298889,0.19469918310642242,0.5235564679153694,0.19007882426592926,0.4334323347107437,0.46933109504132225,2.7791238796612445,5.594057816119232,0.4334323347107437
elastic_transform/s5,512.0,0.507987916469574,0.2112128883600235,0.5207258221979519,0.19392138137394638,0.43559236476333574,0.4777481686701727,2.786835922861708,5.572949402319765,0.43559236476333574
elastic_transform/s5,640.0,0.5302538275718689,0.2040916085243225,0.5224581868113913,0.19577051358310565,0.4359392075336383,0.4803735016392322,2.7688324565762383,5.558451993455162,0.4359392075336383
elastic_transform/s5,768.0,0.5025129318237305,0.22948148846626282,0.5188317768136348,0.20189978174367967,0.42912071525479495,0.47683968315937175,2.762383708770229,5.518153122763474,0.42912071525479495
elastic_transform/s5,896.0,0.5528296232223511,0.20358362793922424,0.5250132034334014,0.20220593559741504,0.4221214942993777,0.4924142862213042,2.736183976109857,5.514094123813758,0.4221214942993777
elastic_transform/s5,1024.0,0.4990992546081543,0.21213938295841217,0.5203015763742656,0.20401201693577814,0.413553949881309,0.4824298705447034,2.729651246539057,5.4994710436516865,0.413553949881309
elastic_transform/s5,1152.0,0.554458737373352,0.21177488565444946,0.5265119692831903,0.20542344761190018,0.4136464135392528,0.4842039849911209,2.690161667686674,5.47837284622305,0.4136464135392528
elastic_transform/s5,1280.0,0.5332897901535034,0.21556641161441803,0.5277443003505199,0.20726762288508524,0.4066197928957523,0.47429189681091705,2.673182803735386,5.4614975296723305,0.4066197928957523
elastic_transform/s5,1408.0,0.5602136254310608,0.23121339082717896,0.5336478140015273,0.2116213988745568,0.4065525578237973,0.4889092792089321,2.6323125132202425,5.4269274887659975,0.4079730123692519
elastic_transform/s5,1536.0,0.49591064453125,0.21176952123641968,0.5267865104614768,0.21164833021307733,0.38945209276492504,0.4753007738982171,2.6486804730468974,5.415723563640131,0.3906142828475697
elastic_transform/s5,1664.0,0.5194817781448364,0.23364996910095215,0.5254583773129967,0.21564862819269093,0.3925062577167568,0.481211996825814,2.6497062320146223,5.377360583496754,0.39345714051164793
elastic_transform/s5,1792.0,0.5502933263778687,0.2895854115486145,0.5299738225975189,0.22909167971194977,0.39358466540461917,0.49030981558475684,2.625795126608821,5.28031672224619,0.394362660418621
elastic_transform/s5,1920.0,0.5587315559387207,0.2670919895172119,0.5352025013868283,0.23600082694927016,0.405830635331052,0.4963330309329828,2.5950164149987254,5.232205779865801,0.4064671767061444
elastic_transform/s5,2048.0,0.5170638561248779,0.23690888285636902,0.5319045658846555,0.23616592802328812,0.40306597436176983,0.4969997525815314,2.603142772272572,5.221983360850339,0.4035867809413909
