corruption,n_samples,r_l,r_s,r_l_ema,r_s_ema,large_acc_ema,small_acc_ema,large_ent_ema,small_ent_ema,duo_duo_acc_ema
shot_noise/s5,128.0,0.36667948961257935,0.04386623203754425,0.36667948961257935,0.04386623203754425,0.3515625,0.09375,3.939126491546631,6.559270858764648,0.3515625
shot_noise/s5,256.0,0.3099973201751709,0.04207194223999977,0.3563736406239596,0.043539997528899796,0.3345170454545454,0.09943181818181818,4.007892045107755,6.561301664872603,0.3345170454545454
shot_noise/s5,384.0,0.37601685523986816,0.045096542686223984,0.3599451341904884,0.04382300573932237,0.34329803719008256,0.12538739669421486,3.982411010206238,6.5592342802315695,0.34329803719008256
shot_noise/s5,512.0,0.37175774574279785,0.06121712923049927,0.36209288174545373,0.046985573646809074,0.3448006667918857,0.13526014274981216,3.962273508153581,6.532023065883712,0.3448006667918857
shot_noise/s5,640.0,0.3700692355632782,0.04908501356840134,0.36354312789414905,0.047367289996189485,0.34318918192063375,0.1362355713407554,3.942908473861941,6.527178986721794,0.34318918192063375
shot_noise/s5,768.0,0.4094489514827728,0.05317707359790802,0.3718896412738988,0.048423614287411036,0.34329114884415485,0.13703364927879985,3.887869120770743,6.518933304754355,0.34329114884415485
shot_noise/s5,896.0,0.40118885040283203,0.051834747195243835,0.37721677020643213,0.04904382027065336,0.36468139450885395,0.15047071304629078,3.8441611862730305,6.512732426096735,0.36468139450885395
shot_noise/s5,1024.0,0.42530614137649536,0.0599132739007473,0.3859602922373527,0.05102008456703407,0.3566143227799714,0.1543624015833288,3.7779375371514115,6.501067876628641,0.3566143227799714
shot_noise/s5,1152.0,0.38137713074684143,0.0564793236553669,0.3851269901481688,0.052012673492185496,0.3528549004563402,0.15754651038635992,3.765128367909926,6.496606718257018,0.3528549004563402
shot_noise/s5,1280.0,0.43367016315460205,0.06593587249517441,0.39395302160388396,0.05454416422000166,0.34977900946427837,0.15873123577065812,3.69333606993811,6.4758807941634124,0.34977900946427837
shot_noise/s5,1408.0,0.43773651123046875,0.06880231201648712,0.4019136560814448,0.05713655472845356,0.3572055531980459,0.16396192017599298,3.633491608519364,6.45802988716353,0.3572055531980459
shot_noise/s5,1536.0,0.42585620284080505,0.04779507964849472,0.4062668464013285,0.05543810471391559,0.35475908898021935,0.1568779346894488,3.596292658030181,6.465864469585546,0.35475908898021935
shot_noise/s5,1664.0,0.4548987150192261,0.06532289832830429,0.41510900433185527,0.05723533991653171,0.35843925462017945,0.16102512838227628,3.5358399938826035,6.450922854903932,0.35843925462017945
shot_noise/s5,1792.0,0.4686598777770996,0.0624440535902977,0.42484552677644516,0.05818237876630734,0.3500866628710559,0.16583874140368057,3.4670669917045074,6.438819881051992,0.3500866628710559
shot_noise/s5,1920.0,0.46501708030700684,0.06783176958560944,0.43214944560018365,0.0599368134607259,0.34467317871268205,0.17119760660301137,3.403136438980268,6.42519135564854,0.34467317871268205
shot_noise/s5,2048.0,0.48919016122817993,0.06715643405914307,0.44252048480527384,0.061249471751347206,0.34450532803764894,0.16990031449337295,3.315461180579581,6.415218965223894,0.34450532803764894
shot_noise/s5,2176.0,0.5173666477203369,0.07398350536823273,0.45612887806255803,0.06356475059078093,0.3543111774853491,0.17736162094912333,3.2330313774444175,6.4028493512853695,0.3543111774853491
shot_noise/s5,2304.0,0.4622303247451782,0.06241375580430031,0.4572382320048526,0.06335547881142081,0.35949323612437656,0.17494359895837364,3.20426650365625,6.398912469028184,0.35949323612437656
shot_noise/s5,2432.0,0.4891263544559479,0.06887102127075195,0.46303607245050626,0.06435830471311738,0.3722558295563081,0.1701243082386693,3.1520149560443445,6.3900974767956535,0.3722558295563081
shot_noise/s5,2560.0,0.4862174093723297,0.08245152235031128,0.46725086098174684,0.06764798064715263,0.37275476963697934,0.17754488855891126,3.123363591189158,6.366433201395928,0.37275476963697934
shot_noise/s5,2688.0,0.4668041467666626,0.0679263174533844,0.4671696402153679,0.06769858733919477,0.35895844788480125,0.18219581791183648,3.1109761679348393,6.361419811706754,0.35895844788480125
shot_noise/s5,2816.0,0.5273064970970154,0.09136982262134552,0.4781036141938492,0.07200244829958581,0.3561932755421101,0.18316021465513893,3.036806584827768,6.329002056496533,0.3561932755421101
shot_noise/s5,2944.0,0.5223512649536133,0.07396993041038513,0.4861486416047154,0.07236017231973113,0.353930861807181,0.18679017562693184,2.9803011212289334,6.322957380774773,0.353930861807181
shot_noise/s5,3072.0,0.47237423062324524,0.0771322101354599,0.48364420324444807,0.07322781555895454,0.34639797784223897,0.18407832551294423,2.987901475771449,6.312162245536248,0.34639797784223897
shot_noise/s5,3200.0,0.532957136631012,0.07565779238939285,0.4926101911329142,0.07366962952812514,0.3515983455072864,0.18754135723786344,2.934233318738652,6.3068327946211,0.3515983455072864
shot_noise/s5,3328.0,0.5665460228919983,0.08475038409233093,0.5060530696345659,0.07568431217616255,0.36579637359687067,0.19321565592188825,2.858407603859234,6.291047749959211,0.36579637359687067
shot_noise/s5,3456.0,0.5626274347305298,0.09866035729646683,0.516339317833832,0.07986177492530877,0.368890214761076,0.21632417302699947,2.804629066174134,6.263247851384862,0.368890214761076
shot_noise/s5,3584.0,0.5809764862060547,0.10654157400131226,0.5280915302651452,0.08471264748458213,0.38704653934997124,0.2167652324766359,2.730143768070696,6.226487108674794,0.38704653934997124
shot_noise/s5,3712.0,0.544144332408905,0.10345155000686646,0.5310102215640106,0.088119720670452,0.38485625946815827,0.2228079174808839,2.6868699755006684,6.198052798027735,0.38485625946815827
shot_noise/s5,3840.0,0.5401483178138733,0.09261959791183472,0.5326716936094401,0.08893788016888521,0.3887460304739476,0.21922920521163228,2.669292566375325,6.191253895907192,0.3887460304739476
shot_noise/s5,3968.0,0.5587020516395569,0.10848748683929443,0.5374044859785523,0.0924923541089596,0.3890876612968662,0.2290852588095173,2.6382987368077497,6.163569554969875,0.3890876612968662
shot_noise/s5,4096.0,0.5733786821365356,0.09105289727449417,0.5439452489163674,0.09223063468451134,0.4021512683337996,0.2272061208441505,2.599602666874132,6.159385940122503,0.4021512683337996
shot_noise/s5,4224.0,0.5513545870780945,0.08290024846792221,0.5452924013094087,0.09053420082694968,0.39437376500038146,0.2185663715997595,2.5895529828662776,6.165830390578966,0.39437376500038146
shot_noise/s5,4352.0,0.5894386768341064,0.11635421216487885,0.5533189968593537,0.0952287483429368,0.39369217136394846,0.22428157676343957,2.5329689092686314,6.131690797691828,0.39369217136394846
shot_noise/s5,4480.0,0.5308620929718018,0.11637720465660095,0.5492359234252533,0.09907392221814845,0.39313450384323056,0.22895765371554144,2.5545455033603472,6.092093145970826,0.39313450384323056
shot_noise/s5,4608.0,0.5316844582557678,0.10414082556962967,0.5460447479398922,0.09999517737296322,0.39267823041718863,0.22284035303998845,2.5794481755676455,6.085680351575117,0.39267823041718863
shot_noise/s5,4736.0,0.6153030395507812,0.10268700122833252,0.5586371645964174,0.10048459989212127,0.3979867339776998,0.22493756157817235,2.508995970925086,6.079874319856736,0.3979867339776998
shot_noise/s5,4864.0,0.567375123500824,0.1188676506280899,0.5602258843972185,0.10382697275320647,0.39948914598175433,0.22239209583668645,2.4914962276873753,6.060633629310163,0.39948914598175433
